x,b,D_raw_interp,D_smooth,D_final,D_var_source,p_emp,p_closed,ratio_pemp_over_pclosed,J_raw,J_smooth,S_raw,S_smooth
-13.146295375085534,1.1186070013148288,0.1642560211538916,0.1642560211538916,0.1642560211538916,D_var_mad,0.285804052645461,0.01780504809237707,16.051855134714472,1.3571548054122757,0.9798512311176005,-32.98314811828676,-31.518604889419564
-13.13785508962916,1.1118805827519638,0.1642560211538916,0.16425605883295913,0.16425605883295913,D_var_mad,0.23249457255999462,0.018855195794983057,12.330530803708555,0.9899583318302605,0.7014640457493555,-35.003095530864506,-28.705164482055473
-13.129414804172788,1.1051508220723292,0.1642560211538916,0.1642563422104106,0.1642563422104106,D_var_mad,0.21063239619788776,0.0199603486512898,10.552540933911848,0.26944749087533715,0.3889789948432039,-33.9521324108808,-23.37305919014996
-13.120974518716414,1.098417719590512,0.1642560211538916,0.16425787334721256,0.16425787334721256,D_var_mad,0.22872379140499027,0.02112280282016674,10.828287957439958,-0.35501642328721356,0.1283326669485823,-23.01409103626693,-15.368151850941004
-13.11253423326004,1.0916812763170582,0.1642560211538916,0.16426433946797736,0.16426433946797736,D_var_mad,0.27292329446841473,0.02234452012368107,12.214327851201709,-0.5745367393009622,0.0004879991130881389,-5.418339274788892,-5.7250842718076695
-13.104093947803666,1.0849414939770377,0.1642560211538916,0.16428600640949362,0.16428600640949362,D_var_mad,0.3183331240500839,0.023626418577046872,13.47360891842259,-0.35006816186527007,0.03686800659121195,12.066204693269274,3.479882847207411
-13.095653662347292,1.078198375028924,0.1642560211538916,0.1643441382243587,0.1643441382243587,D_var_mad,0.34422283648991586,0.024967330692420256,13.786929837654501,0.13179635269617435,0.204172423085533,23.05770287576996,9.949486255905391
-13.08721337689092,1.0714519226838135,0.1642560211538916,0.16447039539144592,0.16447039539144592,D_var_mad,0.34254154630620665,0.026363469848836394,12.993037269763086,0.6065771830134203,0.42609519507064153,24.7383246499407,12.157524618294758
-13.078773091434543,1.0647021409249406,0.1642560211538916,0.1646957743611342,0.1646957743611342,D_var_mad,0.31893404407789644,0.027809678059343212,11.468455096722856,0.8873419425646526,0.621769466601438,18.272633410678324,9.939660992299709
-13.070332805978172,1.0579490345275329,0.16481909881055068,0.1650334730481051,0.1650334730481051,D_var_mad,0.28534354582561194,0.029302440716751903,9.737876396845126,0.9733886958084638,0.7345476791223093,7.033679777291468,4.457568209205496
-13.061892520521798,1.0511926090789976,0.16538217646720987,0.16547029353767706,0.16547029353767706,D_var_mad,0.24893665345327773,0.030842396944728328,8.071248609483535,0.9688571205790673,0.740501996859525,-5.311647177591347,-2.309911033794854
-13.053452235065423,1.0444328709994148,0.1659452541238692,0.1659752393794712,0.1659752393794712,D_var_mad,0.21180080371582388,0.03243405597115217,6.530197885340209,0.8746170599742562,0.644884042277456,-15.554150567564552,-8.249842197726146
-13.04501194960905,1.0376698275623797,0.1665083317805284,0.16651665009461414,0.16651665009461414,D_var_mad,0.1811336340916201,0.03408327371543838,5.31444354799679,0.5925658773384529,0.4779390552161972,-21.04472585665919,-11.73300927781894
-13.036571664152676,1.0309034869161828,0.16707140943718762,0.16707326163050853,0.16707326163050853,D_var_mad,0.16952837577286584,0.03579498666743151,4.7360927201326,0.16656024899029287,0.28963705511480314,-20.29070256648368,-12.025318586203197
-13.028131378696305,1.024133858105292,0.1676344870938467,0.1676348081503658,0.1676348081503658,D_var_mad,0.18075188316346105,0.03757257580197017,4.810739729853259,-0.16073365773114584,0.13542041167324353,-13.945809996542105,-9.403633746982637
-13.01969109323993,1.017360951092204,0.168197564750506,0.16819760242957355,0.16819760242957355,D_var_mad,0.20310495620221825,0.03941833000783888,5.152551012735142,-0.21291912804622004,0.054223820532510784,-4.865161004649414,-4.942129026213751
-13.011250807783556,1.010584776779622,0.16876064240716523,0.1687606424071652,0.1687606424071652,D_var_mad,0.22151227489734956,0.04133404030518619,5.359076278578951,-0.06142197303485611,0.05329371633230282,3.4256908275645643,-0.05426782144355413
-13.002810522327184,1.0038053470329582,0.16932372006382432,0.16932372006382443,0.16932372006382443,D_var_mad,0.23019478582982536,0.04332132964932528,5.31365929192828,0.11789815044213342,0.11205143747234224,8.716649648556409,3.99654651409997
-12.99437023687081,0.997022674703201,0.16988679772048365,0.16988679772048365,0.16988679772048365,D_var_mad,0.23128914399616668,0.04538177048009943,5.096520949917332,0.2373738574702832,0.20043573884634172,10.850653713367503,6.393486349480757
-12.985929951414436,0.9902367736500964,0.17044987537714285,0.17044987537714287,0.17044987537714287,D_var_mad,0.22800309828927032,0.04751690863269804,4.798357150119261,0.3072580987501589,0.2952166669305204,10.785361416921452,6.794598741661657
-12.97748966595806,0.9834476587656884,0.17101295303380218,0.1710129530338021,0.1710129530338021,D_var_mad,0.22172311961135707,0.04972826914930851,4.458693684785935,0.37349485619440637,0.38249879706430584,9.104074151173478,5.212243113763743
-12.969049380501689,0.9766553459981996,0.17157603069046126,0.17157603069046135,0.17157603069046135,D_var_mad,0.2112133825795478,0.052017353435945865,4.0604407688606425,0.4813835105625053,0.44889863623431886,5.415874447957876,1.9328412883559352
-12.960609095045314,0.9698598523762484,0.17213910834712057,0.17213910834712054,0.17213910834712054,D_var_mad,0.19329521727426316,0.05438563637409,3.5541593362020754,0.6227963899203691,0.473921849737575,-0.8440887319826231,-2.449303564310819
-12.95216880958894,0.9630611960334056,0.1727021860037798,0.17270218600377976,0.17270218600377976,D_var_mad,0.1672855693213341,0.05683456339198261,2.9433773981438254,0.6945852727598039,0.43464993653744766,-8.97455049590403,-6.997436133805055
-12.943728524132569,0.9562593962331134,0.17326526366043887,0.17326526366043898,0.17326526366043898,D_var_mad,0.14006405670486713,0.05936554750070388,2.3593491949721583,0.5619328381157513,0.3224263136814709,-16.382055851872337,-10.581409686506547
