x,S_mean,S_lo,S_hi
-11.388073397654749,-3.762437385793537,-5.131409601400426,-2.469887322795441
-11.381696432370564,-3.5501926494134146,-5.016065943255294,-2.1642712321590967
-11.37531946708638,-2.734365499460805,-4.331484131868484,-1.2707018688715694
-11.368942501802195,-1.6507882074460036,-3.065828371352985,-0.2330698567639888
-11.362565536518012,-0.394341500204374,-1.7064175342623584,0.8883351692342076
-11.356188571233828,1.0769131592300678,-0.12450720862581471,2.3911647041673825
-11.349811605949643,2.666755004380498,1.3966542184177693,3.9947441899898535
-11.343434640665459,3.9847331387143194,2.625919980799111,5.361948391397405
-11.337057675381276,4.488126291252211,3.14755440188325,6.014788499199619
-11.330680710097091,3.8343477177773235,2.3995619009420306,5.392740043051386
-11.324303744812907,2.1638177014110185,0.7202976043616356,3.6530005267217462
-11.317926779528722,0.07715116424927845,-1.3289906535885736,1.381088681823751
-11.311549814244538,-1.6896448059967473,-2.9271784521477526,-0.42300207220878383
-11.305172848960355,-2.6548708888712422,-3.9542900883277063,-1.278822605357224
-11.29879588367617,-2.771688837064485,-4.190701939456643,-1.260468755293442
-11.292418918391986,-2.3056514398044805,-3.812808237421268,-0.7142454918908087
-11.286041953107802,-1.5552185628161774,-3.1639790054255994,-0.09267648703630932
-11.279664987823617,-0.6628822100673326,-2.0982171959022047,0.8263815355191482
-11.273288022539434,0.34724950136680616,-1.0742162221546743,1.8222193360409717
-11.26691105725525,1.3893287512467691,-0.12327972100736234,2.9998818280848014
-11.260534091971065,2.209670393326578,0.580447132479227,3.8866525369487066
-11.25415712668688,2.497398803992337,0.5313184664587007,4.447169507600496
-11.247780161402696,2.1364007107941454,-0.004524898815411592,4.315905230882378
-11.241403196118513,1.358228298671984,-0.8998990625807547,3.6459588732908634
-11.235026230834329,0.6081373708544272,-1.6254786779553199,2.9475773967558863
-11.228649265550144,0.18437524911988656,-2.1969124661469,2.5399709829413255
-11.22227230026596,-0.05373489064386014,-2.3084670813458983,2.4723558428734718
-11.215895334981775,-0.6147936792815535,-2.804751180130928,2.0138831743344663
-11.209518369697593,-1.9224948631622374,-3.9381401271656804,0.4525990463685213
-11.203141404413408,-3.803378631551002,-5.787396816003126,-1.6590050765248405
-11.196764439129224,-5.351482607913983,-7.208995810068717,-3.4583342478717993
-11.190387473845039,-5.3658750704361005,-6.993278833494352,-3.6831851800898963
-11.184010508560855,-3.127539122367682,-4.670944962928538,-1.505084054544801
-11.177633543276672,1.0038749883225533,-0.552339412777278,2.5587509340125907
