dt,bin,x_center,n,w_sum,median_dx,mad_dx,sigma_dx,var_mad_dx,D_mad,median_lo,median_hi,sigma_lo,sigma_hi,var_mad_lo,var_mad_hi
1,1,-13.10688080053512,28500,28500.0,1.1096447951586548,0.38560509943237875,0.5716981204184447,0.3268387408899825,0.16341937044499125,1.0978569918608514,1.1157635185016004,0.552985288022092,0.5812301110446135,0.30579275190542266,0.33782844918723626
1,2,-12.760307210399349,30363,30363.0,0.694959281771828,0.40182124590212176,0.5957401791744857,0.3549063610828484,0.1774531805414242,0.684640405973914,0.7033911973600944,0.5863889116110418,0.605782798639692,0.3438519694894504,0.3669728029199
1,3,-12.546027771414032,26560,26560.0,0.7560714551960963,0.4398335895551426,0.6520972798744544,0.42523086241966257,0.21261543120983128,0.738078500726747,0.7624166703732098,0.6418432499021317,0.662263859347428,0.4119628481496862,0.43859341939774993
1,4,-12.39369367669558,29872,29872.0,0.4700413591541785,0.4387938473076503,0.6505557580183223,0.42322279429079396,0.21161139714539698,0.4640172144532037,0.4756978268527962,0.6377036584984807,0.6578345410656312,0.40666601294234017,0.43274628341902965
1,5,-12.262567968992428,31677,31677.0,0.4153102174596945,0.4584474937670801,0.6796942542590729,0.4619842792727973,0.23099213963639864,0.4075170444251093,0.4252352798195442,0.6720825064604965,0.6939612168673666,0.4516948972253067,0.48158217051603613
1,6,-12.119670173845613,31328,31328.0,0.3004680185081145,0.46547534844627936,0.6901137516064537,0.4762569901563341,0.23812849507816705,0.28772861044034337,0.30924010707656463,0.6777564447179765,0.6974835687452691,0.4593540030038822,0.4864833450075585
1,7,-11.99926593035247,34713,34713.0,0.1232478236728074,0.4810319364927391,0.713177949044135,0.5086227870027988,0.2543113935013994,0.1138617229781054,0.1337077937207542,0.7087185398920138,0.7253469771688871,0.5022820245561964,0.526128237426635
1,8,-11.88729016568336,33249,33249.0,0.1209817557435783,0.5009932912523568,0.7427726536107442,0.5517112149519465,0.27585560747597326,0.11232578111839112,0.13760019750388283,0.730415392897396,0.7508468496688332,0.533507155110376,0.5637710409742761
1,9,-11.730522976511123,34934,34934.0,0.027047433676163,0.5144440423597239,0.7627147372025266,0.5817337703459192,0.2908668851729596,0.0198284685630802,0.03907355115218282,0.7546507940378518,0.7698051041210301,0.5694978237251133,0.5925999046154595
1,10,-11.623114426334194,32296,32296.0,-0.2105472222763325,0.5193554579065278,0.7699964018922181,0.5928944589269622,0.2964472294634811,-0.2212167996174329,-0.19340972252487998,0.7605828584772283,0.7804851005289003,0.5784862846584344,0.6091570227539956
1,11,-11.482398110500611,35411,35411.0,-0.141349779512133,0.5441405074108587,0.8067427162873391,0.6508338102826741,0.32541690514133703,-0.1467437775533309,-0.132499835198697,0.7979881244059418,0.8160892740706798,0.6367850629508637,0.6660017066143642
1,12,-11.337984021410762,35444,35444.0,-0.2972204288953932,0.5493412921239322,0.8144533997029418,0.6633343402876799,0.33166717014383995,-0.30867674438086057,-0.29256756566619674,0.8066234995607255,0.8249549556960815,0.6506414866626857,0.6805506846680798
1,13,-11.196933613601477,33393,33393.0,-0.3641320104381194,0.574582872463571,0.8518765667144903,0.7256936849172675,0.36284684245863374,-0.3728487946529064,-0.34974623618959044,0.8417865955391727,0.8646352939275721,0.7086046793215427,0.7475942100988776
1,14,-11.030873545631414,32594,32594.0,-0.3600384543087251,0.5883604868693322,0.8723032578324719,0.7609129736251439,0.38045648681257194,-0.370995002328109,-0.346706053291346,0.8618470835075693,0.882186308207875,0.7427803998449212,0.7782526827044932
1,15,-10.870314351771045,33301,33301.0,-0.3850100540602152,0.5836101254660024,0.8652603720158951,0.7486755113810852,0.3743377556905426,-0.4001983753605724,-0.3711859572867619,0.8551191256369897,0.8742272199961442,0.731228745965042,0.7642732461882537
1,16,-10.692913725426692,32206,32206.0,-0.4124195946265114,0.5874268183111955,0.8709190008281784,0.7584999060035527,0.37924995300177633,-0.42567756319264327,-0.4005845064265182,0.8600471390090592,0.8849614737241122,0.7396810858449075,0.7831568162552373
1,17,-10.485420769753684,31987,31987.0,-0.4179507176866881,0.5827930109543935,0.8640489180409837,0.7465805327677946,0.3732902663838973,-0.4310436225312831,-0.4039317944083755,0.8533068032781297,0.8761351565317794,0.7281325164650808,0.7676129146666655
1,18,-10.227313079662697,31656,31656.0,-0.441844913542603,0.5616584061690431,0.8327147529862232,0.6934138598409068,0.3467069299204534,-0.45440554262253147,-0.42966352198832664,0.823619657026794,0.8435577500546423,0.6783497259472883,0.711589767658864
1,19,-9.864686935339282,32333,32333.0,-0.4341056718435645,0.5356636747803484,0.7941749642293444,0.6307138738086805,0.31535693690434025,-0.4448981574366585,-0.42364875072117325,0.7825809598497904,0.8038712129950801,0.6124329635825019,0.6462091372920177
1,20,-9.109785867686664,32937,32937.0,-0.3220647934974741,0.46721051596992336,0.6926863109770083,0.4798143254149366,0.2399071627074683,-0.3333125108547516,-0.31293204378779493,0.6819268498043813,0.7032632497248641,0.46502423171245105,0.4945791984343328
2,1,-13.08684085701425,26977,26977.0,1.075946487074221,0.5440236943231209,0.806569529203459,0.6505544054394895,0.16263860135987238,1.0652599971129053,1.0945614810723967,0.7916585003474835,0.818137240987957,0.6267231822815247,0.6693486188876061
2,2,-12.737811642677704,29132,29132.0,0.7030249920642753,0.46091643151821415,0.6833547013689043,0.4669736478829844,0.1167434119707461,0.6973261587177522,0.7126855198567187,0.6700684568411008,0.6926352611686435,0.44899175639658456,0.479743605014155
2,3,-12.52875650764731,29592,29592.0,0.4564319888249653,0.4769263456083941,0.707090999999005,0.49997768227959294,0.12499442056989823,0.440148000401366,0.4661423904940758,0.6979999869787381,0.7207232646010804,0.48720398182231855,0.5194421185617579
2,4,-12.383516296048318,28931,28931.0,0.4932223132061857,0.4335841928999642,0.6428319243934869,0.41323288301943367,0.10330822075485842,0.4915703368740036,0.5034570234529276,0.6381006028512783,0.6526604215968755,0.4071723799160653,0.42596563145456584
2,5,-12.258042123406137,24793,24793.0,0.3311433005525597,0.4886733395904326,0.7245070932767753,0.524910528208362,0.1312276320520905,0.3255091969574089,0.3452432960586282,0.7107249173349993,0.7328451215824066,0.5051299093119272,0.5370619722271321
2,6,-12.119670173845613,26905,26905.0,0.2006175469815083,0.4603817231833992,0.6825619427917077,0.4658908057475904,0.1164727014368976,0.1837380304728366,0.21290554625524344,0.6705904991676512,0.6956294964165982,0.4496916611348175,0.4839008460864094
2,7,-11.990270827454374,25437,25437.0,0.2257827849211704,0.5002756965247598,0.7417087476676089,0.5501318663666527,0.13753296659166317,0.2187851080740213,0.2372088397295268,0.731718623139129,0.7511305337753542,0.5354121444023244,0.5641970794056895
