dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,1,-13.327,-13.747,-12.907,28500,1.1096447951586548,1.0913792795731028,1.117787969478556,0.9823859649122807,0.9807368421052631,0.9838078947368422
1,2,-12.777000000000001,-12.907,-12.647,30363,0.694959281771828,0.6864636705803946,0.7041796872113402,0.9062345618021934,0.9028546256957481,0.9096927181108586
1,3,-12.5545,-12.647,-12.462,26560,0.7560714551960963,0.7395478389943229,0.7625378679081827,0.907191265060241,0.9036323418674699,0.9104903990963855
1,4,-12.3895,-12.462,-12.317,29872,0.4700413591541785,0.464596165587162,0.4756978268527962,0.7741697911087306,0.7693919054633102,0.7785392675415104
1,5,-12.248999999999999,-12.317,-12.181,31677,0.4153102174596945,0.4095512450418549,0.4252352798195442,0.7288884679736086,0.7238209110711241,0.7344611232124254
1,6,-12.119,-12.181,-12.057,31328,0.3004680185081145,0.2890078391653574,0.30924010707656463,0.6700715015321757,0.6645173646578141,0.675134863381001
1,7,-11.995000000000001,-12.057,-11.933,34713,0.1232478236728074,0.11349134122183667,0.1337077937207542,0.5694408434880304,0.5644556794284562,0.5749049347506697
1,8,-11.868,-11.933,-11.803,33249,0.1209817557435783,0.11180106107177794,0.1360557562006441,0.5608589732022016,0.5551354927967759,0.5662440975668441
1,9,-11.7375,-11.803,-11.672,34934,0.027047433676163,0.019252055243370727,0.03842335400315353,0.5120512967309784,0.5066396633652029,0.5179073395545887
1,10,-11.6125,-11.672,-11.553,32296,-0.2105472222763325,-0.2194386449378029,-0.19112876267516762,0.3958694575179589,0.3908355523903889,0.4015535979687887
1,11,-11.484,-11.553,-11.415,35411,-0.141349779512133,-0.14673218079997913,-0.13209497939791867,0.42735308237553304,0.42265044760102793,0.4320656010844088
1,12,-11.341,-11.415,-11.267,35444,-0.2972204288953932,-0.30703495894419763,-0.2905603995493564,0.35619568897415643,0.35129852725426025,0.3612339182936463
1,13,-11.192,-11.267,-11.117,33393,-0.3641320104381194,-0.3732657405210791,-0.34952142620367294,0.3423471985146588,0.33705941364956726,0.34790599826310903
1,14,-11.0385,-11.117,-10.96,32594,-0.3600384543087251,-0.3705775347523607,-0.3453160199735768,0.34509418911456097,0.33991915690004293,0.35025004602074
1,15,-10.872,-10.96,-10.784,33301,-0.3850100540602152,-0.4010840901099255,-0.37118595728819803,0.33440437224107383,0.32901339299120147,0.33863022131467524
1,16,-10.690000000000001,-10.784,-10.596,32206,-0.4124195946265114,-0.4272596490385384,-0.400729647269836,0.308327640812271,0.30377336521145126,0.31323511146991245
1,17,-10.4805,-10.596,-10.365,31987,-0.4179507176866881,-0.43094822224440066,-0.406433535118505,0.3051864820083159,0.3002438490636821,0.30971957357676555
1,18,-10.217500000000001,-10.365,-10.07,31656,-0.441844913542603,-0.4529686336728647,-0.42975884064082887,0.28771796815769524,0.28328752843062927,0.29329747915087184
1,19,-9.827,-10.07,-9.584,32333,-0.4341056718435645,-0.4437521596478024,-0.4222241693086328,0.28110599078341014,0.27612501159805775,0.28627408529984844
1,20,-6.306,-9.584,-3.028,32937,-0.3220647934974741,-0.33294821706260685,-0.312023153047317,0.30449039074596956,0.2996728603090749,0.30965175941949785
2,1,-13.327,-13.747,-12.907,26977,1.075946487074221,1.0652656573467507,1.0945614810723967,0.9201171368202543,0.9170209808355265,0.9236951847870408
2,2,-12.777000000000001,-12.907,-12.647,29132,0.7030249920642753,0.6973261587177522,0.711535976952085,0.8575106412192778,0.8535270492928738,0.8611852945214884
2,3,-12.5545,-12.647,-12.462,29592,0.4564319888249653,0.4388904294002707,0.4661423904940758,0.7427345228440119,0.7378100500135172,0.7470456542308732
2,4,-12.3895,-12.462,-12.317,28931,0.4932223132061857,0.4915703368740036,0.4985984931599017,0.7905015381424769,0.7860029034599565,0.7957588745636168
2,5,-12.248999999999999,-12.317,-12.181,24793,0.3311433005525597,0.3244842692508651,0.34464131970518985,0.6836607106844674,0.6777104424635986,0.6886469971362884
2,6,-12.119,-12.181,-12.057,26905,0.2006175469815083,0.1837380304728366,0.2142846824738065,0.6195502694666419,0.614028061698569,0.6247361085300129
2,7,-11.995000000000001,-12.057,-11.933,25437,0.2257827849211704,0.2180499711846018,0.2363327120738425,0.6240515784094036,0.6182293509454732,0.6297745410229194
2,8,-11.868,-11.933,-11.803,25348,0.0730955938402626,0.0673277557573666,0.09013235664323879,0.5409499763294935,0.5345096260059965,0.5467305112829415
2,9,-11.7375,-11.803,-11.672,27774,0.0095684508035542,-0.0043584432077601,0.0191451035890799,0.504068553323252,0.4984274861381148,0.5100489666594658
2,10,-11.6125,-11.672,-11.553,23667,-0.1587815887771562,-0.16587417092142112,-0.1417751753591236,0.416698356361178,0.4103804875987662,0.4235433303756285
2,11,-11.484,-11.553,-11.415,24976,-0.083279039550181,-0.0974407137472628,-0.07185796321992875,0.4548366431774504,0.44894899103139013,0.4615841207559257
2,12,-11.341,-11.415,-11.267,25335,-0.2247677440917321,-0.23639499046856302,-0.21004597436923966,0.39696072626800866,0.3909552003157687,0.4037122557726465
2,13,-11.192,-11.267,-11.117,24307,-0.2715791936541567,-0.2846743663920443,-0.2582826046029157,0.38001398774015716,0.3733081005471675,0.38602460196651167
2,14,-11.0385,-11.117,-10.96,24412,-0.3164355977219273,-0.3326598760117563,-0.3001732677877999,0.37321808946419793,0.3672722431591021,0.37902363591676225
2,15,-10.872,-10.96,-10.784,24794,-0.3580586942967958,-0.3704778958938677,-0.34548910745116224,0.33487940630797774,0.3289112285230298,0.3404664434943938
2,16,-10.690000000000001,-10.784,-10.596,25047,-0.4482675542313217,-0.46426618423943933,-0.43376223195655056,0.30382880185251726,0.29821834950293447,0.310277677965425
2,17,-10.4805,-10.596,-10.365,24375,-0.4676495632866597,-0.48166440317767073,-0.4534290971681072,0.2914871794871795,0.2850615384615385,0.2969025641025641
2,18,-10.217500000000001,-10.365,-10.07,23479,-0.4583971551440786,-0.4709482639858866,-0.4467193135930252,0.2858724817922399,0.2799927594872013,0.2911335661655096
2,19,-9.827,-10.07,-9.584,24026,-0.4547517158641465,-0.47039020835782214,-0.4434370640596395,0.28040456172479816,0.27463685174394403,0.2869193790060768
2,20,-6.306,-9.584,-3.028,23605,-0.3295578846087501,-0.3395544718604757,-0.3164521916784988,0.310527430629104,0.30406587587375555,0.3159500105909765
3,1,-13.327,-13.747,-12.907,15027,0.973470227008402,0.9639364820874708,0.9859226303036586,0.9616689958075464,0.9588390896386504,0.964565448858721
3,2,-12.777000000000001,-12.907,-12.647,14811,0.8295191388229686,0.8216705969234805,0.8406602135992411,0.9102693943690501,0.9063533859968942,0.9143558841401661
3,3,-12.5545,-12.647,-12.462,21018,0.4432602823488931,0.4146806383846663,0.4494809865175284,0.734846322200019,0.7280628508897136,0.7411766105243125
3,4,-12.3895,-12.462,-12.317,16638,0.5091978419487955,0.5015923047458433,0.5262021137592114,0.8169852145690588,0.8106713547301359,0.8227866931121529
3,5,-12.248999999999999,-12.317,-12.181,17910,0.3435479925991043,0.3244869459461839,0.3538415762354638,0.696929089893914,0.6902526521496372,0.7030499720826354
3,6,-12.119,-12.181,-12.057,18664,0.3067043959176736,0.2918370796093131,0.3214812895791947,0.6759001285897985,0.6692281933133305,0.6829779254179168
3,7,-11.995000000000001,-12.057,-11.933,18998,0.0862405699929151,0.07056868854742165,0.0979418634971747,0.5430045267922939,0.5367130750605327,0.5500184229918939
3,8,-11.868,-11.933,-11.803,18070,0.0688271933583291,0.05650002839099843,0.09064403004463444,0.5464858882125069,0.5404537908135031,0.5538461538461539
3,9,-11.7375,-11.803,-11.672,19907,-0.0134463993519471,-0.02986037904350053,-0.0034110608443413933,0.492891947556136,0.4859572009845783,0.4996257597829909
3,10,-11.6125,-11.672,-11.553,20184,-0.2082280825137452,-0.22591254977062938,-0.1972710667341175,0.3936286167261197,0.387034284581847,0.4003455707491082
3,11,-11.484,-11.553,-11.415,18665,-0.1787961281014887,-0.1959514689195458,-0.1673897157125792,0.405089740155371,0.39831100991159923,0.41268015001339403
3,12,-11.341,-11.415,-11.267,20510,-0.287747343100925,-0.3009637658315505,-0.2745322597163024,0.3604095563139932,0.3537944904924427,0.36653705509507556
3,13,-11.192,-11.267,-11.117,19652,-0.4188482509409521,-0.43354369230408885,-0.3999860165195836,0.31050274781192755,0.3041662426216161,0.3175249338489721
