dt,x_star,slope,abs_slope,tau_drift,n_win,n_rows,n_bins_kept,var_mad_pooled,D_mad_pooled,x_star_lo,x_star_hi,slope_lo,slope_hi,tau_drift_lo,tau_drift_hi,var_mad_pooled_lo,var_mad_pooled_hi,D_mad_pooled_lo,D_mad_pooled_hi,n_boot_valid_xstar,n_boot_valid_slope,n_boot_valid_varpool,has_crossing,mean_reverting
1,-11.718295741746449,-0.6565354148164386,0.6565354148164386,1.5231470800087623,5,644754,20,0.76902795718803,0.384513978594015,-11.721334734572766,-11.713728539650454,-0.6796666951521809,-0.6316945371472963,1.471309409686109,1.583043610711653,0.7651268733470913,0.7731587780463428,0.38256343667354564,0.3865793890231714,300,300,300,True,True
2,-11.72437496121,-0.663035566521692,0.663035566521692,3.0164294360437864,5,512912,20,0.7703013337874928,0.1925753334468732,-11.73958850282097,-11.719182141655919,-0.6970029654743614,-0.6351355615473057,2.869429430245997,3.148934618392093,0.7641099694289989,0.7762983530157505,0.19102749235724972,0.1940745882539376,300,300,300,True,True
3,-11.753793810643556,-0.6077993186106574,0.6077993186106574,4.935839689418495,5,378779,20,0.7780892242214055,0.12968153737023425,-11.775465558370769,-11.735645846695157,-0.6489343354679177,-0.5723811077538178,4.622964058999093,5.241266371243303,0.7722514593101527,0.7843624049020466,0.12870857655169213,0.13072706748367444,300,300,300,True,True
4,-11.800887980721836,-0.6968736681690524,0.6968736681690524,5.739921283737833,5,267771,20,0.6937385348718742,0.08671731685898428,-11.810013702103959,-11.791402799530367,-0.752621379317303,-0.660939404791754,5.314769762719674,6.051992706877917,0.6871556518131781,0.7003991614571279,0.08589445647664726,0.08754989518214099,300,300,300,True,True
5,-11.704852975979168,-0.46942240799349,0.46942240799349,10.651387566631332,5,122711,20,0.7671837531526334,0.07671837531526335,-11.71441211208869,-11.695205770285519,-0.5409630365541792,-0.4101629241529155,9.242792298440495,12.190401008141588,0.7562867020638836,0.7765347591419018,0.07562867020638836,0.07765347591419018,300,300,300,True,True
