x_edge_ln
-13.745778305127477
-12.90656155908676
-12.64696681232752
-12.461975696368665
-12.316969917318165
-12.180783742038065
-12.05651058834661
-11.932755238660029
-11.802746415572884
-11.672178818156072
-11.55292189160849
-11.41546335034686
-11.266713710086997
-11.116912543792902
-10.959818448890116
-10.784339270119029
-10.595842752855896
-10.364723692730337
-10.070163612763034
-9.584199660896656
-3.028181246886827
