dt,bin,x_center,n,w_sum,median_dx,mad_dx,sigma_dx,var_mad_dx,D_mad,median_lo,median_hi,sigma_lo,sigma_hi,var_mad_lo,var_mad_hi
1,1,-13.10688080053512,28500,40822.19528664208,1.0293181181109876,0.35849018617716766,0.5314975500262688,0.28248964568392604,0.14124482284196302,1.0287654892585154,1.0386990216279963,0.5202094912473605,0.5446664045526581,0.2706179147838376,0.2966615035462544
1,2,-12.760307210399349,30363,42459.56045233201,0.6210316347956351,0.36525358150840137,0.5415249599443558,0.29324928224273616,0.14662464112136808,0.6075287790036068,0.6289194230761392,0.526569442468471,0.5487508130800848,0.27727588009093557,0.30112755385089823
1,3,-12.546027771414032,26560,35482.213698032254,0.631636233991145,0.4169217577489839,0.6181281980386435,0.3820824692105005,0.19104123460525024,0.6193006288466005,0.6528592641550962,0.5960888263397468,0.6270738639108295,0.355321895681212,0.39322163092513485
1,4,-12.39369367669558,29872,40238.68634832241,0.3631431154598399,0.41815087098287584,0.6199504813192117,0.38433859928792224,0.19216929964396112,0.3455518414941085,0.3690365238590569,0.601136988377709,0.62897407638014,0.3613656788240012,0.395608740110446
1,5,-12.262567968992428,31677,41281.49243272607,0.2961553263565601,0.42865516154057903,0.6355241425000624,0.4038909357004396,0.2019454678502198,0.2818598303036861,0.3061638724131325,0.6217610713130598,0.647288116398585,0.3865868377922955,0.41898215145313933
1,6,-12.119670173845613,31328,38117.672795566534,0.1700491457767476,0.4310393939482343,0.6390590054676522,0.40839641246930464,0.20419820623465232,0.1569812282684164,0.1807445421185498,0.628454590338839,0.6437916543168655,0.39495517211795794,0.41446792996737364
1,7,-11.99926593035247,34713,43933.52674471025,-0.0276968344963091,0.4567443275029337,0.6771691399558495,0.4585580441085449,0.22927902205427245,-0.0386588462215353,-0.0147167995546908,0.6646396689938028,0.6890223739247133,0.44174588960019173,0.474751839056925
1,8,-11.88729016568336,33249,38190.31725395808,-0.0368239782377699,0.4535017496964464,0.6723616940999514,0.4520702476929566,0.2260351238464783,-0.0425330204810734,-0.023725521250763153,0.663189222440907,0.6886008158851923,0.4398199499241812,0.4741710836377525
1,9,-11.730522976511123,34934,37722.630184510555,-0.1487265294488331,0.48669034734559335,0.7215671089745767,0.5206590927539286,0.2603295463769643,-0.1549807021698601,-0.13527575675814388,0.7110803220014127,0.7356944617926823,0.5056352431761858,0.5412463411165344
1,10,-11.623114426334194,32296,34617.028430202845,-0.4121568216240785,0.4681700123218082,0.6941088602683129,0.4817871099029763,0.24089355495148815,-0.416246337009003,-0.4050038010827119,0.6853094348977209,0.7010276113420575,0.46964902155983357,0.4914397118641806
