dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,1,-13.327,-13.747,-12.907,28500,1.0293181181109876,1.028265491765639,1.0386990217044416,0.9799865156486147,0.9777281332660879,0.9819062080255083
1,2,-12.777000000000001,-12.907,-12.647,30363,0.6210316347956351,0.6075287790036068,0.6315465683064883,0.8889860813910897,0.8840982650250512,0.8939841926800296
1,3,-12.5545,-12.647,-12.462,26560,0.631636233991145,0.6205368784055206,0.6523711454150156,0.8902390495689034,0.8852130173319849,0.8953892439281502
1,4,-12.3895,-12.462,-12.317,29872,0.3631431154598399,0.3463961803636598,0.36949736643348535,0.7298018195780084,0.7223143350018704,0.7366737465368395
1,5,-12.248999999999999,-12.317,-12.181,31677,0.2961553263565601,0.2826828097874188,0.3081371264221673,0.6635462363992366,0.6559840628763565,0.6708165183660084
1,6,-12.119,-12.181,-12.057,31328,0.1700491457767476,0.1559533911174799,0.1807445421185498,0.5991469555600889,0.5925455360388486,0.6059663703034531
1,7,-11.995000000000001,-12.057,-11.933,34713,-0.0276968344963091,-0.0380273589686765,-0.0147167995546908,0.4782784880877524,0.4721726911465118,0.48494590714754504
1,8,-11.868,-11.933,-11.803,33249,-0.0368239782377699,-0.043182045902945686,-0.023771037905957332,0.48195350133151865,0.4744576160918527,0.49013502389775826
1,9,-11.7375,-11.803,-11.672,34934,-0.1487265294488331,-0.15645559625134597,-0.1339928935891521,0.4263996289535568,0.4197784221667459,0.4327560891895013
1,10,-11.6125,-11.672,-11.553,32296,-0.4121568216240785,-0.41690606308645023,-0.4050038010827119,0.2922319364887951,0.2848091716735057,0.29999605275574254
1,11,-11.484,-11.553,-11.415,35411,-0.329812629717173,-0.3500634262658373,-0.31618371390978756,0.33923568430727663,0.3327550775789025,0.3457477009300565
1,12,-11.341,-11.415,-11.267,35444,-0.5574132520674002,-0.5739185113033027,-0.5492620875106802,0.24904559977446789,0.2438166247067782,0.2566095959915627
1,13,-11.192,-11.267,-11.117,33393,-0.6072154493105391,-0.6242654471350281,-0.5857519043294327,0.248123026826607,0.24158731390703997,0.25441851500879964
1,14,-11.0385,-11.117,-10.96,32594,-0.5729455466841884,-0.5921048910251127,-0.5594461461458404,0.2666103686297547,0.2592949468966541,0.2739505861889843
1,15,-10.872,-10.96,-10.784,33301,-0.650600165163695,-0.6666462166704168,-0.6337529812495646,0.2523448155005448,0.2452697434231766,0.25813366069702537
1,16,-10.690000000000001,-10.784,-10.596,32206,-0.6519043449618867,-0.6730525461235874,-0.6474199842312309,0.2159605012246515,0.2092775067558361,0.22109306855896205
1,17,-10.4805,-10.596,-10.365,31987,-0.6806444957651578,-0.7040698125685051,-0.659115503456494,0.2144051201222716,0.20786621245240952,0.22037980263298337
