dt,n,msd,msd_lo,msd_hi
1,644754,0.832058298812147,0.8278614155626579,0.8366168133800116
2,512912,0.8003185795064776,0.7960016979695976,0.8048886912909913
3,378779,0.8322793699973136,0.8268327400190348,0.8378707404886192
4,267771,0.7633335569654,0.7562886711013432,0.7706485347122823
5,122711,0.8660696691973337,0.8561778779098547,0.8759349709309854
