model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,22538,5,7487.357492142355,-24826.57946840583,-24786.46467814327,-2.54108157948236,-0.31194720635595863,,,0.999,0.20138382983871542,0.5108483865070478,,,16.0,2.0,-9.867235752181205,3.2056706379313233
rational_saturating,22538,3,7570.817841452147,-24580.74194521024,-24556.673071052704,,,-9.417013227915083,,0.999,0.2622324411802407,0.5412197978716344,-0.4845211542731416,2.0638933742741497,15.0,2.0,,
tanh_saturating,22538,3,7575.759817763459,-24566.034693372523,-24541.965819214987,,,-9.41618657483339,,0.999,0.2488396413772713,0.5511370453894522,-0.45150229595151375,2.2148281613774756,14.0,2.0,,
OU_linear,22538,2,7634.454258451193,-24394.09080752657,-24378.044891421545,-1.831882424621558,-0.196149479397787,-9.339216347888128,5.098152710219644,0.999,,,,,,,,
