bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-11.58772311199863,-10.31672409080351,-10.476217830474514,1126,0.26334687303986004,0.25914639982472387,0.38421045238013557,0.14761767171814844,0.22663509319339561,0.07380883585907422,0.11331754659669781,0.03357842827105782,OU_linear,1,TT,w_clone,0.999,20,200
1,-10.31672409080351,-10.106613415412077,-10.2034213248372,1128,0.15549890867709676,0.2648838103311191,0.39271673719691713,0.1542264356745925,0.20526633675217076,0.07711321783729624,0.10263316837608538,0.03508171648776613,OU_linear,1,TT,w_clone,0.999,20,200
2,-10.106613415412077,-9.923598126784777,-10.01172309807858,1125,0.14255506272240875,0.3052263159643152,0.4525285360486937,0.20478207593837386,0.2166760172415868,0.10239103796918693,0.1083380086207934,0.04658155197857399,OU_linear,1,TT,w_clone,0.999,20,200
3,-9.923598126784777,-9.76136389416373,-9.833903241897689,1129,0.04026954339314298,0.2932987273714655,0.4348446932009347,0.18908990720501503,0.17121440885654846,0.09454495360250752,0.08560720442827423,0.043012071738860624,OU_linear,1,TT,w_clone,0.999,20,200
4,-9.76136389416373,-9.637571961330098,-9.699772097616384,1127,-0.012621620354783605,0.2824830766731658,0.4188094094756356,0.1754013214653306,0.1738738181242662,0.0877006607326653,0.0869369090621331,0.03989834430336883,OU_linear,1,TT,w_clone,0.999,20,200
5,-9.637571961330098,-9.522506060380522,-9.57754903160922,1123,-0.028440591185109807,0.28908505577130517,0.42859750368653704,0.18369582016633113,0.17847878780845558,0.09184791008316556,0.08923939390422779,0.04178508473514931,OU_linear,1,TT,w_clone,0.999,20,200
6,-9.522506060380522,-9.416468954511826,-9.472293613794292,1126,-0.06716895781387809,0.3365658680445942,0.49899255596291536,0.24899357090640323,0.3431367014972816,0.12449678545320161,0.1715683507486408,0.0566382917663056,OU_linear,1,TT,w_clone,0.999,20,200
7,-9.416468954511826,-9.317607578541894,-9.367159742312566,1131,-0.06361344592530814,0.3512539000111883,0.5207690321565878,0.27120038485330916,0.36551588522030776,0.13560019242665458,0.18275794261015388,0.06168965113653493,OU_linear,1,TT,w_clone,0.999,20,200
8,-9.317607578541894,-9.214392806980074,-9.26641665828837,1127,-0.11636335739354209,0.33141885190373754,0.49136158983248124,0.24143621196270354,0.2492945320206696,0.12071810598135177,0.1246472660103348,0.05491922769859576,OU_linear,1,TT,w_clone,0.999,20,200
9,-9.214392806980074,-9.11708996804717,-9.166330109398462,1124,-0.08240612478453468,0.3549219275215713,0.5262072497434817,0.2768940696825989,0.289361770843391,0.13844703484129944,0.1446808854216955,0.06298478731781376,OU_linear,1,TT,w_clone,0.999,20,200
10,-9.11708996804717,-9.00651672903175,-9.064210368554383,1130,-0.10072192202434624,0.37075475633862576,0.5496810017476466,0.3021492036822962,0.3278855456061813,0.1510746018411481,0.16394277280309064,0.06872954467385688,OU_linear,1,TT,w_clone,0.999,20,200
11,-9.00651672903175,-8.889661655311748,-8.94981459526902,1127,-0.05685456281603149,0.3581984990904312,0.5310650947514733,0.28203013486339135,0.34375066011537425,0.14101506743169567,0.17187533005768713,0.06415308237531883,OU_linear,1,TT,w_clone,0.999,20,200
12,-8.889661655311748,-8.754318998490497,-8.823522401252866,1127,-0.07136479885180425,0.31940318303812715,0.47354715917232726,0.22424691196018146,0.26136405556946574,0.11212345598009073,0.13068202778473287,0.051009196667443676,OU_linear,1,TT,w_clone,0.999,20,200
13,-8.754318998490497,-8.597675162523384,-8.680023146405262,1126,-0.06867624853821191,0.36929259931672437,0.5475132077469755,0.2997707126573828,0.3231117417496358,0.1498853563286914,0.1615558708748179,0.06818851195505136,OU_linear,1,TT,w_clone,0.999,20,200
14,-8.597675162523384,-8.4372682099423,-8.519605424247855,1127,-0.004667206354909553,0.35296819644654165,0.5233106480516426,0.27385403436423017,0.3213584623002206,0.13692701718211508,0.1606792311501103,0.062293273851362206,OU_linear,1,TT,w_clone,0.999,20,200
15,-8.4372682099423,-8.239611726240234,-8.341456751393569,1127,0.017431657072549067,0.34130179089721463,0.5060140351842104,0.2560502038034073,0.30379815710536595,0.12802510190170366,0.15189907855268298,0.05824345623482301,OU_linear,1,TT,w_clone,0.999,20,200
16,-8.239611726240234,-7.984983465921255,-8.12735118798228,1127,0.0605123902723719,0.3125111783315908,0.4633290729944165,0.21467382988186534,0.2914296127238453,0.10733691494093267,0.14571480636192266,0.04883161829109968,OU_linear,1,TT,w_clone,0.999,20,200
17,-7.984983465921255,-7.609039077692163,-7.812343752592843,1127,0.1054517776375832,0.3424776238297821,0.5077573250900349,0.2578175011825874,0.2902130380536557,0.1289087505912937,0.14510651902682786,0.05864546141204686,OU_linear,1,TT,w_clone,0.999,20,200
18,-7.609039077692163,-6.956377852943385,-7.370318149679292,1127,0.1382446213961191,0.3433593136930729,0.5090645184813498,0.25914668397664853,0.5779407190404119,0.12957334198832426,0.28897035952020594,0.058947809149889015,OU_linear,1,TT,w_clone,0.999,20,200
19,-6.956377852943385,-3.039465617682323,-6.165021289013288,1127,0.45770178388978083,0.4046074636946963,0.5998710256737567,0.3598452474428849,1.2167886611498513,0.17992262372144244,0.6083943305749256,0.08185359983872749,OU_linear,1,TT,w_clone,0.999,20,200
0,-11.58772311199863,-10.31672409080351,-10.476217830474514,1126,0.25047899579319277,0.2650477109606781,0.3929597362703013,0.15441735432962475,0.235154808107838,0.07720867716481238,0.117577404053919,0.03512514454274758,tanh_saturating,1,TT,w_clone,0.999,20,200
1,-10.31672409080351,-10.106613415412077,-10.2034213248372,1128,0.10332024454774427,0.26187288670256015,0.38825274182521563,0.15074019153479754,0.1888137923793416,0.07537009576739877,0.0944068961896708,0.03428870439496595,tanh_saturating,1,TT,w_clone,0.999,20,200
2,-10.106613415412077,-9.923598126784777,-10.01172309807858,1125,0.07858822350878941,0.30431775886287055,0.4511815092900918,0.2035647543252852,0.20055369750968363,0.1017823771626426,0.10027684875484182,0.04630464917966011,tanh_saturating,1,TT,w_clone,0.999,20,200
3,-9.923598126784777,-9.76136389416373,-9.833903241897689,1129,-0.021629791538565313,0.292084982168884,0.4330451945635874,0.18752814053461528,0.16829405253608393,0.09376407026730764,0.08414702626804196,0.04265681840429864,tanh_saturating,1,TT,w_clone,0.999,20,200
4,-9.76136389416373,-9.637571961330098,-9.699772097616384,1127,-0.056799114616122096,0.28476116047366,0.4221868965182483,0.17824177559171012,0.1754834140497297,0.08912088779585506,0.08774170702486485,0.040544459257152776,tanh_saturating,1,TT,w_clone,0.999,20,200
5,-9.637571961330098,-9.522506060380522,-9.57754903160922,1123,-0.05253452254475788,0.2909920561002939,0.4314248223742957,0.1861273773606926,0.17948768278492638,0.0930636886803463,0.08974384139246319,0.04233818835673829,tanh_saturating,1,TT,w_clone,0.999,20,200
6,-9.522506060380522,-9.416468954511826,-9.472293613794292,1126,-0.06159082263584502,0.33649344509485324,0.4988851816976294,0.24888642451747672,0.3423936794003375,0.12444321225873836,0.17119683970016875,0.0566139192959015,tanh_saturating,1,TT,w_clone,0.999,20,200
7,-9.416468954511826,-9.317607578541894,-9.367159742312566,1131,-0.03532499786765098,0.3484053806056494,0.5165458172859357,0.2668195813555953,0.3623960015984519,0.13340979067779765,0.18119800079922596,0.06069315461748371,tanh_saturating,1,TT,w_clone,0.999,20,200
8,-9.317607578541894,-9.214392806980074,-9.26641665828837,1127,-0.05999120870639768,0.33123682105571856,0.4910917108972083,0.24117106851194725,0.23864302498925535,0.12058553425597363,0.11932151249462768,0.05485891581154906,tanh_saturating,1,TT,w_clone,0.999,20,200
9,-9.214392806980074,-9.11708996804717,-9.166330109398462,1124,-0.012094363769511549,0.3539854864519676,0.5248188822136871,0.275434859128024,0.28266346009778176,0.137717429564012,0.14133173004889088,0.06265286230931806,tanh_saturating,1,TT,w_clone,0.999,20,200
10,-9.11708996804717,-9.00651672903175,-9.064210368554383,1130,-0.01219367831193005,0.37279393206286227,0.5527042836763996,0.30548202519424195,0.3144609440163224,0.15274101259712097,0.1572304720081612,0.06948765789144498,tanh_saturating,1,TT,w_clone,0.999,20,200
11,-9.00651672903175,-8.889661655311748,-8.94981459526902,1127,0.03938631620902944,0.35809058907846913,0.5309051073677383,0.28186023302914975,0.33847543524846807,0.14093011651457488,0.16923771762423404,0.06411443499328252,tanh_saturating,1,TT,w_clone,0.999,20,200
12,-8.889661655311748,-8.754318998490497,-8.823522401252866,1127,0.023784500019222637,0.3207539498334677,0.4755498060230992,0.22614761800860728,0.2546904850077721,0.11307380900430364,0.12734524250388604,0.05144154816688536,tanh_saturating,1,TT,w_clone,0.999,20,200
13,-8.754318998490497,-8.597675162523384,-8.680023146405262,1126,0.01903553684551787,0.3714514534196074,0.5507139248399099,0.3032858270125779,0.3178941078369721,0.15164291350628895,0.15894705391848604,0.06898809112376939,tanh_saturating,1,TT,w_clone,0.999,20,200
14,-8.597675162523384,-8.4372682099423,-8.519605424247855,1127,0.0717451729298591,0.35198577549630317,0.521854110750819,0.27233171290752806,0.3188075478908155,0.13616585645376403,0.15940377394540775,0.061946993075866964,tanh_saturating,1,TT,w_clone,0.999,20,200
15,-8.4372682099423,-8.239611726240234,-8.341456751393569,1127,0.059487653668183565,0.3462053123282052,0.513283996057797,0.26346046060906053,0.3038490376010435,0.13173023030453027,0.15192451880052174,0.05992905914213505,tanh_saturating,1,TT,w_clone,0.999,20,200
16,-8.239611726240234,-7.984983465921255,-8.12735118798228,1127,0.06524179993295157,0.32325330641069705,0.47925535208449943,0.2296856925016375,0.2901363959403999,0.11484284625081875,0.14506819797019996,0.052246350052723996,tanh_saturating,1,TT,w_clone,0.999,20,200
17,-7.984983465921255,-7.609039077692163,-7.812343752592843,1127,0.05138895550243863,0.33019621275863564,0.48954890503595316,0.23965813042190068,0.2842637289143417,0.11982906521095034,0.14213186445717085,0.05451476946007309,tanh_saturating,1,TT,w_clone,0.999,20,200
18,-7.609039077692163,-6.956377852943385,-7.370318149679292,1127,-0.005841625777631504,0.3405126272607544,0.5048440211767944,0.25486748571795564,0.6077299473861587,0.12743374285897782,0.30386497369307935,0.05797442466201072,tanh_saturating,1,TT,w_clone,0.999,20,200
19,-6.956377852943385,-3.039465617682323,-6.165021289013288,1127,0.04577369583406174,0.36692889592750344,0.5440087811021166,0.2959455539162106,1.2152143512296,0.1479727769581053,0.6076071756148,0.06731840733328832,tanh_saturating,1,TT,w_clone,0.999,20,200
0,-11.58772311199863,-10.31672409080351,-10.476217830474514,1126,0.25541046964366976,0.2649716524810316,0.3928469719683774,0.1543287433847231,0.2369558115417071,0.07716437169236155,0.11847790577085356,0.03510498830926429,rational_saturating,1,TT,w_clone,0.999,20,200
1,-10.31672409080351,-10.106613415412077,-10.2034213248372,1128,0.10921654493481009,0.26190453866537344,0.3882996690252826,0.15077663296514404,0.1904178593320012,0.07538831648257202,0.0952089296660006,0.03429699368676105,rational_saturating,1,TT,w_clone,0.999,20,200
2,-10.106613415412077,-9.923598126784777,-10.01172309807858,1125,0.08274824517490059,0.30380542358952906,0.45042192101383577,0.2028799069297941,0.20122917327729012,0.10143995346489705,0.10061458663864506,0.04614886770120659,rational_saturating,1,TT,w_clone,0.999,20,200
3,-9.923598126784777,-9.76136389416373,-9.833903241897689,1129,-0.023029413941106858,0.2921693887287771,0.4331703357292849,0.18763653975582142,0.1683960144507263,0.09381826987791071,0.08419800722536315,0.04268147585507364,rational_saturating,1,TT,w_clone,0.999,20,200
4,-9.76136389416373,-9.637571961330098,-9.699772097616384,1127,-0.060642753661955574,0.2845513767039059,0.4218758711012109,0.1779792506174055,0.17578247776552797,0.08898962530870275,0.08789123888276398,0.04048474299204408,rational_saturating,1,TT,w_clone,0.999,20,200
5,-9.637571961330098,-9.522506060380522,-9.57754903160922,1123,-0.05626339828922143,0.29082752829913844,0.4311808934563026,0.1859169628817754,0.17977448904985668,0.0929584814408877,0.08988724452492834,0.042290325608293086,rational_saturating,1,TT,w_clone,0.999,20,200
6,-9.522506060380522,-9.416468954511826,-9.472293613794292,1126,-0.0619657584673403,0.33667311770753716,0.4991515643131946,0.24915228415630922,0.34260432555193493,0.12457614207815461,0.17130216277596746,0.056674394093456586,rational_saturating,1,TT,w_clone,0.999,20,200
7,-9.416468954511826,-9.317607578541894,-9.367159742312566,1131,-0.03452262483736961,0.3471655279661031,0.5147076117625444,0.2649239256063022,0.3622309344389878,0.1324619628031511,0.1811154672194939,0.06026195190399156,rational_saturating,1,TT,w_clone,0.999,20,200
8,-9.317607578541894,-9.214392806980074,-9.26641665828837,1127,-0.05530784763520864,0.3312104215058296,0.4910525709245429,0.24113262741160324,0.23801870746621484,0.12056631370580162,0.11900935373310742,0.054850171657034645,rational_saturating,1,TT,w_clone,0.999,20,200
