rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,22533,-1.8513474809346897,-0.19927494531128764,-9.290417709274477,5.0181923193500255,7896.721878305897,-23622.5981478386,-23606.55267547789,0.24180426440127764,0.5398019905962765,-9.39523720089771,2.2323923522724454,7891.76278197773,-23634.753188508006,-23610.684979966944,0.25470033778999573,0.5287933157001663,-9.396016510178221,2.0761390435852674,7883.621370588506,-23658.010997933885,-23633.942789392822,-2.466068051021317,-0.3039272281497525,0.19264524425745583,-9.855930437861701,0.509583545346357,3.290261310537387,7815.895519347219,-23848.4215754448,-23808.30789454303,-12.155040669407754,-4.132304489052331,-35.41285009528656,-27.390113914931135,-225.82342760620304,-201.7552190651404
1,22418,-1.7747929332058672,-0.1902626305745678,-9.328121491047554,5.255892851791932,7581.310910870603,-24301.104186477238,-24285.068947504074,0.25152680852141146,0.5565255431738281,-9.420554532685818,2.212589371468343,7444.988853946803,-24705.87787896161,-24681.82502050187,0.2641614016295696,0.5404585514366783,-9.423447017308183,2.045940656366432,7443.188716527711,-24711.299023445794,-24687.246164986052,-3.0232980686776534,-0.35697691351621874,0.19861024853123785,-9.815519635816901,0.5197477562480453,2.80130160281238,7341.436343697683,-25015.879146548814,-24975.79104911591,-404.7736924843739,-396.75607299779585,-410.19483696855605,-402.177217481978,-714.7749600715761,-690.7221016118347
2,22664,-1.977620310052882,-0.21234851613520422,-9.313087494304472,4.709239406049303,7891.055552517842,-23907.60454106237,-23891.54747497935,0.2583751058549674,0.6158374342893591,-9.39001001710161,2.3835014300295807,7968.691769222505,-23683.714338852176,-23659.628739727646,0.2742415474588711,0.6162529126352737,-9.389980651027596,2.247117252456779,7958.563811976808,-23712.53789263829,-23688.45229351376,0.4549193212486064,-0.059141222510009306,0.21899530376917228,-10.32861153981649,0.5550642647780532,16.908679894649723,7896.368259667946,-23886.35098217557,-23846.208316968015,223.89020221019382,231.91873525170377,195.06664842407918,203.09518146558912,21.25355888680133,45.3391580113348
3,22380,-1.91995391259544,-0.2056761063489931,-9.334841789243347,4.862013472304803,7942.687276819377,-23179.800906340966,-23163.769060377235,0.2572783606924521,0.5541628112259285,-9.417584198291678,2.1539425614125745,7912.849490100103,-23262.03273839668,-23237.98496945108,0.27089398022141914,0.5423556997467173,-9.417609685902173,2.002095798893039,7907.447523422075,-23277.31639822298,-23253.268629277383,-2.2708217167537548,-0.28973421809844097,0.2094047524077254,-9.91895467745585,0.504740465928864,3.451439069099657,7809.064754149588,-23553.51026029085,-23513.43064538152,-82.23183205571331,-74.21590907384598,-97.51549188201534,-89.499568900148,-373.7093539498819,-349.66158500428355
4,22691,-1.6439087120495042,-0.17505168244800115,-9.390990643793582,5.712598622392838,7593.334343010904,-24835.782510479276,-24819.723063181114,0.24034721446259666,0.5243854144249938,-9.429872919374128,2.1817827828689054,7428.134791749926,-25332.894031362852,-25308.804860415607,0.2516459881870577,0.506369291375816,-9.431295720692464,2.0122287465175606,7427.15793163068,-25335.878278581742,-25311.789107634497,-3.613016305552717,-0.41003861545561326,0.18501832110638614,-9.728932775225626,0.5203317696072548,2.4387946947115036,7326.508669434421,-25641.47831234632,-25601.329694100914,-497.1115208835763,-489.0817972344921,-500.09576810246654,-492.06604445338235,-805.6958018670448,-781.6066309197995
5,22551,-1.7738789569813793,-0.18882422936897658,-9.394339714291052,5.295930524074459,7596.454384467375,-24533.693505591058,-24517.646436211366,0.23432117308250108,0.46377969861205165,-9.459769095368284,1.9792479378240462,7500.602016028073,-24818.053408984717,-24793.98280491518,0.24620898124992455,0.45321926159985204,-9.458629219960734,1.8407909382468595,7495.686040992972,-24832.838421991415,-24808.76781792188,-3.1656282884872593,-0.359316316962711,0.18226491523535537,-9.664228000942503,0.38996823406301195,2.7830631474044014,7406.356648378095,-25099.20286855623,-25059.085195107,-284.3599033936589,-276.3363687038145,-299.14491640035703,-291.12138171051265,-565.509362965171,-541.4387588956342
6,22479,-1.9141198799691934,-0.2048792678732393,-9.342672393545827,4.8809233378299135,7550.653891946327,-24519.405982714252,-24503.365309076187,0.25058753410858947,0.5366616684649246,-9.435484772659262,2.141613589734148,7532.475624948295,-24571.589626929275,-24547.528616472177,0.2647026749078393,0.5310505994992236,-9.436619684114087,2.00621546300625,7524.622618046309,-24595.03740621674,-24570.97639575964,-1.2011749674890577,-0.19631958864139218,0.21421667111308815,-10.076679658123743,0.5022942781520958,5.093735204522322,7432.937292522871,-24866.61982180636,-24826.518137711195,-52.18364421502338,-44.16330739598925,-75.63142350248745,-67.61108668345332,-347.21383909210635,-323.1528286350076
7,22376,-2.0154510615529526,-0.2155760971098859,-9.3491397635129,4.638733205612627,8062.4201304821445,-22836.865430446207,-22820.833941976445,0.2665354560032988,0.6071178188717814,-9.40392871890786,2.2778125956505666,8083.946160201476,-22775.202876321593,-22751.15564361695,0.2821656616472239,0.6024563004333262,-9.406261483195273,2.1351155803874673,8075.693928098369,-22798.05635085216,-22774.009118147515,-2.072865547393586,-0.27124255620578325,0.22133439134012373,-9.916480724897317,0.5319564613884624,3.6867371182025406,8023.1262788731465,-22940.186052839403,-22900.107331664993,61.66255412461396,69.6782983594967,38.809079594047944,46.824823828930676,-103.32062239319566,-79.27338968854747
8,22621,-1.916103318004035,-0.20521163722393265,-9.337205939803159,4.87301799024571,7803.111950313161,-24072.798348608856,-24056.74508069414,0.25081721535123985,0.4910323218481552,-9.427664178878597,1.9577297402035283,7748.806241648744,-24228.779430240396,-24204.699528368325,0.26390365125325027,0.4814628126103742,-9.42744598626908,1.8243885991116784,7742.001036778066,-24248.654514413312,-24224.57461254124,-3.240918505702411,-0.36432475018854454,0.19386426040138954,-9.535371377953068,0.40153189396774436,2.744803913218858,7666.628568561131,-24465.960918189034,-24425.827748402244,-155.9810816315403,-147.95444767418303,-175.8561658044564,-167.82953184709913,-393.16256958017766,-369.08266770810224
9,22443,-1.8612609608152135,-0.19933411153203268,-9.337393116060378,5.0167028227845565,7636.238849193865,-24191.20528465984,-24175.16781657876,0.24552334400544987,0.520356897449262,-9.417987852965066,2.1193785037308372,7592.54563731362,-24317.9889634684,-24293.93276134678,0.25848977204094503,0.510009279145388,-9.417805066491237,1.9730346586579912,7587.403773261101,-24333.193079927943,-24309.136877806322,-2.8803895939859516,-0.3401226945141487,0.1974162656251225,-9.768660489381093,0.4928024254710045,2.94011548223343,7518.852385245511,-24532.8847618338,-24492.791091631098,-126.78367880855876,-118.76494476801963,-141.98779526810176,-133.96906122756263,-341.67947717395873,-317.6232750523377
