param,median,ci_lo,ci_hi,n_valid
ou_tau,5.116318819671955,4.518305807566119,5.827431224558975,500
delta_aic (tanh - ou),-196.19664252777693,-636.792096680466,332.8941749251512,500
delta_bic (tanh - ou),-188.17045186581345,-628.7709268046962,340.9189105246692,500
delta_aic (rational - ou),-212.60918555544595,-640.3908752762829,305.28556086453017,500
delta_bic (rational - ou),-204.59042969533766,-632.3588113031756,313.3033061146068,500
delta_aic (hinge - ou),-464.11468139465796,-943.0683002318607,98.94872674394395,500
delta_bic (hinge - ou),-440.0210124420628,-919.0004704753776,123.01588911690318,500
