pool_id,logP_cutoff
1,-11.30732790512642
10,-9.401775358114108
2,-9.478354601743057
3,-10.31593747104387
4,-9.834718715770332
5,-11.30732790512642
6,-9.233967738102592
7,-9.87602921970356
8,-10.409027124684622
9,-10.223275365202175
