bin_type,dt,bin_id,bin_lo,bin_hi,bin_center,n
ln_fgeo,2,3,-9.906,-9.578,-9.742,4981
ln_fgeo,2,4,-9.578,-9.194,-9.386,5034
ln_fgeo,2,5,-9.194,-8.6,-8.897,5219
ln_fgeo,2,6,-8.6,-3.02,-5.81,4905
ln_fgeo,3,1,-11.363999999999999,-10.241,-10.802499999999998,3774
ln_fgeo,3,2,-10.241,-9.906,-10.0735,3688
ln_fgeo,3,3,-9.906,-9.578,-9.742,4111
ln_fgeo,3,4,-9.578,-9.194,-9.386,3997
ln_fgeo,3,5,-9.194,-8.6,-8.897,3919
ln_fgeo,3,6,-8.6,-3.02,-5.81,3853
ln_fgeo,4,1,-11.363999999999999,-10.241,-10.802499999999998,3298
ln_fgeo,4,2,-10.241,-9.906,-10.0735,3084
ln_fgeo,4,3,-9.906,-9.578,-9.742,2776
ln_fgeo,4,4,-9.578,-9.194,-9.386,2625
ln_fgeo,4,5,-9.194,-8.6,-8.897,2666
ln_fgeo,4,6,-8.6,-3.02,-5.81,2791
ln_fgeo,5,1,-11.363999999999999,-10.241,-10.802499999999998,1238
ln_fgeo,5,2,-10.241,-9.906,-10.0735,1258
ln_fgeo,5,3,-9.906,-9.578,-9.742,1241
ln_fgeo,5,4,-9.578,-9.194,-9.386,1143
ln_fgeo,5,5,-9.194,-8.6,-8.897,1083
ln_fgeo,5,6,-8.6,-3.02,-5.81,1308
