x,J_mean,J_lo,J_hi
-10.472805188369211,0.08136558235694093,0.03788690779921224,0.1326022662584437
-10.466062082630547,0.07892204285949651,0.030795487147389746,0.12965750355515185
-10.459318976891883,0.06682653330262989,0.015810028840991804,0.11825808864637728
-10.452575871153218,0.04714515266859508,-0.006394157087899713,0.1003383020372334
-10.445832765414554,0.02500235494572734,-0.03439812529977313,0.0781092695702623
-10.43908965967589,0.0063580217272546985,-0.05546977208730693,0.06085473624963717
-10.432346553937226,-0.004153233699306061,-0.0714482663597013,0.054034821481088686
-10.425603448198562,-0.0049133639668740335,-0.07497529083103743,0.05466157012139607
-10.418860342459897,0.002083757335277108,-0.06927647213976332,0.06216099077593432
-10.412117236721233,0.012420604970715607,-0.05785115580022573,0.07439402945783334
-10.40537413098257,0.021865007660196476,-0.05010426211895833,0.08734604939777305
-10.398631025243906,0.028650286799827653,-0.048741176309582974,0.09648260279075474
-10.391887919505242,0.033736565395939666,-0.04560607437671827,0.10608626692801981
-10.385144813766578,0.03915892679053854,-0.04029657436787053,0.11027648401850669
-10.378401708027914,0.04626035915016332,-0.039963329400889314,0.11867129475305381
-10.37165860228925,0.055378166596841916,-0.027557884630005157,0.12954608139665938
-10.364915496550585,0.06672178779659647,-0.021292670333453168,0.14464518488330536
-10.358172390811921,0.08084863159874664,-0.005669032809366778,0.1531701128430936
-10.351429285073257,0.09784263894056257,0.022629412959533517,0.17118362642114274
-10.344686179334593,0.11614734397282758,0.04124298978527528,0.18547708167592178
-10.337943073595929,0.13265031173631242,0.057086336366249504,0.20316277083489703
-10.331199967857264,0.144214886995505,0.07063373702935064,0.2144588584366138
-10.3244568621186,0.1492335637431273,0.06969948319901988,0.22390471656746871
-10.317713756379938,0.1479161172674779,0.06865318912460833,0.23019615008200692
-10.310970650641273,0.14145012196273202,0.05722501574847086,0.22623690576580355
-10.30422754490261,0.13103115219861866,0.03550997676068376,0.22711364332211387
-10.297484439163945,0.11751572112352161,0.023295634463048696,0.21930435801367046
-10.29074133342528,0.10193417250046133,0.009077336130717203,0.21250505414534654
-10.283998227686617,0.08662435192596313,-0.00913469455344032,0.20083670805020523
-10.277255121947952,0.07596955858549682,-0.021125343854799573,0.1875225955167152
-10.270512016209288,0.0752567117453929,-0.03188487807236088,0.19031398696332769
-10.263768910470624,0.0873957200747217,-0.025420280773876362,0.20546929262216565
-10.25702580473196,0.10978408083642452,0.0005501347113637657,0.23383894443087355
-10.250282698993296,0.13456807314527403,0.024691145900778085,0.2558205879861362
-10.243539593254631,0.15297697531773227,0.03679582115977299,0.2746483449491884
-10.236796487515967,0.16056591487036567,0.04403035522337549,0.27960607600675164
-10.230053381777303,0.15929775831177193,0.041522314608360825,0.27263569850889113
-10.22331027603864,0.15524422595725745,0.05239388992042282,0.2647458695197004
-10.216567170299976,0.15406859569642065,0.04852104030277254,0.2502671241182701
-10.209824064561312,0.15751293962336,0.06342666796966927,0.24185279802437798
