bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-11.75633192966197,-10.745404190158787,-10.901349050377906,0.5469748430763453,1956,dx,1,TT,unweighted
1,-10.745404190158787,-10.523457838842072,-10.62402608758677,0.3719271242446069,1961,dx,1,TT,unweighted
2,-10.523457838842072,-10.333589026336911,-10.424875100548803,0.2902783601271093,1957,dx,1,TT,unweighted
3,-10.333589026336911,-10.172533786118704,-10.2454025543177,0.2449565085524607,1958,dx,1,TT,unweighted
4,-10.172533786118704,-10.05047848950353,-10.1062490112529,0.1758035607383625,1959,dx,1,TT,unweighted
5,-10.05047848950353,-9.933095020377609,-9.989939358573853,0.08595507001901476,1958,dx,1,TT,unweighted
6,-9.933095020377609,-9.82468525512174,-9.878372893967848,0.0304012093853156,1957,dx,1,TT,unweighted
7,-9.82468525512174,-9.716662074818553,-9.768629309852178,0.02309556315635755,1956,dx,1,TT,unweighted
8,-9.716662074818553,-9.615399942764412,-9.665601831031513,-0.0218834413209183,1957,dx,1,TT,unweighted
9,-9.615399942764412,-9.511159690982575,-9.561906552682425,-0.0457134382116706,1959,dx,1,TT,unweighted
10,-9.511159690982575,-9.403563004040098,-9.457974197301692,-0.1075423466343163,1961,dx,1,TT,unweighted
11,-9.403563004040098,-9.287720891719935,-9.34656394274414,-0.10050679857925,1957,dx,1,TT,unweighted
12,-9.287720891719935,-9.159469696564129,-9.221705497842493,-0.1383037515586078,1959,dx,1,TT,unweighted
13,-9.159469696564129,-9.017934817304148,-9.094587602013782,-0.1342780582433977,1957,dx,1,TT,unweighted
14,-9.017934817304148,-8.859456340332004,-8.945292231532617,-0.1233424963609319,1958,dx,1,TT,unweighted
15,-8.859456340332004,-8.672991524271751,-8.773229878699537,-0.1496847891039543,1959,dx,1,TT,unweighted
16,-8.672991524271751,-8.428895143189095,-8.557054589619922,-0.1377754576453203,1957,dx,1,TT,unweighted
17,-8.428895143189095,-8.081728795162958,-8.27499805366605,-0.1613229707454433,1959,dx,1,TT,unweighted
18,-8.081728795162958,-7.472282140213968,-7.824814053955648,-0.1557544202077121,1958,dx,1,TT,unweighted
