model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,39162,5,10266.797232715251,-52419.76330372328,-52376.88599288397,-3.9768470406777054,-0.42630134067438985,,,,0.162749893536664,0.6270214856620804,,,13.0,2.0,-9.748275868956208,2.345758515368599
tanh_saturating,39162,3,10592.276131220286,-51201.51924407671,-51175.79285757312,,,-9.622963442159795,,,0.2878249874226846,0.7046907153492056,-0.40844157749411314,2.448330569417637,11.0,2.0,,
rational_saturating,39162,3,10599.871695764026,-51173.44681707898,-51147.720430575384,,,-9.624853135131566,,,0.30566201117086034,0.702625566419898,-0.43502830779173896,2.298700985864878,13.0,2.0,,
OU_linear,39162,2,10915.7210828853,-50025.56612535585,-50008.41520102012,-1.660347194082021,-0.17831229720270955,-9.311456473439405,5.608138169310761,,,,,,,,,
