param,median,ci_lo,ci_hi,n_valid
ou_tau,5.604565093860785,5.305041942884093,5.920802493410492,500
delta_aic (tanh - ou),-1184.7332276145862,-1444.1673491996282,-905.8025338479129,500
delta_bic (tanh - ou),-1176.1574364877233,-1435.5977171819763,-897.2256770762766,500
delta_aic (rational - ou),-1157.4223263055246,-1409.8268383365464,-887.5764979558169,500
delta_bic (rational - ou),-1148.8445691218003,-1401.2531487302174,-878.9996411841806,500
delta_aic (hinge - ou),-2399.404353187223,-2721.156688292923,-2086.593991088267,500
delta_bic (hinge - ou),-2373.6910584626276,-2695.4337613817006,-2060.903445082801,500
