x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-10.057709985845253,1,TT,unweighted,,12207,0.02,0.98,500,0.21590143833161957,0.2067853683440554,0.20207085836047017,0.4874082463855666
-10.048193674723217,1,TT,unweighted,,12207,0.02,0.98,500,0.21472818069617428,0.2064131560635426,0.20166898650077397,0.4811611251993702
-10.038677363601181,1,TT,unweighted,,12207,0.02,0.98,500,0.21355492306072876,0.20603333623898978,0.20126116024431437,0.4749650360845366
-10.029161052479147,1,TT,unweighted,,12207,0.02,0.98,500,0.21238166542528347,0.2056457678123317,0.2008472737775823,0.4688196327250133
-10.01964474135711,1,TT,unweighted,,12207,0.02,0.98,500,0.21120840778983796,0.2052503077310648,0.20042721926935378,0.462724570777144
-10.010128430235074,1,TT,unweighted,,12207,0.02,0.98,500,0.21003515015439267,0.20484681094772683,0.20000088683612557,0.45667950786160194
-10.000612119113038,1,TT,unweighted,,12207,0.02,0.98,500,0.20886189251894716,0.20443513042087774,0.1995681645073727,0.4506841035553327
-9.991095807991002,1,TT,unweighted,,12207,0.02,0.98,500,0.20768863488350164,0.2040151171176571,0.19912893819065947,0.44473801938348145
-9.981579496868966,1,TT,unweighted,,12207,0.02,0.98,500,0.20651537724805635,0.20358662001799493,0.19868309163664,0.43884091881132375
-9.972063185746931,1,TT,unweighted,,12207,0.02,0.98,500,0.20534211961261106,0.20314948612055472,0.19823050640398387,0.43299246723620366
-9.962546874624895,1,TT,unweighted,,12207,0.02,0.98,500,0.20416886197716555,0.20270356045048904,0.19777106182426843,0.42719233197945905
-9.953030563502859,1,TT,unweighted,,12207,0.02,0.98,500,0.20299560434172004,0.20224868606909197,0.1973046349668813,0.42144018227835217
-9.943514252380822,1,TT,unweighted,,12207,0.02,0.98,500,0.20182234670627475,0.20178470408543142,0.1968311006039794,0.41573568927801713
-9.933997941258786,1,TT,unweighted,,12207,0.02,0.98,500,0.20064908907082923,0.20131145367004985,0.19635033117555561,0.41007852602336553
-9.924481630136752,1,TT,unweighted,,12207,0.02,0.98,500,0.19947583143538394,0.2008287720708212,0.19586219675466746,0.40446836745104914
