param,median,ci_lo,ci_hi,n_valid
ou_tau,8.135286237822168,7.330770962780457,8.982404600601907,500
delta_aic (tanh - ou),-226.9111822425857,-331.99476371555176,-112.83996444450996,500
delta_bic (tanh - ou),-219.50730785313135,-324.58786361847604,-105.42823678645883,500
delta_aic (rational - ou),-212.71276881658923,-317.2862406246928,-104.59679376547287,500
delta_bic (rational - ou),-205.3111528796253,-309.873417135104,-97.18506610742173,500
delta_aic (hinge - ou),-645.1029353140038,-804.0012106994453,-473.71171701414096,500
delta_bic (hinge - ou),-622.8702282496215,-781.7722123223749,-451.501689942391,500
