bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.0465589745906797,610,resid_tanh_saturating,1,TT,unweighted
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.059464613263185216,610,resid_tanh_saturating,1,TT,unweighted
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.09922438898372461,611,resid_tanh_saturating,1,TT,unweighted
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,0.029353282012373555,610,resid_tanh_saturating,1,TT,unweighted
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.0980767165479511,610,resid_tanh_saturating,1,TT,unweighted
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.16033557008262436,611,resid_tanh_saturating,1,TT,unweighted
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,0.24245088790207198,611,resid_rational_saturating,1,TT,unweighted
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,0.10155362351438026,610,resid_rational_saturating,1,TT,unweighted
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.05981277136109893,610,resid_rational_saturating,1,TT,unweighted
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.026895247783809972,611,resid_rational_saturating,1,TT,unweighted
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,-0.03491147014046554,610,resid_rational_saturating,1,TT,unweighted
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.014087921138298133,610,resid_rational_saturating,1,TT,unweighted
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,-0.01061978014695969,611,resid_rational_saturating,1,TT,unweighted
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,-0.034353115973642864,610,resid_rational_saturating,1,TT,unweighted
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,-0.028776796011607278,610,resid_rational_saturating,1,TT,unweighted
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,-0.019305959076653126,610,resid_rational_saturating,1,TT,unweighted
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,-0.021920722782887054,611,resid_rational_saturating,1,TT,unweighted
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,-0.01810675886908615,610,resid_rational_saturating,1,TT,unweighted
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,0.01384222370519067,609,resid_rational_saturating,1,TT,unweighted
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,0.008086223216079283,612,resid_rational_saturating,1,TT,unweighted
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.04660695340531411,610,resid_rational_saturating,1,TT,unweighted
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.05638418313793831,610,resid_rational_saturating,1,TT,unweighted
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.09534222410543021,611,resid_rational_saturating,1,TT,unweighted
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,0.02499174819837527,610,resid_rational_saturating,1,TT,unweighted
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.09732047157334418,610,resid_rational_saturating,1,TT,unweighted
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.16732244325957749,611,resid_rational_saturating,1,TT,unweighted
