model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,12207,5,2447.4789912615265,-19606.05141920807,-19569.00259502472,-84.85281030617803,-9.74108113243418,,,,0.02173469847096161,1.7369448327103356,,,46.0,2.0,-15.635594188070536,0.10265800955813535
tanh_saturating,12207,3,2532.558469165407,-19192.91951867218,-19170.690224162172,,,-8.669062768138987,,,0.2242277505252427,0.8659465178412306,-0.2589394909563622,3.8619061013313143,15.0,2.0,,
rational_saturating,12207,3,2535.307851027121,-19179.674612213283,-19157.445317703274,,,-8.671023426486578,,,0.23942229107502705,0.8812319547177517,-0.2716904326871705,3.680659602583131,14.0,2.0,,
OU_linear,12207,2,2580.2664231985145,-18967.104989510397,-18952.285459837058,-1.0241047872597053,-0.12328912121511271,-8.306530026058546,8.111015717722713,,,,,,,,,
