subject,obs_class,dt,n
1,FF,1,27844
1,FF,2,19867
1,FF,3,14335
1,FF,4,10271
1,FF,5,4819
1,FT,1,4397
1,FT,2,2640
1,FT,3,2295
1,FT,4,1744
1,FT,5,843
1,TF,1,3913
1,TF,2,2998
1,TF,3,2196
1,TF,4,1913
1,TF,5,116
1,TT,1,3319
1,TT,2,2349
1,TT,3,1814
1,TT,4,1032
1,TT,5,133
2,FF,1,15223
2,FF,2,11339
2,FF,3,9661
2,FF,4,8928
2,FF,5,4959
2,FT,1,1819
2,FT,2,1708
2,FT,3,1686
2,FT,4,1253
2,FT,5,782
2,TF,1,2880
2,TF,2,1944
2,TF,3,1190
2,TF,4,1315
2,TF,5,484
2,TT,1,3242
2,TT,2,2504
2,TT,3,1912
2,TT,4,1768
2,TT,5,1124
3,FF,1,71935
3,FF,2,55349
3,FF,3,43037
3,FF,4,28941
3,FF,5,12259
3,FT,1,7241
3,FT,2,5753
3,FT,3,4663
3,FT,4,1687
3,FT,5,784
3,TF,1,11610
3,TF,2,10083
3,TF,3,6666
3,TF,4,6777
3,TF,5,4250
3,TT,1,14230
3,TT,2,10750
3,TT,3,9142
3,TT,4,6103
3,TT,5,3042
4,FF,1,85935
4,FF,2,60991
4,FF,3,52903
4,FF,4,42869
4,FF,5,20518
4,FT,1,9624
4,FT,2,8839
4,FT,3,8341
4,FT,4,4410
4,FT,5,1152
4,TF,1,16282
4,TF,2,11262
4,TF,3,7315
4,TF,4,7602
4,TF,5,5980
4,TT,1,13821
4,TT,2,8774
4,TT,3,8761
4,TT,4,7599
4,TT,5,3575
5,FF,1,27844
5,FF,2,19867
5,FF,3,14335
5,FF,4,10271
5,FF,5,4819
5,FT,1,4397
5,FT,2,2640
5,FT,3,2295
5,FT,4,1744
5,FT,5,843
5,TF,1,3913
5,TF,2,2998
5,TF,3,2196
5,TF,4,1913
5,TF,5,116
5,TT,1,3319
5,TT,2,2349
5,TT,3,1814
5,TT,4,1032
5,TT,5,133
6,FF,1,23284
6,FF,2,14900
6,FF,3,13150
6,FF,4,14221
6,FF,5,6056
6,FT,1,5903
6,FT,2,4042
6,FT,3,3326
6,FT,4,2930
6,FT,5,2558
6,TF,1,3060
6,TF,2,2933
6,TF,3,2410
6,TF,4,1606
6,TF,5,146
6,TT,1,5776
6,TT,2,3311
6,TT,3,3106
6,TT,4,3732
6,TT,5,1579
7,FF,1,13438
7,FF,2,18196
7,FF,3,15316
7,FT,1,3434
7,FT,2,1810
7,FT,3,2371
7,TF,1,1128
7,TF,2,3421
7,TF,3,1262
7,TT,1,2419
7,TT,2,3223
7,TT,3,2349
8,FF,1,51530
8,FF,2,34492
8,FF,3,30807
8,FF,4,29898
8,FF,5,17316
8,FT,1,7998
8,FT,2,5590
8,FT,3,4282
8,FT,4,2509
8,FT,5,1969
8,TF,1,6510
8,TF,2,6335
8,TF,3,5089
8,TF,4,3420
8,TF,5,802
8,TT,1,7726
8,TT,2,6087
8,TT,3,4591
8,TT,4,3871
8,TT,5,1975
9,FF,1,51385
9,FF,2,55089
9,FF,3,21678
9,FF,4,11934
9,FT,1,9831
9,FT,2,8449
9,FT,3,6168
9,FT,4,3335
9,TF,1,7031
9,TF,2,5459
9,TF,3,2400
9,TF,4,2322
9,TT,1,7686
9,TT,2,9232
9,TT,3,3463
9,TT,4,3353
10,FF,1,70172
10,FF,2,57966
10,FF,3,41073
10,FF,4,23700
10,FF,5,13341
10,FT,1,9127
10,FT,2,6469
10,FT,3,3665
10,FT,4,1918
10,FT,5,834
10,TF,1,11845
10,TF,2,10791
10,TF,3,8753
10,TF,4,5870
10,TF,5,3350
10,TT,1,12683
10,TT,2,10113
10,TT,3,6963
10,TT,4,3980
10,TT,5,2054
