param,median,ci_lo,ci_hi,n_valid
ou_tau,4.18898104018801,3.8331812051091725,4.571140889759969,500
delta_aic (tanh - ou),-147.33570930565838,-818.685738999931,630.9707000458087,500
delta_bic (tanh - ou),-138.76455121346225,-810.1039917260877,639.5438995789987,500
delta_aic (rational - ou),-182.41377648920388,-831.0380685589234,575.6735239868018,500
delta_bic (rational - ou),-173.83834624692463,-822.45632128508,584.2507282758312,500
delta_aic (hinge - ou),-691.0825792121905,-1416.1323004278,197.38564759105006,500
delta_bic (hinge - ou),-665.3554268368498,-1390.4250745269244,223.10553154984314,500
