bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-11.75633192966197,-10.745404190158787,-10.901349050377906,1956,0.26576198012020136,0.2583841217795366,0.38308029895034096,0.1467505154438826,0.30152150661752203,0.0733752577219413,0.15076075330876101,0.03338117719389121,OU_linear,1,TT,w_clone,0.999,20,200
1,-10.745404190158787,-10.523457838842072,-10.62402608758677,1961,0.1319366766690102,0.2776142389496031,0.4115908706666815,0.16940704481615693,0.1973019112737073,0.08470352240807846,0.09865095563685365,0.03853483283378366,OU_linear,1,TT,w_clone,0.999,20,200
2,-10.523457838842072,-10.333589026336911,-10.424875100548803,1957,0.09463215701522015,0.31275190108322853,0.4636859685459946,0.21500467742643709,0.22182759173182065,0.10750233871321854,0.11091379586591033,0.04890687581558678,OU_linear,1,TT,w_clone,0.999,20,200
3,-10.333589026336911,-10.172533786118704,-10.2454025543177,1958,0.07752860899354139,0.31312187807318237,0.46423449643130016,0.21551366767682284,0.21943530667062427,0.10775683383841142,0.10971765333531214,0.04902265526403844,OU_linear,1,TT,w_clone,0.999,20,200
4,-10.172533786118704,-10.05047848950353,-10.1062490112529,1959,-0.004065841334065762,0.3373243323525549,0.5001170551458979,0.25011706884780505,0.23063153370073808,0.12505853442390252,0.11531576685036904,0.05689385259854845,OU_linear,1,TT,w_clone,0.999,20,200
5,-10.05047848950353,-9.933095020377609,-9.989939358573853,1958,-0.04910845378270781,0.3420561875688758,0.5071325036896153,0.25718337629849763,0.24758776288378587,0.12859168814924882,0.12379388144189293,0.05850121772707697,OU_linear,1,TT,w_clone,0.999,20,200
6,-9.933095020377609,-9.82468525512174,-9.878372893967848,1957,-0.1299316977884093,0.35559530344964635,0.5272055968944457,0.27794574139682876,0.3119187691466729,0.13897287069841438,0.15595938457333644,0.06322400991772303,OU_linear,1,TT,w_clone,0.999,20,200
7,-9.82468525512174,-9.716662074818553,-9.768629309852178,1956,-0.07367232949405708,0.35985785323048924,0.5335252531995234,0.2846491958016155,0.28598582431660363,0.14232459790080776,0.14299291215830182,0.06474883726582817,OU_linear,1,TT,w_clone,0.999,20,200
8,-9.716662074818553,-9.615399942764412,-9.665601831031513,1957,-0.08683824858728242,0.38857853802391285,0.5761065404742531,0.33189874597721225,0.3134722125507926,0.16594937298860613,0.1567361062753963,0.07549664010640074,OU_linear,1,TT,w_clone,0.999,20,200
9,-9.615399942764412,-9.511159690982575,-9.561906552682425,1959,-0.08892553562074472,0.3671757194835243,0.5443747217062731,0.29634383763278227,0.3001832111869941,0.14817191881639113,0.15009160559349705,0.06740900448912186,OU_linear,1,TT,w_clone,0.999,20,200
10,-9.511159690982575,-9.403563004040098,-9.457974197301692,1961,-0.12087471145935469,0.37280857817287094,0.5527259979990984,0.30550602886409933,0.35415649722428755,0.15275301443204967,0.17707824861214377,0.06949311797963881,OU_linear,1,TT,w_clone,0.999,20,200
11,-9.403563004040098,-9.287720891719935,-9.34656394274414,1957,-0.11420200446524961,0.37562414642349795,0.5569003594874781,0.3101380103972823,0.3931904047019556,0.15506900519864114,0.1965952023509778,0.07054674968819072,OU_linear,1,TT,w_clone,0.999,20,200
12,-9.287720891719935,-9.159469696564129,-9.221705497842493,1959,-0.10753599402540542,0.37388706655934417,0.5543249648808837,0.3072761666901929,0.3273505612915476,0.15363808334509646,0.1636752806457738,0.06989576927017573,OU_linear,1,TT,w_clone,0.999,20,200
13,-9.159469696564129,-9.017934817304148,-9.094587602013782,1957,-0.06607024819791182,0.4018294970972155,0.5957524123963317,0.35492093687604886,0.3426608321429992,0.17746046843802443,0.1713304160714996,0.08073347236870056,OU_linear,1,TT,w_clone,0.999,20,200
14,-9.017934817304148,-8.859456340332004,-8.945292231532617,1958,0.01350127278318386,0.385909713948926,0.5721497419006776,0.327355327157012,0.37067373387434555,0.163677663578506,0.18533686693717277,0.07446315366007093,OU_linear,1,TT,w_clone,0.999,20,200
15,-8.859456340332004,-8.672991524271751,-8.773229878699537,1959,-0.0036965030956928047,0.36606324710207566,0.5427253701535374,0.2945508274082942,0.3132874833875326,0.1472754137041471,0.1566437416937663,0.06700115043945765,OU_linear,1,TT,w_clone,0.999,20,200
16,-8.672991524271751,-8.428895143189095,-8.557054589619922,1957,0.05351231122259753,0.3765090341241731,0.5582122939924989,0.3116009651643681,0.38799470147682885,0.15580048258218404,0.19399735073841443,0.07087952638855886,OU_linear,1,TT,w_clone,0.999,20,200
17,-8.428895143189095,-8.081728795162958,-8.27499805366605,1959,0.09417105730612141,0.3588354297608083,0.5320094081633744,0.2830340103743439,0.3662098195014963,0.14151700518717195,0.18310490975074814,0.06438143282581199,OU_linear,1,TT,w_clone,0.999,20,200
18,-8.081728795162958,-7.472282140213968,-7.824814053955648,1958,0.2131560489981339,0.3614355399135749,0.5358643314758661,0.2871505817480769,0.4025483358859484,0.14357529087403845,0.2012741679429742,0.0653178247563087,OU_linear,1,TT,w_clone,0.999,20,200
19,-7.472282140213968,-3.039465617682323,-6.791404482281592,1959,0.41811142568233395,0.5036771363713788,0.7467517223842062,0.5576381348837786,1.329442991616064,0.2788190674418893,0.664721495808032,0.12684532885163624,OU_linear,1,TT,w_clone,0.999,20,200
0,-11.75633192966197,-10.745404190158787,-10.901349050377906,1956,0.2791502585413211,0.2853476900312519,0.423056485240334,0.17897678970390496,0.32830534007296686,0.08948839485195248,0.16415267003648343,0.0407116521030857,tanh_saturating,1,TT,w_clone,0.999,20,200
1,-10.745404190158787,-10.523457838842072,-10.62402608758677,1961,0.09038632355942028,0.2769080061023739,0.41054380984737954,0.16854621980400133,0.18571564715962222,0.08427310990200067,0.09285782357981111,0.038339021921796175,tanh_saturating,1,TT,w_clone,0.999,20,200
2,-10.523457838842072,-10.333589026336911,-10.424875100548803,1957,0.038566365364758826,0.31351521758702394,0.46481766159452165,0.21605545853019925,0.21055611880999842,0.10802772926509963,0.10527805940499921,0.04914589582931948,tanh_saturating,1,TT,w_clone,0.999,20,200
3,-10.333589026336911,-10.172533786118704,-10.2454025543177,1958,0.022820189016072384,0.31281747235466506,0.4637831845130264,0.2150948422370439,0.2133167829151311,0.10754742111852195,0.10665839145756555,0.04892738550518082,tanh_saturating,1,TT,w_clone,0.999,20,200
4,-10.172533786118704,-10.05047848950353,-10.1062490112529,1959,-0.0447489183021762,0.33824560817590255,0.5014829386815931,0.25148513778872644,0.23199708806980862,0.12574256889436322,0.11599854403490431,0.057205045725143094,tanh_saturating,1,TT,w_clone,0.999,20,200
5,-10.05047848950353,-9.933095020377609,-9.989939358573853,1958,-0.0743580206557357,0.33908733286012854,0.5027308796984266,0.25273833740235385,0.2499297278659745,0.12636916870117693,0.12496486393298725,0.0574901096530978,tanh_saturating,1,TT,w_clone,0.999,20,200
6,-9.933095020377609,-9.82468525512174,-9.878372893967848,1957,-0.13482410027086317,0.3597457585141558,0.5333590615730873,0.28447188856212435,0.31231837231939164,0.14223594428106218,0.15615918615969582,0.06470850538446266,tanh_saturating,1,TT,w_clone,0.999,20,200
7,-9.82468525512174,-9.716662074818553,-9.768629309852178,1956,-0.05410637539673956,0.36130163294430645,0.5356658010032287,0.2869378503644306,0.2840527246083252,0.1434689251822153,0.1420263623041626,0.06526943498411117,tanh_saturating,1,TT,w_clone,0.999,20,200
