rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,74506,-2.9496363062977564,-0.29119921939272303,-10.129272710445552,3.434075139643007,31830.45966239178,-63360.07299979883,-63341.63572992275,0.39085725658840775,0.835732392362963,-10.197996261911719,2.1382035980542917,32035.70726909163,-62879.189372817644,-62851.53346800353,0.41955626097650955,0.8514833501827765,-10.202579441335688,2.029485504997505,32000.52111038885,-62961.06740562775,-62933.411500813636,-3.6541104423424007,-0.4501270001969605,0.32538096609194134,-11.274662872337014,0.8770439671781829,2.221595237704989,31628.196826173687,-63829.02304572611,-63782.92987103593,480.88362698118726,490.10226191922266,399.0055941710816,408.224229109117,-468.9500459272822,-441.294141113176
1,73875,-2.9801437842736735,-0.2941672604367921,-10.130779951000084,3.3994265660806624,31336.072566211682,-63351.53713739589,-63333.116877886474,0.39864868266204767,0.850862074054883,-10.206374709146088,2.134365698572236,31475.641470884202,-63021.233095387826,-62993.602706123704,0.43093124257225646,0.8813858106274903,-10.21040999850124,2.045304966440682,31446.009410168805,-63090.81387136966,-63063.18348210554,-2.7900831708388028,-0.3690612686109045,0.3355068260027822,-11.216209688051826,0.815470418789745,2.7095772031670013,31128.699196121775,-63836.04606154442,-63789.99541277088,330.30404200806515,339.5141717627703,260.7232660262307,269.9333957809358,-484.5089241485257,-456.87853488440305
2,74388,-2.6989463777909735,-0.2668934645030254,-10.112448361433666,3.746813365632879,29288.284653367686,-69333.5787611431,-69315.14466130812,0.3729964840149675,0.7834079362525825,-10.203271235002761,2.100309171335637,28954.79060241903,-70183.46463686989,-70155.81348711743,0.39903792357188117,0.7929422368208676,-10.207586959207154,1.9871350314853722,28941.65881975611,-70217.2092645709,-70189.55811481844,-3.722750028172347,-0.4226947091085683,0.2937260421188758,-10.873174633351631,0.7381199464033984,2.365773638636087,28497.400217226113,-71363.93034135124,-71317.8450917638,-849.8858757267881,-840.6688258093054,-883.6305034278048,-874.4134535103221,-2030.3515802081383,-2002.7004304556758
3,74732,-2.898522135116746,-0.28621522601023636,-10.12707176875727,3.4938742216468786,31146.121996504706,-65402.83922575413,-65384.39589843497,0.39261117673496987,0.8431532791544867,-10.188324571134384,2.147552920337907,31179.71961072705,-65320.26856406638,-65292.60357308764,0.4227174337354609,0.8652839349901541,-10.192557897757338,2.0469558762784645,31152.94742287475,-65384.46409301842,-65356.79910203968,-3.285065237665459,-0.39010203866252174,0.32107189495668487,-10.940971340174572,0.7934256281365737,2.563431873949017,30905.362133687744,-65976.76270735124,-65930.65438905334,82.57066168775054,91.79232534732728,18.375132735709485,27.59679639528622,-573.923481597114,-546.2584906183693
4,74087,-2.805731379880896,-0.27717940031239746,-10.122438307892548,3.6077717134568488,30696.07148700856,-65274.455510641434,-65256.029519926844,0.3730082717152403,0.7723621254187477,-10.200256047455778,2.0706300207958384,30499.86444960456,-65747.53413696833,-65719.89515089644,0.39997231439071756,0.7848434536157893,-10.203886705743324,1.9622444488722937,30476.829291910653,-65803.50981241201,-65775.87082634012,-3.8588576828524968,-0.43274383400480165,0.297693959866216,-10.835482516369208,0.7709798473256877,2.310835929759092,30110.15527779907,-66696.27368177677,-66650.20870499029,-473.0786263268965,-463.86563096959435,-529.0543017705786,-519.8413064132765,-1421.818171135339,-1394.1791850634472
5,74085,-2.9268883777571237,-0.2887309538623404,-10.137078614551976,3.463431913423369,30270.276335655268,-66305.54444807378,-66287.11851135049,0.3946587197379607,0.8293324451697891,-10.203684244299517,2.101391414132282,30306.227222900776,-66215.60864333688,-66187.96973825195,0.422722435034391,0.840814752022482,-10.20913047040282,1.9890469072314005,30280.819824081504,-66277.74427607057,-66250.10537098565,-2.725017286942922,-0.3466483754070903,0.33008821770374613,-11.028295416198096,0.7662597868530191,2.8847675943256306,29914.53948397274,-67175.34912478407,-67129.28428297586,89.93580473690236,99.1487730985391,27.800172003204352,37.01314036484109,-869.8046767102933,-842.1657716253685
6,74153,-2.81083099730249,-0.27795753870637,-10.112447427705163,3.5976718050320065,30493.147226017216,-65890.4727970321,-65872.04502542154,0.3930506742967747,0.8667813796154878,-10.183605176659983,2.205266232315431,30379.813907276297,-66164.58932359586,-66136.94766618003,0.42151418294425924,0.882300121046883,-10.189497556250426,2.0931682888676555,30361.53950950701,-66209.2080679091,-66181.56641049327,-60.15699176623208,-5.852704267553775,2.5314314933215027e-05,-16.756791663584192,2.38503372961887,0.17086118728803718,30010.131195129325,-67068.46975104703,-67022.40032202064,-274.1165265637683,-264.9026407584897,-318.73527087700495,-309.5213850717264,-1177.9969540149323,-1150.3552965990966
7,73967,-2.76850222552642,-0.2737202058274122,-10.114350956144003,3.653365658472895,31294.81056687256,-63619.954779818356,-63601.5320311648,0.3832118834924221,0.825546830151615,-10.189680207321032,2.1542829586283956,31094.747448916576,-64092.33285969335,-64064.69873671302,0.4104862588413424,0.838086231752293,-10.194515546295284,2.041691320235455,31079.47622566144,-64128.668386748424,-64101.034263768095,-11.05015682271968,-1.1358705953773627,0.20095638889983228,-12.048458378478204,1.5376430148627434,0.880381976670306,30729.027331485766,-64963.450419795445,-64917.39354816156,-472.378079874994,-463.1667055482176,-508.71360693006864,-499.5022326032922,-1343.495639977089,-1315.8615169967597
8,74261,-2.9255811453379983,-0.28853403131905353,-10.1394665023169,3.465795682500362,31246.703070415817,-64281.67180712141,-64263.24112473373,0.3953808031216315,0.871034638694406,-10.192766904046646,2.2030271369205767,31412.30616359869,-63887.13831235238,-63859.49228877086,0.42769653240411887,0.9036619509501898,-10.196096718883368,2.1128577916464004,31380.33493606694,-63962.7591332422,-63935.113109660684,-2.3533694332233925,-0.33110308529882254,0.33115722159756494,-11.24078629391735,0.808186014714961,3.020207435087758,31113.794763923273,-64592.21574232359,-64546.13903635439,394.5334947690353,403.74883596286963,318.91267387921107,328.1280150730454,-310.54393520217855,-282.89791162066103
9,74219,-2.99449836266126,-0.2962543765607418,-10.107862025279786,3.3754775595525,31387.844741743273,-63868.83237952569,-63850.402828603554,0.3956589467662441,0.8722206223650749,-10.181194924924387,2.204475924262075,31965.504865865834,-62513.32715119439,-62485.68282481119,0.4265591196829538,0.897087473516586,-10.184990259321237,2.1030788749361617,31919.24112610413,-62620.8222675416,-62593.1779411584,-3.497946919869761,-0.4606612473529047,0.3331609825822955,-11.527492323428511,0.9400428220156483,2.1707925416915246,31555.73473887088,-63466.90137749811,-63420.827500192776,1355.505228331298,1364.7200037923612,1248.010111984091,1257.2248874451543,401.9310020275807,429.57532841077773
10,74440,-3.029698277744341,-0.29916617459799655,-10.12714181947704,3.342623882341466,30848.521026048384,-65570.54016445595,-65552.10466703444,0.39364492637225984,0.8301110046484377,-10.204609243783848,2.1087811604700404,31228.584856234032,-64657.0187709629,-64629.36552483063,0.42424913407976017,0.8540290561177888,-10.208449719540877,2.0130366511419413,31189.15492418192,-64751.06781992619,-64723.41457379392,-2.1376083485198447,-0.3040201761406778,0.32828507252371064,-11.135196902126884,0.7433872538479659,3.2892553800023947,30854.429023937362,-65550.28504816594,-65504.19630461216,913.5213934930434,922.7391422038054,819.4723445297568,828.6900932405188,20.25511629000539,47.908362422276696
11,74527,-2.925422556181792,-0.28886135598991464,-10.127427901030593,3.461868399021551,31063.985033744906,-65215.49924085464,-65197.061407345005,0.3931899254918708,0.850132555455559,-10.186883649930097,2.1621422634165013,31163.651258754744,-64974.76829925793,-64947.111548993475,0.4242431734437267,0.8774288827672558,-10.189865613949221,2.068221571239122,31134.861199737676,-65043.650742720405,-65015.99399245595,-3.7233241321216215,-0.438231028345042,0.31965584987721185,-11.059512505472961,0.850147013999033,2.281901406608407,30836.878290100703,-65756.36270344853,-65710.26811967444,240.73094159671018,249.94985835153057,171.84849813423352,181.0674148890539,-540.8634625938867,-513.2067123294328
12,73684,-2.873634999376739,-0.2834628181604164,-10.137608233861911,3.5277995417165546,30712.188713280066,-64478.789857651376,-64460.37477573483,0.3760042383104534,0.7358453942496411,-10.223567877288652,1.9570135633473356,30597.51714878154,-64752.42221610253,-64724.79959322772,0.40125868793583214,0.7394662375232404,-10.22762174766338,1.8428666088882122,30568.784122146364,-64821.64871652269,-64794.02609364788,-3.0706378134944377,-0.3582462634073403,0.3071438270873013,-10.782241837601141,0.6560105826543786,2.791375939245904,30244.913294788752,-65602.48255079861,-65556.44484600725,-273.6323584511556,-264.4248174928871,-342.85885887131735,-333.65131791304884,-1123.6926931472335,-1096.0700702724134
13,73810,-2.82819047387641,-0.27889757789287956,-10.140606079277878,3.585545660006001,30193.770798091624,-65971.70220612781,-65953.28370712229,0.3674356073369299,0.7370923677940244,-10.22618296382464,2.0060450132644,30047.042203820285,-66329.26106400038,-66301.63331549209,0.39284673815359694,0.7444997440891316,-10.22982981772381,1.8951404499075764,30021.509561623014,-66392.00818803419,-66364.38043952589,-3.981234839403054,-0.44085344598945253,0.29812526555215324,-10.801920936920473,0.7510546364211572,2.268327511324308,29688.41019522867,-67211.5336386369,-67165.48739112308,-357.55885787257284,-348.34960836979735,-420.3059819063783,-411.0967324036028,-1239.8314325090905,-1212.2036840007931
