model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,74221,5,30457.24757690186,-66100.36273078309,-66054.28871874319,-3.2366515255729706,-0.3841176361544504,,,0.999,0.312780158471943,0.7506905127431057,,,16.0,2.0,-10.933114166990368,2.6033691397546472
OU_linear,74221,2,30758.729274504683,-65375.2969162762,-65356.86731146024,-2.8899198767394383,-0.28531306724579425,-10.128943285481567,3.504921837801808,0.999,,,,,,,,
rational_saturating,74221,3,30784.207014043495,-65311.84442380912,-65284.20001658517,,,-10.208980611001369,,0.999,0.41141642478425783,0.8148114247124721,-0.5049222584592957,1.980502905638126,16.0,2.0,,
tanh_saturating,74221,3,30813.46720599289,-65241.331343647544,-65213.6869364236,,,-10.204691111509437,,0.999,0.38357761969142484,0.80097320871658,-0.478889450380046,2.0881646050177163,16.0,2.0,,
