model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,644754,5,345761.19919662585,-401749.42689603934,-401692.54377540096,-8.416426455002167,-0.7205410116925482,,,0.999,0.616859167638275,0.42967822681569723,,,9.0,2.0,-11.349820442731614,1.3878460542461055
tanh_saturating,644754,3,351313.30848832754,-391482.44341758743,-391448.3135452044,,,-11.871568203927549,,0.999,0.8234977537542633,0.8657867751262442,-0.9511553853824868,1.051352928625717,8.0,2.0,,
rational_saturating,644754,3,351523.58264580875,-391096.6494733939,-391062.5196010109,,,-11.870642528210848,,0.999,0.8994897840245412,0.9118609170284104,-0.9864330921823203,1.013753500288261,8.0,2.0,,
OU_linear,644754,2,369358.23654199834,-359189.6428879285,-359166.8896396732,-6.700471100801858,-0.5685617894201639,-11.784947960775197,1.7588237876833572,0.999,,,,,,,,
