param,median,ci_lo,ci_hi,n_valid
ou_tau,1.7589405151365871,1.7476870932966326,1.769650172918136,500
delta_aic (tanh - ou),-32299.658590522507,-33760.63708582434,-30840.97325862245,500
delta_bic (tanh - ou),-32288.284132517438,-33749.259379963034,-30829.597752175563,500
delta_aic (rational - ou),-31915.50732596169,-33296.057691330774,-30497.424976573224,500
delta_bic (rational - ou),-31904.13160216334,-33284.67996021616,-30486.049670376025,500
delta_aic (hinge - ou),-42581.291341530625,-44306.528604388484,-40829.19200973388,500
delta_bic (hinge - ou),-42547.16025283121,-44272.396707645814,-40795.06726242791,500
