dt,n,msd,msd_lo,msd_hi
1,39162,0.3133971876837135,0.3066730220501263,0.3213998496223028
2,31035,0.3205576036646244,0.3118771745665525,0.32986584258955165
3,23342,0.31200779654849564,0.3015710311171291,0.32329151141900353
4,17240,0.3108945116136905,0.30231021261161195,0.3219043951920065
5,7271,0.3847024186920752,0.367846850351419,0.4024956137417739
