dt,bin,x_center,n,w_sum,median_dx,mad_dx,sigma_dx,var_mad_dx,D_mad,median_lo,median_hi,sigma_lo,sigma_hi,var_mad_lo,var_mad_hi
1,1,-10.89810933863877,1990,1990.0,0.5447354673228855,0.24588308345973786,0.3645462595374073,0.13289397534271474,0.06644698767135737,0.5285925441186166,0.5628950344780336,0.34602263289793567,0.3843453176773557,0.11973178032090324,0.14772144409478938
1,2,-10.63206379205463,1784,1784.0,0.3632359134710317,0.2597517457197398,0.38510793820408623,0.1483081240678023,0.07415406203390115,0.34230600291559726,0.39300935615565324,0.3630262051760707,0.4024388891181172,0.1317880438289183,0.1619574141331506
1,3,-10.448135108365456,1760,1760.0,0.3119763867925549,0.3078462895795191,0.456412908930595,0.2083127434384876,0.1041563717192438,0.2879848278147054,0.33581203895616807,0.4317120775604854,0.48641297961863045,0.18637533295561715,0.2365992316554383
1,4,-10.288245822708614,1646,1646.0,0.240077985905593,0.30032694562649803,0.44526472958584595,0.19826067941315653,0.09913033970657827,0.21977969217278892,0.2641696259001393,0.42151579898380404,0.4694607382143353,0.17767557916425458,0.2203955324008201
1,5,-10.15771145783452,1720,1720.0,0.2111778002479649,0.2921583937802764,0.4331540346186378,0.18762241770640406,0.09381120885320203,0.18150030930928368,0.2334771490666178,0.41157381803799686,0.45423556687829364,0.16939301430729908,0.20633000155476153
1,6,-10.048780492533526,1805,1805.0,0.1303997051930903,0.2967559053027191,0.43997030520181135,0.19357386945937502,0.09678693472968751,0.1048973717385042,0.1502207384486773,0.41092297518847315,0.46208220766796604,0.16885771954966786,0.2135199667252906
1,7,-9.940196722004734,1853,1853.0,0.0569417236079718,0.3150363470401594,0.46707288812174036,0.21815708281838378,0.10907854140919189,0.0321606479862346,0.0794145794596286,0.4387898601740627,0.49408281009500676,0.19253665593183847,0.24411812052078993
1,8,-9.835968483291676,1919,1919.0,0.0265097981886555,0.3438303169600107,0.5097628279249119,0.2598581407340033,0.12992907036700166,0.004076653621706516,0.0501781359589355,0.4842932750981263,0.5413201587990846,0.23453997660817802,0.2930277187059217
1,9,-9.727420788671258,1960,1960.0,0.0221002682128812,0.3589412056325081,0.5321662314707565,0.28320089791778674,0.14160044895889337,0.0037275651272086,0.045090426231253,0.5044435740781327,0.5543337036463947,0.2544633195264505,0.30728587856373096
1,10,-9.622095138480304,2035,2035.0,-0.0525729935402079,0.34472090293910707,0.51108321069752,0.26120604825688565,0.13060302412844282,-0.0720922936760448,-0.0188290280355847,0.48217918502947793,0.5345848447604513,0.23249676998938024,0.28578095632537787
1,11,-9.51455835002415,2079,2079.0,-0.0682128325496282,0.3622761640311918,0.5371106407926449,0.28848784045268566,0.14424392022634283,-0.1031055736409101,-0.04552451176657873,0.5098323766264556,0.5574858199533567,0.2599290774804856,0.31079044814255324
1,12,-9.398200271481224,2117,2117.0,-0.1051939247641069,0.3551944120706612,0.5266112353359623,0.2773193931820683,0.13865969659103414,-0.13415270259646514,-0.071801558949101,0.500989517092382,0.555823806557977,0.2509905121808003,0.3089415240127936
1,13,-9.274416828961504,2061,2061.0,-0.1215168862344082,0.347160654707567,0.5147003866694388,0.2649164880376699,0.13245824401883494,-0.14778596208720235,-0.0907873270606529,0.48740109093675493,0.5406725708146913,0.23756013158139813,0.29232695972136313
1,14,-9.138046857519456,2084,2084.0,-0.1274802929938712,0.3662996424349796,0.5430758498741007,0.2949313787164768,0.1474656893582384,-0.15829392912824952,-0.0974540639653802,0.513203236122842,0.565814163732269,0.26337762929441066,0.3201459045364402
1,15,-8.984728642004049,2062,2062.0,-0.1349433634130452,0.3465720086178816,0.5138276599768713,0.26401886415730724,0.13200943207865362,-0.1647101564721804,-0.11024397434538226,0.4863710021112325,0.5382421369270832,0.2365573007121026,0.2897047013454067
