model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,644754,5,373972.74725513696,-351178.4271076037,-351121.5439869653,-8.594900683260427,-0.7424763555177271,,,,0.3545348189225111,0.5924115357184806,,,17.0,2.0,-11.10927651618256,1.3468442362756485
tanh_saturating,644754,3,388635.8351259712,-326385.30290225486,-326351.17302987183,,,-11.672537397435194,,,0.630031986506218,0.7545495421960464,-0.8349776274100814,1.1976368793278713,10.0,2.0,,
rational_saturating,644754,3,389122.0974173311,-325579.0890788134,-325544.95920643036,,,-11.672308048741174,,,0.673369046871078,0.7600749844994412,-0.885924495087199,1.128764364847563,9.0,2.0,,
OU_linear,644754,2,409660.57961258007,-292417.6559566954,-292394.90270844003,-4.539318011925918,-0.39754515613431546,-11.41837082374676,2.515437515888479,,,,,,,,,
