param,median,ci_lo,ci_hi,n_valid
ou_tau,2.5149273787986672,2.491132124780436,2.5403506110668284,500
delta_aic (tanh - ou),-33977.60183690995,-35374.61452127952,-32568.574529644324,500
delta_bic (tanh - ou),-33966.223996288725,-35363.23927166437,-32557.19843790879,500
delta_aic (rational - ou),-33164.51296274422,-34556.81690572551,-31782.69633929922,500
delta_bic (rational - ou),-33153.13703390167,-34545.44196229312,-31771.320247563683,500
delta_aic (hinge - ou),-58732.5585911104,-60369.877936680554,-57130.73789916643,500
delta_bic (hinge - ou),-58698.42623246438,-60335.74560183507,-57096.61121550819,500
