x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-13.146295375085534,1,ALL,unweighted,,644754,0.02,0.98,500,0.6869280355502898,0.6051864572737582,0.5984842275266224,1.1186070013148288
-13.137855089629161,1,ALL,unweighted,,644754,0.02,0.98,500,0.6835726409507181,0.6046356849374639,0.5977594680254062,1.1118805827519638
-13.129414804172788,1,ALL,unweighted,,644754,0.02,0.98,500,0.6802172463511456,0.6040729597449381,0.59702477322442,1.1051508220723292
-13.120974518716414,1,ALL,unweighted,,644754,0.02,0.98,500,0.6768618517515739,0.6034980337843783,0.5962799732440524,1.098417719590512
-13.112534233260039,1,ALL,unweighted,,644754,0.02,0.98,500,0.6735064571520004,0.6029106545162556,0.5955248948692665,1.0916812763170582
-13.104093947803666,1,ALL,unweighted,,644754,0.02,0.98,500,0.6701510625524287,0.6023105647102395,0.5947593614801123,1.0849414939770377
-13.095653662347292,1,ALL,unweighted,,644754,0.02,0.98,500,0.6667956679528562,0.6016975023823848,0.5939831929808838,1.0781983750289241
-13.087213376890919,1,ALL,unweighted,,644754,0.02,0.98,500,0.6634402733532845,0.6010712007326511,0.5931962057279144,1.0714519226838137
-13.078773091434545,1,ALL,unweighted,,644754,0.02,0.98,500,0.6600848787537119,0.6004313880828265,0.5923982124559927,1.0647021409249406
-13.070332805978172,1,ALL,unweighted,,644754,0.02,0.98,500,0.6567294841541402,0.5997777878149333,0.5915890222033855,1.0579490345275329
-13.061892520521798,1,ALL,unweighted,,644754,0.02,0.98,500,0.6533740895545677,0.5991101183101954,0.590768440235459,1.0511926090789976
-13.053452235065425,1,ALL,unweighted,,644754,0.02,0.98,500,0.650018694954996,0.5984280928886531,0.5899362679668841,1.0444328709994148
-13.04501194960905,1,ALL,unweighted,,644754,0.02,0.98,500,0.6466633003554225,0.5977314197495114,0.5890923028824185,1.0376698275623797
-13.036571664152676,1,ALL,unweighted,,644754,0.02,0.98,500,0.6433079057558508,0.5970198019123187,0.5882363384562583,1.0309034869161828
-13.028131378696303,1,ALL,unweighted,,644754,0.02,0.98,500,0.6399525111562783,0.5962929371590694,0.5873681640699476,1.0241338581052921
-13.01969109323993,1,ALL,unweighted,,644754,0.02,0.98,500,0.6365971165567066,0.5955505179773327,0.5864875649288457,1.0173609510922041
-13.011250807783556,1,ALL,unweighted,,644754,0.02,0.98,500,0.633241721957134,0.5947922315045168,0.5855943219771464,1.0105847767796219
-13.002810522327183,1,ALL,unweighted,,644754,0.02,0.98,500,0.6298863273575623,0.5940177594733761,0.5846882118114477,1.0038053470329582
-12.99437023687081,1,ALL,unweighted,,644754,0.02,0.98,500,0.6265309327579898,0.5932267781588786,0.5837690065928711,0.997022674703201
-12.985929951414436,1,ALL,unweighted,,644754,0.02,0.98,500,0.6231755381584172,0.5924189583265548,0.5828364739577345,0.9902367736500964
-12.97748966595806,1,ALL,unweighted,,644754,0.02,0.98,500,0.6198201435588446,0.5915939651824544,0.5818903769267831,0.9834476587656885
-12.969049380501687,1,ALL,unweighted,,644754,0.02,0.98,500,0.616464748959273,0.5907514583248412,0.5809304738129857,0.9766553459981997
-12.960609095045314,1,ALL,unweighted,,644754,0.02,0.98,500,0.6131093543597004,0.5898910916977623,0.5799565181279028,0.9698598523762484
-12.95216880958894,1,ALL,unweighted,,644754,0.02,0.98,500,0.6097539597601287,0.5890125135466371,0.5789682584866472,0.9630611960334057
-12.943728524132567,1,ALL,unweighted,,644754,0.02,0.98,500,0.6063985651605561,0.5881153663760098,0.577965438511445,0.9562593962331134
-12.935288238676193,1,ALL,unweighted,,644754,0.02,0.98,500,0.6030431705609836,0.5871992869096225,0.5769477967338215,0.9494544733939225
-12.92684795321982,1,ALL,unweighted,,644754,0.02,0.98,500,0.5996877759614119,0.5862639060529656,0.5759150664954332,0.9426464491150891
-12.918407667763447,1,ALL,unweighted,,644754,0.02,0.98,500,0.5963323813618393,0.5853088488584729,0.5748669758475743,0.9358353462025141
-12.909967382307071,1,ALL,unweighted,,644754,0.02,0.98,500,0.5929769867622667,0.5843337344935321,0.573803247449386,0.9290211886950078
-12.901527096850698,1,ALL,unweighted,,644754,0.02,0.98,500,0.5896215921626942,0.5833381762114896,0.5727235984648105,0.9222040018909188
-12.893086811394324,1,ALL,unweighted,,644754,0.02,0.98,500,0.5862661975631225,0.5823217813258303,0.571627740458321,0.9153838123750851
-12.884646525937951,1,ALL,unweighted,,644754,0.02,0.98,500,0.5829108029635499,0.5812841511877276,0.5705153792894831,0.9085606480461255
-12.876206240481578,1,ALL,unweighted,,644754,0.02,0.98,500,0.5795554083639782,0.5802248811671554,0.5693862150063936,0.9017345381440746
-12.867765955025204,1,ALL,unweighted,,644754,0.02,0.98,500,0.5762000137644057,0.5791435606377708,0.5682399417380525,0.8949055132783539
-12.85932566956883,1,ALL,unweighted,,644754,0.02,0.98,500,0.572844619164834,0.5780397729657714,0.5670762475857369,0.8880736054560577
-12.850885384112457,1,ALL,unweighted,,644754,0.02,0.98,500,0.5694892245652614,0.5769130955029476,0.565894814513442,0.8812388481105962
-12.842445098656082,1,ALL,unweighted,,644754,0.02,0.98,500,0.5661338299656888,0.5757630995841533,0.5646953182374685,0.8744012761306361
-12.834004813199709,1,ALL,unweighted,,644754,0.02,0.98,500,0.5627784353661163,0.5745893505294224,0.5634774281152415,0.8675609258893932
-12.825564527743335,1,ALL,unweighted,,644754,0.02,0.98,500,0.5594230407665446,0.5733914076509681,0.5622408070334513,0.8607178352742256
-12.817124242286962,1,ALL,unweighted,,644754,0.02,0.98,500,0.556067646166972,0.5721688242653091,0.5609851112956207,0.8538720437165489
-12.808683956830588,1,ALL,unweighted,,644754,0.02,0.98,500,0.5527122515674003,0.5709211477107735,0.5597099905092071,0.8470235922220685
-12.800243671374215,1,ALL,unweighted,,644754,0.02,0.98,500,0.5493568569678278,0.5696479193706332,0.5584150874723587,0.8401725234013219
-12.791803385917841,1,ALL,unweighted,,644754,0.02,0.98,500,0.5460014623682561,0.5683486747021351,0.5571000380604566,0.8333188815005109
