subject,obs_class,dt,n
1,FF,1,35992
1,FF,2,25550
1,FF,3,18811
1,FF,4,13522
1,FF,5,5486
1,FT,1,1372
1,FT,2,924
1,FT,3,842
1,FT,4,671
1,FT,5,357
1,TF,1,1101
1,TF,2,656
1,TF,3,421
1,TF,4,429
1,TF,5,25
1,TT,1,1008
1,TT,2,724
1,TT,3,566
1,TT,4,338
1,TT,5,43
2,FF,1,21277
2,FF,2,16028
2,FF,3,13455
2,FF,4,12365
2,FF,5,6818
2,FT,1,336
2,FT,2,460
2,FT,3,372
2,FT,4,285
2,FT,5,164
2,TF,1,902
2,TF,2,521
2,TF,3,235
2,TF,4,259
2,TF,5,122
2,TT,1,649
2,TT,2,486
2,TT,3,387
2,TT,4,355
2,TT,5,245
3,FF,1,96214
3,FF,2,74718
3,FF,3,58072
3,FF,4,39413
3,FF,5,17881
3,FT,1,1488
3,FT,2,1260
3,FT,3,891
3,FT,4,313
3,FT,5,82
3,TF,1,2991
3,TF,2,2785
3,TF,3,1765
3,TF,4,1862
3,TF,5,1527
3,TT,1,4323
3,TT,2,3172
3,TT,3,2780
3,TT,4,1920
3,TT,5,845
4,FF,1,113566
4,FF,2,80584
4,FF,3,69876
4,FF,4,56581
4,FF,5,27906
4,FT,1,2752
4,FT,2,2472
4,FT,3,2052
4,FT,4,972
4,FT,5,304
4,TF,1,4610
4,TF,2,3831
4,TF,3,2504
4,TF,4,2370
4,TF,5,1771
4,TT,1,4734
4,TT,2,2979
4,TT,3,2888
4,TT,4,2557
4,TT,5,1244
5,FF,1,35992
5,FF,2,25550
5,FF,3,18811
5,FF,4,13522
5,FF,5,5486
5,FT,1,1372
5,FT,2,924
5,FT,3,842
5,FT,4,671
5,FT,5,357
5,TF,1,1101
5,TF,2,656
5,TF,3,421
5,TF,4,429
5,TF,5,25
5,TT,1,1008
5,TT,2,724
5,TT,3,566
5,TT,4,338
5,TT,5,43
6,FF,1,34096
6,FF,2,22116
6,FF,3,19453
6,FF,4,20443
6,FF,5,9007
6,FT,1,1619
6,FT,2,1449
6,FT,3,1259
6,FT,4,1000
6,FT,5,918
6,TF,1,803
6,TF,2,814
6,TF,3,500
6,TF,4,159
6,TF,5,11
6,TT,1,1505
6,TT,2,807
6,TT,3,780
6,TT,4,887
6,TT,5,403
7,FF,1,18433
7,FF,2,24365
7,FF,3,19507
7,FT,1,953
7,FT,2,523
7,FT,3,756
7,TF,1,275
7,TF,2,786
7,TF,3,307
7,TT,1,758
7,TT,2,976
7,TT,3,728
8,FF,1,66781
8,FF,2,47060
8,FF,3,40508
8,FF,4,36550
8,FF,5,20371
8,FT,1,2458
8,FT,2,1838
8,FT,3,1575
8,FT,4,967
8,FT,5,735
8,TF,1,1944
8,TF,2,1652
8,TF,3,1129
8,TF,4,794
8,TF,5,202
8,TT,1,2581
8,TT,2,1954
8,TT,3,1557
8,TT,4,1387
8,TT,5,754
9,FF,1,67727
9,FF,2,71627
9,FF,3,29745
9,FF,4,18062
9,FT,1,3724
9,FT,2,2580
9,FT,3,2281
9,FT,4,1662
9,TF,1,2227
9,TF,2,998
9,TF,3,636
9,TF,4,260
9,TT,1,2255
9,TT,2,3024
9,TT,3,1047
9,TT,4,960
10,FF,1,94421
10,FF,2,77488
10,FF,3,54745
10,FF,4,31954
10,FF,5,17592
10,FT,1,2230
10,FT,2,1549
10,FT,3,841
10,FT,4,367
10,FT,5,123
10,TF,1,3459
10,TF,2,3309
10,TF,3,2832
10,TF,4,1999
10,TF,5,1285
10,TT,1,3717
10,TT,2,2993
10,TT,3,2036
10,TT,4,1148
10,TT,5,579
