bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.09364721383540706,610,resid_tanh_saturating,1,TT,w_clone
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.09065052891457867,610,resid_tanh_saturating,1,TT,w_clone
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.11935624096366432,611,resid_tanh_saturating,1,TT,w_clone
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,0.03565867826153046,610,resid_tanh_saturating,1,TT,w_clone
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.09436852538011077,610,resid_tanh_saturating,1,TT,w_clone
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.15403506856054464,611,resid_tanh_saturating,1,TT,w_clone
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,0.25026356781956016,611,resid_rational_saturating,1,TT,w_clone
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,0.11378563123063806,610,resid_rational_saturating,1,TT,w_clone
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.07830350565801916,610,resid_rational_saturating,1,TT,w_clone
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.054482502893128865,611,resid_rational_saturating,1,TT,w_clone
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,0.0008939670451521969,610,resid_rational_saturating,1,TT,w_clone
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.06254267766571767,610,resid_rational_saturating,1,TT,w_clone
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,0.052805423169754444,611,resid_rational_saturating,1,TT,w_clone
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,0.03874379864102136,610,resid_rational_saturating,1,TT,w_clone
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,0.05009066216854602,610,resid_rational_saturating,1,TT,w_clone
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,0.06272740718225561,610,resid_rational_saturating,1,TT,w_clone
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,0.05723659780808633,611,resid_rational_saturating,1,TT,w_clone
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,0.05738910479610658,610,resid_rational_saturating,1,TT,w_clone
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,0.08143244966920973,609,resid_rational_saturating,1,TT,w_clone
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,0.06501826453843923,612,resid_rational_saturating,1,TT,w_clone
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.08934367848368249,610,resid_rational_saturating,1,TT,w_clone
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.08554528259586511,610,resid_rational_saturating,1,TT,w_clone
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.11479428396241498,611,resid_rational_saturating,1,TT,w_clone
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,0.0336316236069808,610,resid_rational_saturating,1,TT,w_clone
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.09760022894905733,610,resid_rational_saturating,1,TT,w_clone
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.16094680367350508,611,resid_rational_saturating,1,TT,w_clone
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,-0.06525141030983439,611,resid_hinge_plateau_smooth,1,TT,w_clone
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,-0.006933058382009805,610,resid_hinge_plateau_smooth,1,TT,w_clone
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.03982198054707707,610,resid_hinge_plateau_smooth,1,TT,w_clone
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.06603554264576875,611,resid_hinge_plateau_smooth,1,TT,w_clone
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,0.03332465577837227,610,resid_hinge_plateau_smooth,1,TT,w_clone
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.09991691158730688,610,resid_hinge_plateau_smooth,1,TT,w_clone
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,0.08460541821805058,611,resid_hinge_plateau_smooth,1,TT,w_clone
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,0.06193457434605304,610,resid_hinge_plateau_smooth,1,TT,w_clone
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,0.060835466928846046,610,resid_hinge_plateau_smooth,1,TT,w_clone
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,0.0646465504751069,610,resid_hinge_plateau_smooth,1,TT,w_clone
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,0.04415888717029082,611,resid_hinge_plateau_smooth,1,TT,w_clone
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,0.03800923992484753,610,resid_hinge_plateau_smooth,1,TT,w_clone
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,0.05229995935553636,609,resid_hinge_plateau_smooth,1,TT,w_clone
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,0.03365174577201584,612,resid_hinge_plateau_smooth,1,TT,w_clone
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.05401768756704482,610,resid_hinge_plateau_smooth,1,TT,w_clone
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.04812778840662348,610,resid_hinge_plateau_smooth,1,TT,w_clone
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.07534716358975366,611,resid_hinge_plateau_smooth,1,TT,w_clone
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,-0.009218801577350375,610,resid_hinge_plateau_smooth,1,TT,w_clone
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.044583336945002945,610,resid_hinge_plateau_smooth,1,TT,w_clone
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.09641566099928231,611,resid_hinge_plateau_smooth,1,TT,w_clone
