param,median,ci_lo,ci_hi,n_valid
ou_tau,6.964586766593989,5.948881481422512,8.185772370648214,500
delta_aic (tanh - ou),-205.2685158798713,-365.0903434240618,-38.27088357995206,500
delta_bic (tanh - ou),-197.86125587330844,-357.6811108352134,-30.865285414715192,500
delta_aic (rational - ou),-199.7889152352327,-355.44696591928135,-38.7622839828618,500
delta_bic (rational - ou),-192.37780885142547,-348.0366011486958,-31.356101929410677,500
delta_aic (hinge - ou),-417.96242275703753,-655.7339773862038,-188.86712878107127,500
delta_bic (hinge - ou),-395.7754559213008,-633.4847288713098,-166.64708660865244,500
