model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,12207,5,3466.455929489044,-15357.10948366681,-15320.060659483463,-67.1914730021182,-8.022034740653643,,,0.999,0.11942046429971034,1.3084491600858426,,,81.0,2.0,-14.042556189663799,0.12465665287289932
tanh_saturating,12207,3,3528.546537734944,-15144.394774669612,-15122.165480159603,,,-8.936885261740375,,0.999,0.21745071963621979,0.7098350217868898,-0.3063398014496725,3.2643489199502094,11.0,2.0,,
rational_saturating,12207,3,3530.0501111927124,-15139.194273099836,-15116.964978589827,,,-8.941557986648165,,0.999,0.2297416507362356,0.7062449077402524,-0.3253002580525955,3.0740830209803187,13.0,2.0,,
OU_linear,12207,2,3589.412892330278,-14937.623227647717,-14922.803697974377,-1.2785619206693912,-0.14382551956857828,-8.889673574652047,6.952869024910313,0.999,,,,,,,,
