pool_id,logP_cutoff
1,-14.416566070557687
10,-12.815162991368036
2,-14.015258607256621
3,-14.274252964326836
4,-13.424981937723292
5,-14.416566070557687
6,-14.115971903401086
7,-13.149155193120247
8,-13.4743562602877
9,-13.779618020276056
