pool_id,logP_cutoff
1,-13.352864517113211
10,-11.71043632278217
2,-12.649876897340658
3,-12.996126358939412
4,-12.154224242144988
5,-13.352864517113211
6,-12.59152032775022
7,-12.100772474825192
8,-12.413231618875638
9,-12.596722623079422
