x,S_mean,S_lo,S_hi
-13.212706139818149,22.371695608265153,20.846535837285693,24.05314573361714
-13.206519718259019,21.469731495204456,19.971661909597234,23.1267979934479
-13.200333296699887,15.454713900663075,14.31686204809728,16.67104271420996
-13.194146875140756,6.428084466160612,5.874939203050313,7.069400246639644
-13.187960453581626,-2.976144132890372,-3.333739320254543,-2.5782734384309403
-13.181774032022494,-10.594232160077214,-11.355868004425881,-9.91543300688642
-13.175587610463364,-15.210237497790423,-16.242831382720617,-14.231282115500393
-13.169401188904233,-16.629201683109706,-17.73057701696717,-15.561310636563839
-13.163214767345103,-15.57291301509411,-16.57770448707738,-14.606783250787247
-13.157028345785971,-13.391394331018443,-14.323498906337022,-12.598053884356542
-13.15084192422684,-11.465394984879094,-12.377526671223656,-10.73520782970754
-13.14465550266771,-10.430302826123985,-11.270390541846547,-9.675836061639869
-13.138469081108578,-9.704282538005732,-10.48050784069147,-8.963901456023622
-13.132282659549448,-7.769960915378906,-8.486989172545238,-7.123937640107768
-13.126096237990318,-3.1447035510322117,-3.7045235026667376,-2.6253443213632153
-13.119909816431187,4.574296862430302,4.015244226359288,5.032479474886659
-13.113723394872055,14.273605742670822,13.551072563358316,15.14454055865568
-13.107536973312925,23.72961330669404,22.58282486123841,25.02739961209733
-13.101350551753795,30.548474289815328,29.024029419198484,32.2151117757554
-13.095164130194663,33.10279141020748,31.39500384872438,35.009286625080506
-13.088977708635532,31.045194521862935,29.372488412707543,32.89833130761612
-13.082791287076402,25.232769904026533,23.72434566798543,26.79644137808284
-13.07660486551727,17.154464277909675,16.04700242495541,18.28072582135286
-13.07041844395814,8.199434820220963,7.445490922447304,8.930287889572215
-13.06423202239901,-0.765947176574717,-1.211289788923108,-0.2764442514775887
-13.058045600839879,-9.231376058553487,-9.89594112752882,-8.64327044742522
-13.051859179280747,-16.498025006830513,-17.41341775458833,-15.676815669033651
-13.045672757721617,-21.36640105376716,-22.570746996002548,-20.368845816064265
-13.039486336162486,-22.51717458304888,-23.78988709036192,-21.468146433235155
-13.033299914603354,-19.392901781966756,-20.556623886884115,-18.436733536776966
-13.027113493044224,-12.841204006235856,-13.692261218969378,-12.045286563490636
-13.020927071485094,-4.902746001160304,-5.434645511435695,-4.396772435305164
-13.014740649925963,2.1741639784991227,1.7701066022049283,2.6525978403075445
-13.008554228366831,6.995238630599901,6.47107980621587,7.535642542160159
-13.002367806807701,9.460106711671093,8.8332048521329,10.093070765124379
-12.99618138524857,10.405793849583283,9.679443136167805,11.10354797284623
-12.989994963689439,10.814633245676687,10.097580905460056,11.564165932831859
-12.983808542130308,11.114940601177885,10.391401984352493,11.926448594048088
-12.977622120571178,10.9231548274027,10.165030441160829,11.817234110307703
-12.971435699012046,9.28875097459143,8.533387706835192,10.156999069740296
-12.965249277452916,5.282742265818452,4.640771608451858,5.976215085860515
-12.959062855893785,-1.3463797386268055,-1.7794166383275207,-0.9166807376414924
-12.952876434334655,-9.75016178704207,-10.232030721125346,-9.198599431691813
-12.946690012775523,-18.020931135132003,-19.016044231661542,-17.080524000858503
-12.940503591216393,-23.75876377903072,-25.16491094754752,-22.462242916624085
-12.934317169657263,-25.002304036157742,-26.389290241724314,-23.6294566676053
