rep,model,intercept,slope,xstar,sse,tau
0,hinge_plateau_smooth,-8.902386300672088,-0.7584619391909099,-11.215247359931196,3072.693162196615,1.3184577212493367
1,hinge_plateau_smooth,-8.994218878429372,-0.7662153021124474,-11.218705883532166,3666.9083381665396,1.305116195464918
2,hinge_plateau_smooth,-8.912077859009527,-0.7594592431261254,-11.213962170972332,3573.1574391654926,1.3167263537194547
3,hinge_plateau_smooth,-8.92076956948512,-0.7602431730615293,-11.213210211812413,3633.50467240255,1.3153686023551654
4,hinge_plateau_smooth,-8.930452775978283,-0.761054467601496,-11.214012711592266,3318.326022321234,1.3139664013162602
5,hinge_plateau_smooth,-8.961712526410393,-0.7635128813968044,-11.215247359931196,3111.4945489974216,1.3097355976110783
6,hinge_plateau_smooth,-8.984276613906772,-0.7653946627053292,-11.221348762615863,3752.1486416100233,1.3065155124879568
7,hinge_plateau_smooth,-8.9443042476079,-0.7620487719115192,-11.21818199607075,3149.0711069554113,1.3122519671432646
8,hinge_plateau_smooth,-8.944326388306228,-0.7622800061102293,-11.21495103685475,3571.8802033805555,1.3118539014329011
9,hinge_plateau_smooth,-9.322640868972718,-0.792748739037979,-11.270725438008393,3083.266831269695,1.2614337314664488
10,hinge_plateau_smooth,-8.934466246026178,-0.7610911036397033,-11.2167096374694,3479.883518861201,1.3139031519587896
11,hinge_plateau_smooth,-8.991478465089434,-0.7660254388010729,-11.215988540176262,3307.2403070944497,1.3054396751694395
12,hinge_plateau_smooth,-8.966650132631722,-0.7642342093225306,-11.21351233588003,3585.9124649242103,1.3084993942975522
13,hinge_plateau_smooth,-9.202491712105045,-0.7827595553542777,-11.265794120012908,3457.444920930535,1.2775315141919912
14,hinge_plateau_smooth,-8.94581707487904,-0.7620901249560602,-11.219990811669561,3051.029283260087,1.3121807608485374
15,hinge_plateau_smooth,-8.882811872046886,-0.7571887217548241,-11.211768123415103,3710.090493792578,1.320674715918177
16,hinge_plateau_smooth,-8.94726753231438,-0.7623601654833972,-11.216486016741491,3188.625097600558,1.3117159648103074
17,hinge_plateau_smooth,-8.969064558982877,-0.7642019153172138,-11.21818199607075,3104.115510325789,1.3085546894826983
18,hinge_plateau_smooth,-9.192857290816857,-0.7822025732035873,-11.264145616908339,3796.5949140870143,1.2784412046925415
19,hinge_plateau_smooth,-8.938484478082643,-0.7616251285049678,-11.21495103685475,3432.435054394561,1.3129818890862361
20,hinge_plateau_smooth,-8.917211960120886,-0.7600472205646237,-11.211466386052251,3344.9755831679827,1.3157077257083056
21,hinge_plateau_smooth,-8.947471547366412,-0.7621490385370341,-11.2167096374694,3299.036962629255,1.312079330204926
22,hinge_plateau_smooth,-8.933894624733744,-0.7613123047823798,-11.212259381705541,3217.7539696608683,1.3135213942008317
23,hinge_plateau_smooth,-8.964555824011365,-0.7634702128266361,-11.216788897187268,3461.912243261504,1.3098087956799875
24,hinge_plateau_smooth,-8.978795627616421,-0.7651817166642333,-11.214508255385027,3443.103668229544,1.3068791088729144
25,hinge_plateau_smooth,-8.980909661230106,-0.7652452273334803,-11.218705883532166,3231.594556454586,1.3067706459072337
26,hinge_plateau_smooth,-9.028162751283974,-0.7690091598564309,-11.220132035424616,3131.5240882916587,1.3003746277699653
27,hinge_plateau_smooth,-8.933221747318088,-0.7612334448825272,-11.215557268066426,3261.320267246758,1.3136574683135724
28,hinge_plateau_smooth,-8.99596699215712,-0.766424800492342,-11.216738277908943,3167.5822385223637,1.3047594484907223
29,hinge_plateau_smooth,-9.005750461057188,-0.7673243854247124,-11.218102736352881,3205.890332390052,1.3032297930248915
30,hinge_plateau_smooth,-8.913569728170165,-0.7592827412420065,-11.21495103685475,3292.7770175742126,1.31703243822484
31,hinge_plateau_smooth,-8.919568642563412,-0.7597578410108247,-11.216623639971926,3353.962476586145,1.3162088576401445
32,hinge_plateau_smooth,-8.97594210952477,-0.7646139486503744,-11.220388773589603,3217.004555410732,1.3078495386660252
33,hinge_plateau_smooth,-9.023596259212121,-0.7686710345840647,-11.217504846469765,3566.183351942821,1.3009466403805754
34,hinge_plateau_smooth,-8.975906670933727,-0.764768993404001,-11.215730283916107,3811.6542142308735,1.3075843929667983
