x,b,D_raw_interp,D_smooth,D_final,D_var_source,p_emp,p_closed,ratio_pemp_over_pclosed,J_raw,J_smooth,S_raw,S_smooth
-10.51841563441224,0.5344366520562374,0.06214322398980657,0.06214575396512054,0.06214575396512054,D_mean_resid2,0.22245726237734217,0.045541363482579984,4.884729954614429,0.1015794721853942,0.0920088907075012,-0.4391565486267398,-0.5553609522132944
-10.509192766303212,0.5292802242365584,0.06214322398980657,0.0621545862644961,0.0621545862644961,D_mean_resid2,0.22499418834330023,0.049274408549828834,4.566146910028853,0.09139608721320117,0.08795860778030101,-0.4860180733430868,-0.6177249666826128
-10.49996989819419,0.5241123295393065,0.06214322398980657,0.06218418189392927,0.06218418189392927,D_mean_resid2,0.23053316404810223,0.05325355850139614,4.328972007421032,0.07716372353708605,0.08304392952941028,-0.5887382399132202,-0.6950552996516444
-10.490747030085164,0.5189332762457894,0.06214322398980657,0.062263586162858056,0.062263586162858056,D_mean_resid2,0.23753514752389943,0.05746001287927413,4.133920889001028,0.07460954595666207,0.07709889750538342,-0.7168834739135868,-0.7813942693001958
-10.48152416197614,0.5137433825007197,0.06214322398980657,0.062436045221169766,0.062436045221169766,D_mean_resid2,0.24397765483952763,0.06184933936385222,3.944709148859884,0.07895354767542431,0.06982048607052127,-0.8792883241504885,-0.8658346940678248
-10.472301293867114,0.508542976331061,0.06214322398980657,0.06274389819912271,0.06274389819912271,D_mean_resid2,0.24935424779842444,0.06636057374650739,3.7575661830613414,0.07921262546513941,0.06087977701849202,-1.0664129718559012,-0.9330785646579194
-10.46307842575809,0.5033323956567033,0.06291235135630857,0.06320517258767182,0.06320517258767182,D_mean_resid2,0.2548987525816229,0.07094303671002852,3.5930059439588433,0.06953765389328379,0.050149713692160994,-1.2429783436124495,-0.9653469697671082
-10.453855557649064,0.4981119882926866,0.06368147872281071,0.06380184089586216,0.06380184089586216,D_mean_resid2,0.2622079535872853,0.07558112819409854,3.469225186926474,0.05162412834195382,0.037952126367467906,-1.3532712163370308,-0.9454919085253188
-10.44463268954004,0.492882111942785,0.0644506060893127,0.06449156399343545,0.06449156399343545,D_mean_resid2,0.2724054323983492,0.08029439138052546,3.3925835629961343,0.028210516948640657,0.02518762980412869,-1.3392872595208005,-0.8607021639294957
-10.435409821431014,0.4876431341841833,0.06521973345581485,0.06523109573050434,0.06523109573050434,D_mean_resid2,0.28645203890183657,0.0851159569338384,3.36543286618394,0.0008033498302344177,0.013247986858152441,-1.1644994855952384,-0.7058323840260805
-10.42618695332199,0.4823954324430716,0.06598886082231684,0.06599139079763085,0.06599139079763085,D_mean_resid2,0.3050345156905066,0.0900719984847547,3.3865632030151502,-0.025547366193849008,0.003707579466783658,-0.831897829805529,-0.48533784081470743
-10.416964085212964,0.4771393939609072,0.06675798818881898,0.06675842673109111,0.06675842673109111,D_mean_resid2,0.3276149680335905,0.09517541368464852,3.4422226849373154,-0.04168814355723985,-0.0020969810708077958,-0.3863962932667207,-0.21317769179283336
-10.40774121710394,0.4718754157511836,0.06752711555532098,0.0675271670224706,0.0675271670224706,D_mean_resid2,0.3521844941614354,0.10042946865024548,3.506784401976168,-0.04057896385181273,-0.0034197846344473865,0.10122204043633617,0.0892612537659131
-10.398518348994914,0.4666039045464811,0.06829624292182312,0.0682962429218231,0.0682962429218231,D_mean_resid2,0.3760823867137847,0.10583284292774872,3.5535508289287216,-0.022047584099133738,-0.00022986601346548883,0.5616969241581884,0.39649324313236767
-10.38929548088589,0.4613252767356564,0.06906537028832511,0.06906537028832516,0.06906537028832516,D_mean_resid2,0.3970961222959986,0.11138248286787253,3.5651577525619884,0.005089304463807398,0.006941128663063772,0.9513595159529638,0.6824788362698215
-10.380072612776864,0.4560399582909674,0.06983449765482726,0.06983449765482722,0.06983449765482722,D_mean_resid2,0.41484112138066026,0.11707464368817416,3.543389997287379,0.025081355614162887,0.017318660666335136,1.2588646205489027,0.9235627531718844
-10.37084974466784,0.4507483846850132,0.07060362502132925,0.07060362502132927,0.07060362502132927,D_mean_resid2,0.43131761525880075,0.12290512802671821,3.509354102499589,0.028570636936771088,0.03016181338794384,1.4908505867332567,1.1005691603057561
-10.361626876558814,0.4454510007973148,0.07137275238783139,0.07137275238783136,0.07137275238783136,D_mean_resid2,0.4487616754529688,0.12886937045948976,3.4822989656338668,0.025751321041285885,0.044818497329742066,1.6471672886498614,1.2003842561578622
-10.35240400844979,0.4401482608104404,0.07214187975433338,0.07214187975433342,0.07214187975433342,D_mean_resid2,0.46664867276137795,0.13496244931038234,3.4576185831378488,0.03682090793445164,0.06054502670137944,1.7048441428147743,1.2175137841359813
-10.343181140340764,0.4348406280955294,0.07291100712083552,0.07291100712083548,0.07291100712083548,D_mean_resid2,0.4819412489253918,0.14117909976035684,3.413686939096924,0.0686516590705386,0.07626560268099078,1.6250226076662782,1.155731408438784
-10.33395827223174,0.4295285750871438,0.07368013448733753,0.07368013448733757,0.07368013448733757,D_mean_resid2,0.4921843807459559,0.14751372817911002,3.3365327201841817,0.10964509940133702,0.09051976507075948,1.381006601865158,1.0292555685700626
