dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,1,-13.327,-13.747,-12.907,28500,1.0307739132508402,1.029318117956068,1.041437324090076,0.98009450436313,0.9778540462464191,0.98200283603098
1,2,-12.777000000000001,-12.907,-12.647,30363,0.6257613653967464,0.6146991565245872,0.641349267414359,0.8900492008883131,0.8851527917417009,0.895005997424287
1,3,-12.5545,-12.647,-12.462,26560,0.6418562119159592,0.6232368314005612,0.6576654591742996,0.891029485650813,0.886066545248336,0.8960882235333364
1,4,-12.3895,-12.462,-12.317,29872,0.369754544263726,0.3631431154598399,0.3779271790461784,0.7338141210302451,0.7266233917338357,0.7405629132267406
1,5,-12.248999999999999,-12.317,-12.181,31677,0.3064468838017014,0.2995780657054041,0.3231160350851877,0.6684860384583448,0.6608997926643677,0.6759268704527129
1,6,-12.119,-12.181,-12.057,31328,0.1807445421185498,0.1700491457767476,0.1877857524000236,0.6051938644402968,0.5984055142738065,0.6120165168413249
1,7,-11.995000000000001,-12.057,-11.933,34713,-0.0132544174787785,-0.0246123670269469,-0.0066917135731952,0.4873121526109929,0.48114800462229473,0.49399858524471146
1,8,-11.868,-11.933,-11.803,33249,-0.0167945327551493,-0.0308285371612822,-0.0045034976849862,0.4923548924230704,0.4849673822781524,0.5003632269549071
1,9,-11.7375,-11.803,-11.672,34934,-0.1274889980316764,-0.14164285379013009,-0.11261861790741631,0.4409417192625957,0.43437303275645517,0.44769941385701983
1,10,-11.6125,-11.672,-11.553,32296,-0.3839846631563492,-0.4050038010827119,-0.3679432606401871,0.3138894376257919,0.3068814902463819,0.3222312141280387
1,11,-11.484,-11.553,-11.415,35411,-0.2928877168877708,-0.30581118019640224,-0.2834392246124828,0.3605070719390594,0.3536920644823702,0.3673592140253672
1,12,-11.341,-11.415,-11.267,35444,-0.5102581633404029,-0.529685286985011,-0.4958401098554522,0.27893709983237613,0.2725993368857523,0.2867356837752285
1,13,-11.192,-11.267,-11.117,33393,-0.5392640283364081,-0.5636855234704419,-0.5212431636223904,0.2861644463408082,0.2790257426733357,0.29403545259047714
1,14,-11.0385,-11.117,-10.96,32594,-0.5028256889712921,-0.5236742598783457,-0.48769491296341855,0.31333432010891404,0.30629316416025193,0.3209933466741862
1,15,-10.872,-10.96,-10.784,33301,-0.5093851792710584,-0.5433785009029961,-0.4903751728988887,0.32362373104276687,0.3146328494310903,0.3305026754965467
1,16,-10.690000000000001,-10.784,-10.596,32206,-0.4700451253277418,-0.49406181699786106,-0.4416148903334913,0.3087752083608512,0.3011537966898185,0.3166352212507208
1,17,-10.4805,-10.596,-10.365,31987,-0.3769877709728852,-0.3918441878989758,-0.3648461836692238,0.3288571208068349,0.32075483502379826,0.33623728493836963
1,18,-10.217500000000001,-10.365,-10.07,31656,-0.3310943145346279,-0.3522620896830233,-0.3154887597914514,0.3360358532615577,0.32749979938555873,0.34590859874199925
1,19,-9.827,-10.07,-9.584,32333,-0.3086043858259426,-0.32422036650961505,-0.29003244921611815,0.3302643124423285,0.32274743239447234,0.3388241968727209
1,20,-6.306,-9.584,-3.028,32937,-0.3109207627863188,-0.32166527378129267,-0.297269164721886,0.3035017139002019,0.2963656717988467,0.31154413379282647
2,1,-13.327,-13.747,-12.907,26977,0.9158104292918045,0.9003227736120536,0.9260680515901539,0.8950637267244584,0.8905393283507705,0.8998047819437633
2,2,-12.777000000000001,-12.907,-12.647,29132,0.5268737985302518,0.5229046562829041,0.5460348292964984,0.8055966291498142,0.799500109538655,0.8111347025200627
2,3,-12.5545,-12.647,-12.462,29592,0.3150509321220642,0.3009027014926424,0.3260792334122814,0.6890517617861016,0.6826173895020569,0.6947848337634313
2,4,-12.3895,-12.462,-12.317,28931,0.3544581905516786,0.3477293006706823,0.3684153794137259,0.7324600880260983,0.7261851579610611,0.7393388479993964
2,5,-12.248999999999999,-12.317,-12.181,24793,0.1865668442292385,0.17128275069964144,0.1958492616669223,0.6055357182461355,0.5971685299007611,0.6121365932005984
2,6,-12.119,-12.181,-12.057,26905,0.0558058260943656,0.0350255392667122,0.0658412920117292,0.535083436793315,0.5282987587740835,0.5423471132400652
2,7,-11.995000000000001,-12.057,-11.933,25437,0.070861949262559,0.0547523314996478,0.0877572051775246,0.5423395896988216,0.5332597543329609,0.5515180724726345
2,8,-11.868,-11.933,-11.803,25348,-0.0791903469399812,-0.0973371474128033,-0.07025220417022868,0.45489596874638416,0.44588369817151946,0.46263174269575563
2,9,-11.7375,-11.803,-11.672,27774,-0.1568613489251351,-0.17946811283684208,-0.14080306554336816,0.42729500309185964,0.4194418109528118,0.43622906587274257
2,10,-11.6125,-11.672,-11.553,23667,-0.3348823882949663,-0.3483215128043553,-0.317726355042069,0.33229217015503715,0.3227578489771788,0.3408200757086714
2,11,-11.484,-11.553,-11.415,24976,-0.1804184152623857,-0.20863290994543895,-0.16320595490466883,0.40379618531240685,0.3947176470139735,0.41289480204308515
2,12,-11.341,-11.415,-11.267,25335,-0.3255670723110526,-0.34412790679882127,-0.30772434889040745,0.3450357716758086,0.3356523931689121,0.3534492908259594
2,13,-11.192,-11.267,-11.117,24307,-0.4015959792852328,-0.4257440557757412,-0.39520578738130824,0.3302987899855413,0.32161209001372904,0.3382062823611479
2,14,-11.0385,-11.117,-10.96,24412,-0.4254929803002483,-0.4516442705052004,-0.4157674035825636,0.34251134788141224,0.3337301280225989,0.35095933127376255
2,15,-10.872,-10.96,-10.784,24794,-0.484635573612854,-0.4866911889185612,-0.4361390272673775,0.3029816426186527,0.293060363030132,0.31210464636861707
2,16,-10.690000000000001,-10.784,-10.596,25047,-0.4529930755067344,-0.4811245218978048,-0.42382971815335,0.31976441523719,0.3086276184679128,0.33161863828674065
