dt,n,msd,msd_lo,msd_hi
1,644754,0.8344840113202743,0.8285379062008114,0.8409378946031645
2,512912,0.8027418121033376,0.7972800423326638,0.8081730272116558
3,378779,0.8160356892147689,0.8088438711003824,0.8225691188739337
4,267771,0.7709208345037504,0.7636548900788763,0.7790000750473349
5,122711,0.8351645027652849,0.8247863729519449,0.8452473976347223
