x,J_mean,J_lo,J_hi
-11.388073397654749,0.1677756348319664,0.11977392711575734,0.21787842138644486
-11.381696432370564,0.1316392042906597,0.08333734075828801,0.17739144787962396
-11.37531946708638,0.11612071189638348,0.066754425179191,0.16289614831447707
-11.368942501802195,0.11014983198120021,0.057850857271846946,0.15850177373142893
-11.362565536518012,0.10145129849350464,0.04697265920031121,0.15370764171377618
-11.356188571233828,0.09050646938918609,0.031758858823146385,0.14513830396496202
-11.349811605949643,0.09126079773436216,0.03260641719495292,0.14747665194780468
-11.343434640665459,0.11818757265012413,0.0637727258102346,0.17399651009800718
-11.337057675381276,0.17099775207004828,0.11709990100373655,0.2235944265010498
-11.330680710097091,0.23058742117385572,0.17643035643864297,0.28298831571302574
-11.324303744812907,0.270457808373916,0.21404087948894787,0.32987381640177743
-11.317926779528722,0.27458698859186453,0.21775462402337878,0.3354443203716745
-11.311549814244538,0.24738965949282987,0.19191150903683052,0.3081779047337761
-11.305172848960355,0.20850375911836444,0.1482301803006031,0.27008383111212003
-11.29879588367617,0.17767025840148964,0.11784564239769284,0.24180186240078924
-11.292418918391986,0.16208254851448806,0.10251286927334605,0.22173522433866555
-11.286041953107802,0.15546620033372566,0.09382860872622283,0.21894513652242828
-11.279664987823617,0.14822814147789032,0.08635491811338078,0.2123949613107417
-11.273288022539434,0.13904474329266245,0.07414138704040987,0.20599005940753645
-11.26691105725525,0.1372403012471172,0.07186031087569572,0.20810129557385781
-11.260534091971065,0.15350552598024533,0.08751628300063605,0.22389328556613913
-11.25415712668688,0.1873436574954098,0.12651068568060728,0.2527100443305962
-11.247780161402696,0.22344759098165412,0.16943200085620025,0.280553146596282
-11.241403196118513,0.2419801005402519,0.19167753664446474,0.2962127491899715
-11.235026230834329,0.2351473654807891,0.1833377957646837,0.2934169271376646
-11.228649265550144,0.21540844298135553,0.15949053007538655,0.2750687922576416
-11.22227230026596,0.20619036885229877,0.14606334736147297,0.264845633361443
-11.215895334981775,0.22080267819820482,0.15186060695095138,0.28786378152037567
-11.209518369697593,0.24714701804351596,0.17263105495129144,0.3186583460879844
-11.203141404413408,0.25328157156651615,0.17160192341442462,0.3312165379517166
-11.196764439129224,0.21216353149692016,0.12660186814123492,0.29578629207596413
-11.190387473845039,0.1267112789002508,0.04441141030242306,0.2089965023024964
-11.184010508560855,0.03440151584992895,-0.05300282397696591,0.1202105419096104
-11.177633543276672,-0.013611001331879384,-0.10549629331504223,0.07017376288885417
-11.171256577992487,0.015853759483464493,-0.07730311994384464,0.09976714365163847
-11.164879612708303,0.11742397199328247,0.02822984442502043,0.20334997938319496
-11.158502647424118,0.2501537242817747,0.15729962596634967,0.33623878318024447
-11.152125682139934,0.3603418716210033,0.2706475445300909,0.44706862748248744
-11.145748716855751,0.4093961454789934,0.3174790884630516,0.4961172059485344
-11.139371751571566,0.3910932855038647,0.3017557104761825,0.47451838896799386
-11.132994786287382,0.3302452063942898,0.24109529418955078,0.4128917803082848
-11.126617821003197,0.26578626473060574,0.18201286897878202,0.3517715373638061
-11.120240855719013,0.22935827547201557,0.14326945188319093,0.31458616854685617
-11.11386389043483,0.23117546588532614,0.15007989299670738,0.3136914899843318
-11.107486925150646,0.2589453911168494,0.18343382860805363,0.33620060307340077
-11.101109959866461,0.28778909934437097,0.21706511790853977,0.36540218167523575
-11.094732994582277,0.29416783521241835,0.2246880537806567,0.36376943085505353
-11.088356029298092,0.26655990901395704,0.2027702252278112,0.3361093605456076
-11.08197906401391,0.20910725142624217,0.14380964820935077,0.27470540375807206
-11.075602098729725,0.1387679579840454,0.0731063556264944,0.20348555523510797
-11.06922513344554,0.07848232996823462,0.008367257855354023,0.14475682854335636
-11.062848168161356,0.04837416955691111,-0.02942933779695553,0.1265634571821435
-11.056471202877171,0.0572264144377396,-0.028091078429156584,0.1440403742136393
-11.050094237592988,0.0984007028010239,0.010968610669196055,0.19808904793638707
-11.043717272308804,0.15403555299392696,0.06563395053063734,0.25981724872546497
-11.03734030702462,0.20588702111367604,0.11265105272639367,0.31528714202805075
-11.030963341740435,0.2450289016268989,0.1428239432485056,0.3563649352255604
-11.024586376456252,0.2730728816648793,0.16728078392868712,0.378637131461257
-11.018209411172068,0.2950284445400817,0.19180436165251577,0.39696847952935527
-11.011832445887883,0.3109246819691938,0.20648142790418703,0.4183955818154167
-11.005455480603699,0.31327349405315075,0.21056236448459245,0.4183284447191755
-10.999078515319514,0.2916327771668654,0.18717802019326893,0.39365991759843644
-10.992701550035331,0.24026061056660994,0.13812391019298748,0.3403431881523559
-10.986324584751147,0.16389935438263156,0.06125649930106528,0.26759952833770767
-10.979947619466962,0.07870659210028379,-0.01867117620813413,0.17841211633145557
-10.973570654182778,0.007764676427002757,-0.09193281037008945,0.10651792712964238
-10.967193688898593,-0.027103482138168076,-0.13354614925205233,0.0656459089105188
-10.96081672361441,-0.013720154631277223,-0.12328694026200855,0.06913669442067871
-10.954439758330226,0.0451887203514237,-0.05761486342993828,0.13140383358677754
-10.948062793046041,0.13139572787628873,0.036810249651265656,0.2163837679453749
-10.941685827761857,0.21575058293894725,0.13347188265970544,0.304305592883112
-10.935308862477672,0.2682850077556815,0.18597340369879747,0.36797258199277194
-10.92893189719349,0.2717075283755836,0.1745254607185648,0.3742261475981734
-10.922554931909305,0.23137510944000148,0.1225063929195766,0.3477653508488882
-10.91617796662512,0.1738640795415834,0.05986360166107965,0.2955316000143195
-10.909801001340936,0.13320067180769424,0.01732984830674372,0.2554149265130699
-10.903424036056752,0.13314429776023362,0.01479453311180094,0.253234851266595
-10.897047070772569,0.17624362620756556,0.052459739060479994,0.29667613237015283
-10.890670105488384,0.24418124642712086,0.1206889899431397,0.3647630434827201
-10.8842931402042,0.3067682001600789,0.1851479420324734,0.4323674297669414
-10.877916174920015,0.33495308616721553,0.21559924258841587,0.46264805576608015
-10.87153920963583,0.3139836669221037,0.19980536589491593,0.4411969133974383
-10.865162244351648,0.2516940546450472,0.1308000949506749,0.3766261970800407
-10.858785279067463,0.1759291057131829,0.05366174995914695,0.29670455262520007
-10.852408313783279,0.12023230953688337,0.003907771056938945,0.24274456644054818
-10.846031348499094,0.10626903854916689,-0.005274360680543201,0.22723629938981477
-10.83965438321491,0.13476722454570286,0.0379671083179181,0.24179560626941476
-10.833277417930727,0.18912594689108211,0.10797791781236489,0.28375469639211937
-10.826900452646543,0.24573190938231232,0.17018447944281473,0.3249700977250878
-10.820523487362358,0.28325527876824813,0.19674019107633567,0.36708966120931635
-10.814146522078174,0.28874569488950236,0.18369801369356958,0.3835592296380792
-10.807769556793989,0.2617022653333582,0.1418428896109471,0.36526490579357795
-10.801392591509806,0.21498934094765348,0.0962194336110376,0.3245991287144297
-10.795015626225622,0.16968016209729295,0.05216312720097631,0.2897367536524544
-10.788638660941437,0.14458535386920351,0.027129259289744485,0.2677442519197816
-10.782261695657253,0.14661839919533023,0.02439278001278027,0.27445224026179027
-10.775884730373068,0.1685663164133948,0.04123137727800365,0.29741201416172347
-10.769507765088886,0.19536188456918233,0.0609600560964261,0.32735681856166243
-10.763130799804701,0.21371546876250241,0.0787738686318006,0.3483917018072496
-10.756753834520516,0.21813238858379977,0.08862553417460417,0.3528545683336104
-10.750376869236332,0.2099456864750794,0.07851217186546479,0.3388843268395047
-10.743999903952147,0.1918837118760927,0.06865120296016822,0.3163760827241811
-10.737622938667965,0.16399883180158517,0.05498908280422247,0.2835649218854745
-10.73124597338378,0.12470718222328481,0.02019119210902402,0.24603298329495504
-10.724869008099596,0.07529902079135256,-0.027820407571170522,0.1958602638197725
-10.718492042815411,0.022876576375288057,-0.07132199351570784,0.14066421393181286
-10.712115077531227,-0.021542065353498407,-0.12017957069806272,0.08379778997118954
-10.705738112247044,-0.0482023358503674,-0.15340174702829992,0.05541430699656968
-10.69936114696286,-0.05266317731019251,-0.16927164340513798,0.056662719433834614
-10.692984181678675,-0.03594471514388303,-0.1690655702921246,0.09144016310993676
-10.68660721639449,-0.0019429220873387189,-0.13878222950256056,0.14111757423854687
-10.680230251110306,0.044714000767508345,-0.09745632484544467,0.2019781900568288
-10.673853285826123,0.09877640734043239,-0.049487349890516195,0.2648681351741349
-10.667476320541939,0.15362535979968744,-0.004652219240005452,0.31576708530692854
-10.661099355257754,0.20156491600559193,0.04566808638461511,0.3602037712144687
-10.65472238997357,0.2354831134921309,0.08082599633795892,0.39696692136518646
-10.648345424689385,0.2506613019594097,0.10253002161646901,0.40142998777777505
-10.641968459405202,0.24554258410168583,0.11332363349339493,0.3832891328055034
-10.635591494121018,0.221352175250314,0.10164770630000618,0.355760744305396
-10.629214528836833,0.18150903600548332,0.07788221817017893,0.2999036405029403
-10.622837563552649,0.13208616897525327,0.035604940883436305,0.24388916001469854
-10.616460598268464,0.08344230791281698,-0.015377322168463707,0.19051371047591611
-10.610083632984281,0.05067949178055471,-0.06672367750171561,0.15495920843016633
-10.603706667700097,0.04933969596373435,-0.08412291400535846,0.16964555021742922
-10.597329702415912,0.08584934128590685,-0.05843999478479693,0.22744218826488558
-10.590952737131728,0.14848595770131615,-0.004991611264221979,0.29768582060322024
