param,median,ci_lo,ci_hi,n_valid
ou_tau,4.612836604756119,4.452400038817742,4.815273071300308,500
delta_aic (tanh - ou),-2261.871507856151,-2644.5351367834332,-1892.1516887387875,500
delta_bic (tanh - ou),-2252.655944747479,-2635.3170439224887,-1882.934110912319,500
delta_aic (rational - ou),-2200.107380154317,-2568.0366298132594,-1843.5731121535882,500
delta_bic (rational - ou),-2190.890273672616,-2558.821880028112,-1834.3582093298796,500
delta_aic (hinge - ou),-4670.129455453753,-5148.790943607132,-4231.124234221948,500
delta_bic (hinge - ou),-4642.482382819951,-5121.138326751807,-4203.47162780478,500
