model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,74221,5,23106.24445423206,-86601.7673465698,-86555.6933345299,-5.246735399534359,-0.5362888409761754,,,,0.18431744293203947,0.7961635557614429,,,13.0,2.0,-10.269172761447622,1.8646668056336175
tanh_saturating,74221,3,23871.35938147543,-84187.9080972812,-84160.26369005725,,,-10.059207757674674,,,0.354609398844854,0.8086033348466556,-0.4385455557292532,2.2802648138506605,10.0,2.0,,
rational_saturating,74221,3,23892.064001723087,-84123.56104647096,-84095.91663924702,,,-10.062160590471903,,,0.3804152590796509,0.8253346970280628,-0.46092241177970994,2.169562543376461,12.0,2.0,,
OU_linear,74221,2,24614.13010423055,-81915.68132648432,-81897.25172166836,-2.121817793203927,-0.21650996077118365,-9.800093195002463,4.6187251451993925,,,,,,,,,
