x,D_mean,D_lo,D_hi
-13.361180257237288,0.11740741787654196,0.10898032741245109,0.12532281309022883
-13.354993835678158,0.1518690111631008,0.14096838930890732,0.16210774480543894
-13.348807414119026,0.17555409269754815,0.1629534412996437,0.18738963399436087
-13.342620992559896,0.18823179199908252,0.17472119163426952,0.20092205411728203
-13.336434571000765,0.19351659395587162,0.17962671980583408,0.206563206100861
-13.330248149441635,0.1952321442026733,0.1812193116304284,0.2083946200110734
-13.324061727882503,0.1956654043612941,0.1816219819036408,0.2088576739638827
-13.317875306323373,0.1957495206230647,0.18170127238169395,0.2089488546934403
-13.311688884764243,0.19575994248430625,0.1817134319703269,0.20896283771119847
-13.30550246320511,0.1957550605076369,0.1817134319703269,0.20896283771119847
-13.29931604164598,0.19574694730967435,0.1817134319703269,0.20896283771119847
-13.29312962008685,0.19573454347963942,0.1817134319703269,0.20896283771119847
-13.286943198527718,0.1957171677835895,0.1817134319703269,0.20896283771119847
-13.280756776968587,0.19569496287499885,0.1817134319703269,0.20896283771119847
-13.274570355409457,0.19566893715065128,0.1817134319703269,0.20896283771119847
-13.268383933850327,0.19564049012861442,0.1817134319703269,0.20896283771119847
-13.262197512291195,0.19561080252581192,0.1817134173134529,0.20896280652431048
-13.256011090732065,0.19558045510944067,0.18171329006199255,0.2089625357587275
-13.249824669172934,0.19554902146063052,0.1817125664587358,0.20896099607614055
-13.243638247613802,0.19551365459872103,0.18170935956670795,0.2089541724531571
-13.237451826054672,0.19546549885484799,0.1816980105207766,0.20893002395985472
-13.231265404495542,0.19538426998200856,0.18166561065123255,0.20886108353636723
-13.225078982936411,0.19523545395987893,0.18159023922553222,0.208700708260795
-13.21889256137728,0.19497741881680203,0.18144553771242383,0.20839281246573943
-13.212706139818149,0.1945797089851088,0.18121237102116117,0.20789668051628965
-13.206519718259019,0.19404058486323156,0.1808899114987881,0.2072105513329692
-13.200333296699887,0.19338811357105676,0.1804961780740632,0.20637276558186354
-13.194146875140756,0.19266374921636908,0.18005748763642135,0.2054393203249377
-13.187960453581626,0.19190332597555165,0.17959972739018684,0.20445824574362328
-13.181774032022494,0.19112861362464156,0.1791340704823288,0.20345696988318765
-13.175587610463364,0.19034943163583304,0.17866572334296202,0.20244765089046482
-13.169401188904233,0.18956914693044807,0.17819672290935884,0.20143692400555005
-13.163214767345103,0.1887886477790909,0.17766122504182397,0.2004259287813373
-13.157028345785971,0.18800811850926183,0.177052438976979,0.19941922823097263
-13.15084192422684,0.18722758871628917,0.1764147649188383,0.19847337753429367
-13.14465550266771,0.18644705892331667,0.17573381028161297,0.19752752683761474
-13.138469081108578,0.18566652913034382,0.1750528556443876,0.1965816761409358
-13.132282659549448,0.18488599933737127,0.17437258472424164,0.19567317274434828
-13.126096237990318,0.18410546954439863,0.17369688455414847,0.1946975492188145
-13.119909816431187,0.18332493975142608,0.17302196974226003,0.19375328087972304
-13.113723394872055,0.18254440995845336,0.172347487157249,0.19273893104705994
-13.107536973312925,0.18176388016548065,0.17170373539428738,0.19158082711450125
-13.101350551753795,0.18098335037250807,0.17118577265977072,0.19043270784046945
-13.095164130194663,0.18020282057953518,0.17067022174777974,0.1895357119598879
-13.088977708635532,0.1794222907865625,0.1701193464684389,0.18863871607930643
-13.082791287076402,0.1786417609935899,0.16949091389052154,0.18775763199994983
-13.07660486551727,0.1778612312006173,0.16886248131260423,0.18692845135710479
-13.07041844395814,0.17708070140764462,0.16823404873468686,0.18620987930614966
-13.06423202239901,0.17630017161467204,0.167633726118171,0.1852876383388115
-13.058045600839879,0.17551964182169935,0.16706901257136691,0.18447409697322129
-13.051859179280747,0.17473911202872666,0.16650429902456285,0.18365247995961492
-13.045672757721617,0.173958582235754,0.16581754163962217,0.18311153871615518
-13.039486336162486,0.17317805244278117,0.1650809092321143,0.18279681909639758
-13.033299914603354,0.17239752264980868,0.16429491945488847,0.18226210987701116
-13.027113493044224,0.171616992856836,0.16353053451345573,0.18135970080258046
-13.020927071485094,0.17083646306386335,0.162766149572023,0.18044849844094243
-13.014740649925963,0.17005593327089066,0.16166964784518403,0.17953028159306772
-13.008554228366831,0.16927540347791806,0.16093184184275422,0.17861206474519303
-13.002367806807701,0.1684948736849453,0.16032645367707785,0.17769384789731832
-12.99618138524857,0.1677143438919728,0.15945485964448966,0.1770693424794147
-12.989994963689439,0.1669338140989999,0.15876720185849158,0.17660773531507495
-12.983808542130308,0.16615328430602744,0.15807954407249353,0.17595333227511836
-12.977622120571178,0.1653727545130547,0.15715713459721786,0.1750338174316491
-12.971435699012046,0.164592224720082,0.15622913761819673,0.17411430258817986
-12.965249277452916,0.1638116949271093,0.1553011406391757,0.1731858268461791
-12.959062855893785,0.16303116513413676,0.15437314366015462,0.17225322335820084
-12.952876434334655,0.16225063620098087,0.15345116082625956,0.1713206198702226
-12.946690012775523,0.16147011501452405,0.15255868110498963,0.17038801638224432
-12.940503591216393,0.16068964054113255,0.15160231040841637,0.16945541289426605
-12.934317169657263,0.1599093863550137,0.15067090176661757,0.16873170820021136
-12.92813074809813,0.1591299828552479,0.14973949312481874,0.16804365580349861
-12.921944326539,0.15835331948346773,0.14880813828737824,0.16735560453130252
-12.91575790497987,0.1575842812568241,0.14788070365400033,0.16665999862073194
-12.90957148342074,0.15683398676367527,0.14697588778558404,0.16569703822646673
-12.903385061861607,0.1561255421368211,0.14661484568561828,0.16493345144872634
-12.897198640302477,0.15550272495715065,0.1459085641241429,0.16433753826469824
-12.891012218743347,0.1550390668912752,0.14588924136983927,0.1639651685305135
-12.884825797184215,0.15483844583807083,0.14570403092669545,0.16367249275055612
-12.878639375625085,0.1550147713152801,0.14545972452630807,0.16478744983599236
-12.872452954065954,0.15564941330305415,0.1457236292395618,0.16591558140760848
-12.866266532506824,0.1567497234196134,0.14707450251445806,0.16737741796591094
-12.860080110947692,0.15824235613016832,0.14765273212666036,0.168492806822644
-12.853893689388562,0.1600088163173816,0.1496504003145273,0.1701786203133717
-12.847707267829431,0.16193425462170313,0.151951236891985,0.17209253219292153
-12.8415208462703,0.16393689102743247,0.15434834111236187,0.1740144568455802
-12.835334424711169,0.16597095752516527,0.15676962977483352,0.17593815132859417
-12.829148003152039,0.16801571115933947,0.15920024458885032,0.17786215481145884
-12.822961581592907,0.17006346722239307,0.16163424505464316,0.17997301035730193
-12.816775160033776,0.1721119084175515,0.16406841692823804,0.18171021446154179
-12.810588738474646,0.17416046520590966,0.1665025888018329,0.18266627384345208
-12.804402316915516,0.1762090394498488,0.16889502555391867,0.18450045339585497
-12.798215895356384,0.17825761369378804,0.17136006386489103,0.18632044319834412
-12.792029473797253,0.18030618793772718,0.17357654708079867,0.1881688125006608
-12.785843052238123,0.18235476218166627,0.17604573680745683,0.19000299205306376
-12.779656630678991,0.18440333642560539,0.17807441983390243,0.1920703408307376
-12.77347020911986,0.18645191066954442,0.1795729516863132,0.1940988983685208
-12.76728378756073,0.18850048491348353,0.18160280408495827,0.1962915661583189
-12.7610973660016,0.190549053824968,0.18370401742011105,0.19866879975305773
-12.754910944442468,0.19259751363126576,0.18557438654075384,0.20100351953818618
-12.748724522883338,0.19464529661858687,0.1875912350279419,0.20294336317761968
-12.742538101324207,0.19668981841833952,0.1892572279159995,0.2052264445482385
-12.736351679765075,0.1987219393076241,0.19047249561738494,0.2076285089566325
-12.730165258205945,0.20071687884676923,0.19170783020706006,0.21000063545810116
-12.723978836646815,0.20262397846278485,0.1929541603843151,0.21244733466414498
-12.717792415087683,0.20436763366471453,0.19420642495536505,0.2144147991876026
-12.711605993528552,0.20587178688026203,0.1954675772099478,0.21586977095380036
-12.705419571969422,0.2070995025754073,0.1967391689208507,0.21675051673824833
-12.699233150410292,0.20807576846192125,0.1980203908618492,0.2172578669070952
-12.69304672885116,0.20887165080981718,0.19930859994821837,0.2175073094315218
-12.68686030729203,0.2095653852364091,0.20060080217551007,0.21769957984860275
-12.680673885732899,0.21021341429597842,0.20189480451524106,0.2178110381800668
-12.674487464173767,0.2108452702741881,0.2026881212082067,0.21826676423500752
-12.668301042614637,0.21147259732966694,0.20342885092098584,0.21857970161305051
-12.662114621055506,0.21209892042436912,0.2041695303623459,0.21929530818824244
-12.655928199496376,0.212725067990018,0.2048742140883603,0.22004268300275495
-12.649741777937244,0.21335120003678212,0.2052906700762103,0.22075357960674194
-12.643555356378114,0.21397733208354644,0.205417295964133,0.22111050418776185
-12.637368934818983,0.21460346413031087,0.20543964068359902,0.22197651915022248
-12.631182513259851,0.215229596177075,0.20546245527890725,0.22284172754836154
-12.624996091700721,0.21585572822383942,0.20548392741318874,0.22404626177933992
-12.61880967014159,0.21648186020466662,0.20550613789620736,0.2250231794650333
-12.612623248582459,0.2171079879546325,0.2053453679880013,0.22612208160542316
-12.606436827023328,0.21773405822072434,0.20538994432264404,0.22717042182365696
-12.600250405464198,0.2183596896545842,0.2054423530316268,0.22820589978797554
-12.594063983905068,0.21898309921834724,0.2053753725173409,0.22934561454280378
-12.587877562345936,0.21959742638818608,0.2053669624325209,0.23037585371137329
-12.581691140786806,0.22018184799900933,0.20537613530975152,0.23126333302805716
-12.575504719227675,0.22068719373533618,0.20550292929299022,0.23227597276292947
-12.569318297668543,0.22102522296553076,0.20535788175935601,0.23310732694339806
-12.563131876109413,0.22108100831042962,0.20519695149275088,0.23352025685603647
-12.556945454550283,0.22075858731945985,0.20499087368832994,0.23334814673118942
-12.550759032991152,0.22003493234425645,0.20439902578828373,0.23253407076676738
-12.54457261143202,0.21897527615997311,0.20352910206146346,0.23116787533778724
-12.53838618987289,0.21769408218354858,0.20269328335189166,0.2294599685032442
-12.53219976831376,0.21629812953163036,0.20196946145760508,0.22761394460718865
-12.526013346754628,0.21485555565184988,0.20132702591410562,0.2257626965539379
