x_mid,var_est,n,D_est,rep,model,diffusion_source
-13.215568615552153,0.39913611274229865,20072,0.19956805637114933,0,hinge_plateau_smooth,recompute_from_transitions
-12.873930922403003,0.2944460958898078,20144,0.1472230479449039,0,hinge_plateau_smooth,recompute_from_transitions
-12.713161295167165,0.3996815595616796,19785,0.1998407797808398,0,hinge_plateau_smooth,recompute_from_transitions
-12.557739569963914,0.44983167930181556,20132,0.22491583965090778,0,hinge_plateau_smooth,recompute_from_transitions
-12.42707200617936,0.36137238847042746,20437,0.18068619423521373,0,hinge_plateau_smooth,recompute_from_transitions
-12.345839520565075,0.4862236610623443,20165,0.24311183053117216,0,hinge_plateau_smooth,recompute_from_transitions
-12.268666397113726,0.4229717883842408,19877,0.2114858941921204,0,hinge_plateau_smooth,recompute_from_transitions
-12.16882174978853,0.5497436688099718,20216,0.2748718344049859,0,hinge_plateau_smooth,recompute_from_transitions
-12.090022719704764,0.44112809366033523,20201,0.22056404683016761,0,hinge_plateau_smooth,recompute_from_transitions
-12.020014114773264,0.5650484814195497,20223,0.28252424070977483,0,hinge_plateau_smooth,recompute_from_transitions
-11.946587451778106,0.5310685514749911,19541,0.26553427573749555,0,hinge_plateau_smooth,recompute_from_transitions
-11.87776586195074,0.5028338414821286,20740,0.2514169207410643,0,hinge_plateau_smooth,recompute_from_transitions
-11.78090710457824,0.582332111770935,20158,0.2911660558854675,0,hinge_plateau_smooth,recompute_from_transitions
-11.698090872057822,0.5740628595803443,20102,0.28703142979017215,0,hinge_plateau_smooth,recompute_from_transitions
-11.63302268210979,0.5419405842639858,19959,0.2709702921319929,0,hinge_plateau_smooth,recompute_from_transitions
-11.564931219048146,0.5484427614963611,20258,0.27422138074818053,0,hinge_plateau_smooth,recompute_from_transitions
-11.477746959837445,0.7016351445333028,20216,0.3508175722666514,0,hinge_plateau_smooth,recompute_from_transitions
-11.39687553923386,0.5662050200544484,20128,0.2831025100272242,0,hinge_plateau_smooth,recompute_from_transitions
-11.315121331717332,0.6556698876209541,20040,0.32783494381047706,0,hinge_plateau_smooth,recompute_from_transitions
-11.2376486736877,0.7559835047106256,20094,0.3779917523553128,0,hinge_plateau_smooth,recompute_from_transitions
-11.135824520249049,0.7832728429900604,20177,0.3916364214950302,0,hinge_plateau_smooth,recompute_from_transitions
-11.033846919870747,0.7318693739545578,20205,0.3659346869772789,0,hinge_plateau_smooth,recompute_from_transitions
-10.93983878309399,0.7977785287573773,20116,0.39888926437868866,0,hinge_plateau_smooth,recompute_from_transitions
-10.837995069557074,0.7044844897868712,20121,0.3522422448934356,0,hinge_plateau_smooth,recompute_from_transitions
-10.733178652255445,0.7556004306476607,20147,0.37780021532383035,0,hinge_plateau_smooth,recompute_from_transitions
-10.605396238724294,0.7607431054415686,20147,0.3803715527207843,0,hinge_plateau_smooth,recompute_from_transitions
-10.4665924843832,0.7408939859469168,20132,0.3704469929734584,0,hinge_plateau_smooth,recompute_from_transitions
-10.308160680414106,0.7220353820866918,20121,0.3610176910433459,0,hinge_plateau_smooth,recompute_from_transitions
-10.117953562631866,0.6714574227793184,20143,0.3357287113896592,0,hinge_plateau_smooth,recompute_from_transitions
-9.882235027171532,0.6821708733114641,20128,0.34108543665573204,0,hinge_plateau_smooth,recompute_from_transitions
-9.519909940976794,0.5623496437740888,20126,0.2811748218870444,0,hinge_plateau_smooth,recompute_from_transitions
-8.756019834533166,0.4148894052223238,20139,0.2074447026111619,0,hinge_plateau_smooth,recompute_from_transitions
-13.289294607776606,0.38974210236779283,18968,0.19487105118389642,1,hinge_plateau_smooth,recompute_from_transitions
-12.90656155908676,0.35271441651947544,20045,0.17635720825973772,1,hinge_plateau_smooth,recompute_from_transitions
-12.716808192826464,0.3757858127316174,21412,0.1878929063658087,1,hinge_plateau_smooth,recompute_from_transitions
-12.569575524419804,0.45123721551840196,19932,0.22561860775920098,1,hinge_plateau_smooth,recompute_from_transitions
-12.4412132763088,0.3973513290449073,19528,0.19867566452245364,1,hinge_plateau_smooth,recompute_from_transitions
-12.363882337052631,0.4267200761509813,20605,0.21336003807549064,1,hinge_plateau_smooth,recompute_from_transitions
-12.29061495959437,0.3990709994864973,20839,0.19953549974324866,1,hinge_plateau_smooth,recompute_from_transitions
-12.178379711278886,0.5533513608486176,20446,0.2766756804243088,1,hinge_plateau_smooth,recompute_from_transitions
-12.099429290576538,0.46996662244861637,18912,0.23498331122430818,1,hinge_plateau_smooth,recompute_from_transitions
-12.024493812681577,0.48505511777761134,21469,0.24252755888880567,1,hinge_plateau_smooth,recompute_from_transitions
-11.955149926079956,0.5327508419433511,19748,0.26637542097167555,1,hinge_plateau_smooth,recompute_from_transitions
-11.88729016568336,0.5145539212439202,20621,0.2572769606219601,1,hinge_plateau_smooth,recompute_from_transitions
-11.79149679570585,0.5741475304985972,20376,0.2870737652492986,1,hinge_plateau_smooth,recompute_from_transitions
-11.7058618450852,0.5632248298994293,19152,0.2816124149497147,1,hinge_plateau_smooth,recompute_from_transitions
-11.646008415731831,0.5597011517491388,21298,0.2798505758745694,1,hinge_plateau_smooth,recompute_from_transitions
-11.570540814483564,0.5529342019312923,20004,0.27646710096564614,1,hinge_plateau_smooth,recompute_from_transitions
-11.485114301054752,0.7124319168356655,20363,0.35621595841783277,1,hinge_plateau_smooth,recompute_from_transitions
-11.406282110106478,0.5965571425743769,19991,0.29827857128718843,1,hinge_plateau_smooth,recompute_from_transitions
-11.324135029944886,0.6961774893560642,20502,0.3480887446780321,1,hinge_plateau_smooth,recompute_from_transitions
-11.245286622108551,0.7741454949809197,20126,0.38707274749045983,1,hinge_plateau_smooth,recompute_from_transitions
-11.146052620481314,0.7666276000104072,20212,0.3833138000052036,1,hinge_plateau_smooth,recompute_from_transitions
-11.04390934791117,0.7853889120717292,20023,0.3926944560358646,1,hinge_plateau_smooth,recompute_from_transitions
-10.954332551529792,0.766809400908987,20511,0.3834047004544935,1,hinge_plateau_smooth,recompute_from_transitions
-10.842512000007565,0.7718436774586367,20264,0.38592183872931834,1,hinge_plateau_smooth,recompute_from_transitions
-10.73772130947042,0.7817309708049324,20227,0.3908654854024662,1,hinge_plateau_smooth,recompute_from_transitions
-10.608104730488945,0.7198271334730962,20230,0.3599135667365481,1,hinge_plateau_smooth,recompute_from_transitions
-10.468223059114958,0.7226151745027606,20232,0.3613075872513803,1,hinge_plateau_smooth,recompute_from_transitions
-10.320234851902422,0.7240526562872263,20064,0.36202632814361313,1,hinge_plateau_smooth,recompute_from_transitions
-10.12762233789186,0.6616678481868955,20343,0.33083392409344775,1,hinge_plateau_smooth,recompute_from_transitions
-9.891883304161176,0.642047943045677,20263,0.3210239715228385,1,hinge_plateau_smooth,recompute_from_transitions
-9.538324602851896,0.5774966214010917,20224,0.28874831070054585,1,hinge_plateau_smooth,recompute_from_transitions
-8.782081905248296,0.42884560807792854,20224,0.21442280403896427,1,hinge_plateau_smooth,recompute_from_transitions
-13.215568615552153,0.37877345769177967,19909,0.18938672884588983,2,hinge_plateau_smooth,recompute_from_transitions
-12.873930922403003,0.3216986197212727,19776,0.16084930986063636,2,hinge_plateau_smooth,recompute_from_transitions
-12.713161295167165,0.38163357572030415,20391,0.19081678786015208,2,hinge_plateau_smooth,recompute_from_transitions
-12.557739569963914,0.4160189027306791,19908,0.20800945136533955,2,hinge_plateau_smooth,recompute_from_transitions
-12.430203708843376,0.3945474122127038,20656,0.1972737061063519,2,hinge_plateau_smooth,recompute_from_transitions
-12.357640847696889,0.4912633918077044,18838,0.2456316959038522,2,hinge_plateau_smooth,recompute_from_transitions
-12.27194452041643,0.4074415286784643,20782,0.20372076433923214,2,hinge_plateau_smooth,recompute_from_transitions
