subject,obs_class,dt,n
1,FF,1,33129
1,FF,2,23620
1,FF,3,17304
1,FF,4,12432
1,FF,5,5264
1,FT,1,2498
1,FT,2,1571
1,FT,3,1396
1,FT,4,1062
1,FT,5,525
1,TF,1,2160
1,TF,2,1450
1,TF,3,983
1,TF,4,930
1,TF,5,60
1,TT,1,1686
1,TT,2,1213
1,TT,3,957
1,TT,4,536
1,TT,5,62
2,FF,1,19466
2,FF,2,14581
2,FF,3,12340
2,FF,4,11380
2,FF,5,6269
2,FT,1,792
2,FT,2,915
2,FT,3,817
2,FT,4,610
2,FT,5,381
2,TF,1,1605
2,TF,2,977
2,TF,3,517
2,TF,4,561
2,TF,5,232
2,TT,1,1301
2,TT,2,1022
2,TT,3,775
2,TT,4,713
2,TT,5,467
3,FF,1,88004
3,FF,2,68099
3,FF,3,53004
3,FF,4,35721
3,FF,5,15855
3,FT,1,3311
3,FT,2,2693
3,FT,3,2034
3,FT,4,728
3,FT,5,250
3,TF,1,6039
3,TF,2,5456
3,TF,3,3561
3,TF,4,3725
3,TF,5,2652
3,TT,1,7662
3,TT,2,5687
3,TT,3,4909
3,TT,4,3334
3,TT,5,1578
4,FF,1,103710
4,FF,2,73470
4,FF,3,63893
4,FF,4,51810
4,FF,5,25194
4,FT,1,5213
4,FT,2,4766
4,FT,3,4211
4,FT,4,2092
4,FT,5,553
4,TF,1,8914
4,TF,2,6699
4,TF,3,4349
4,TF,4,4305
4,TF,5,3416
4,TT,1,7825
4,TT,2,4931
4,TT,3,4867
4,TT,4,4273
4,TT,5,2062
5,FF,1,33129
5,FF,2,23620
5,FF,3,17304
5,FF,4,12432
5,FF,5,5264
5,FT,1,2498
5,FT,2,1571
5,FT,3,1396
5,FT,4,1062
5,FT,5,525
5,TF,1,2160
5,TF,2,1450
5,TF,3,983
5,TF,4,930
5,TF,5,60
5,TT,1,1686
5,TT,2,1213
5,TT,3,957
5,TT,4,536
5,TT,5,62
6,FF,1,30348
6,FF,2,19429
6,FF,3,17225
6,FF,4,18429
6,FF,5,7889
6,FT,1,3249
6,FT,2,2581
6,FT,3,2143
6,FT,4,1779
6,FT,5,1625
6,TF,1,1610
6,TF,2,1643
6,TF,3,1123
6,TF,4,513
6,TF,5,53
6,TT,1,2816
6,TT,2,1533
6,TT,3,1501
6,TT,4,1768
6,TT,5,772
7,FF,1,16679
7,FF,2,22258
7,FF,3,18131
7,FT,1,1926
7,FT,2,977
7,FT,3,1337
7,TF,1,526
7,TF,2,1725
7,TF,3,581
7,TT,1,1288
7,TT,2,1690
7,TT,3,1249
8,FF,1,61488
8,FF,2,42752
8,FF,3,37238
8,FF,4,34275
8,FF,5,19300
8,FT,1,4418
8,FT,2,3217
8,FT,3,2503
8,FT,4,1510
8,FT,5,1164
8,TF,1,3591
8,TF,2,3250
8,TF,3,2419
8,TF,4,1656
8,TF,5,399
8,TT,1,4267
8,TT,2,3285
8,TT,3,2609
8,TT,4,2257
8,TT,5,1199
9,FF,1,61997
9,FF,2,66194
9,FF,3,26813
9,FF,4,15932
9,FT,1,5986
9,FT,2,4559
9,FT,3,3781
9,FT,4,2441
9,TF,1,3909
9,TF,2,2303
9,TF,3,1271
9,TF,4,842
9,TT,1,4041
9,TT,2,5173
9,TT,3,1844
9,TT,4,1729
10,FF,1,86277
10,FF,2,70887
10,FF,3,50070
10,FF,4,29081
10,FF,5,16096
10,FT,1,4530
10,FT,2,3136
10,FT,3,1729
10,FT,4,814
10,FT,5,304
10,TF,1,6430
10,TF,2,6028
10,TF,3,4981
10,TF,4,3479
10,TF,5,2110
10,TT,1,6590
10,TT,2,5288
10,TT,3,3674
10,TT,4,2094
10,TT,5,1069
