subject,time,replica,pair_id,n_thresholds,mean_delta_loglik,median_delta_loglik,frac_thresholds_pl_better,median_tail_fraction
1,1,1,1_1,6,0.430713017196328,0.42644357020647083,1.0,0.2098888278891024
1,1,2,1_1,6,0.4610819235987153,0.4634426927508681,1.0,0.21616024849667476
1,2,1,1_2,6,0.33641965557712933,0.3364944027116379,1.0,0.1802638664512655
1,2,2,1_2,6,0.3328183940465191,0.3304323249572141,1.0,0.17888050247131665
1,3,1,1_3,6,0.3597820934890035,0.3472766407054333,1.0,0.18384752502399562
1,3,2,1_3,6,0.3648863896475725,0.3561077843493987,1.0,0.17766825008923914
1,4,1,1_4,6,0.4025590218386413,0.40630485552455753,1.0,0.1930718246546576
1,4,2,1_4,6,0.3972468976975236,0.3930004377772139,1.0,0.20236360555743815
1,5,1,1_5,6,0.37099455605177467,0.3838729322483048,1.0,0.18406899243859065
1,5,2,1_5,6,0.372073204347043,0.3730963233790291,1.0,0.1850089861507559
1,6,1,1_6,6,0.44317657305397096,0.45450827115892306,1.0,0.20272757064710478
1,6,2,1_6,6,0.4551521140932548,0.47083907511496625,1.0,0.2493375728669846
2,1,1,2_1,6,0.40084627150966307,0.40047225446668666,1.0,0.21520544712980755
2,1,2,2_1,6,0.41937095315450407,0.40064089200246555,1.0,0.19778193340605682
2,2,1,2_2,6,0.4181653420012765,0.42572452590012794,1.0,0.2085796189654735
2,2,2,2_2,6,0.4344998573558885,0.4475417554824475,1.0,0.21954172594363894
2,3,1,2_3,6,0.4148669823852355,0.44604228550815495,1.0,0.2157176185950056
2,3,2,2_3,6,0.4198229109101052,0.4391600435124663,1.0,0.20667549077455466
2,4,1,2_4,6,0.4050218944331843,0.42581104599024694,1.0,0.21249691890559527
2,4,2,2_4,6,0.39502078294764714,0.42352097949426326,1.0,0.2244154374049312
2,5,1,2_5,6,0.3716912237982169,0.37272122372936745,1.0,0.22823795974286015
2,5,2,2_5,6,0.36620167384688423,0.3614735035596618,1.0,0.23046995208159318
2,6,1,2_6,6,0.3417475253847924,0.3345109089595818,1.0,0.21365674354727957
2,6,2,2_6,6,0.34976803371199766,0.3384695670974244,1.0,0.21124646892655366
3,1,1,3_1,6,0.3450721751187416,0.3489473434988126,1.0,0.18544980287739354
3,1,2,3_1,6,0.36365395888436375,0.37231850347771867,1.0,0.19542468294914478
3,2,1,3_2,6,0.37748363378158095,0.39027811062012474,1.0,0.20070122885250366
3,2,2,3_2,6,0.3935761948187318,0.4154670607224813,1.0,0.19771106941838648
3,3,1,3_3,6,0.45046856696195975,0.4609673640784716,1.0,0.21601401529341765
3,3,2,3_3,6,0.4509720536237016,0.4609174351432088,1.0,0.2248538527832868
3,4,1,3_4,6,0.35874525351790515,0.35586891798429243,1.0,0.1950963534405304
3,4,2,3_4,6,0.34928498473695235,0.348283753226868,1.0,0.20190839415791742
3,5,1,3_5,6,0.43807127121125644,0.4603931055197531,1.0,0.2409712994950837
3,5,2,3_5,6,0.4334272175028225,0.4656206608017035,1.0,0.2436196682464455
3,6,1,3_6,6,0.33108058831985726,0.3347294991071045,1.0,0.1964381412979544
3,6,2,3_6,6,0.37412435774325026,0.39043225900399836,1.0,0.18371435305208578
4,1,1,4_1,6,0.4083518171728347,0.4135300934299474,1.0,0.19203141956488035
4,1,2,4_1,6,0.4018825807935964,0.40699906916634887,1.0,0.20606871303858068
4,2,1,4_2,6,0.48227288982141503,0.5035471914653963,1.0,0.2394355342467976
4,2,2,4_2,6,0.4851163157614818,0.5037972456415508,1.0,0.2266200328528451
4,3,1,4_3,6,0.5541288863194531,0.5724267513172341,1.0,0.2578813071034653
4,3,2,4_3,6,0.5520693459272674,0.5684013526688477,1.0,0.26224083974442564
4,4,1,4_4,6,0.44164398775209057,0.4476810798048653,1.0,0.19884034948371726
4,4,2,4_4,6,0.4470028753364692,0.45556269860932963,1.0,0.19476233113517682
4,5,1,4_5,6,0.4296500914008006,0.43781639650103954,1.0,0.1810277203875772
4,5,2,4_5,6,0.4055329286246525,0.4103262591861826,1.0,0.21987587571581335
4,6,1,4_6,6,0.5058716334193655,0.5266834767771682,1.0,0.26355297442557607
4,6,2,4_6,6,0.4943462167161507,0.5146308033292089,1.0,0.2139728130786253
5,1,1,5_1,6,0.430713017196328,0.42644357020647083,1.0,0.2098888278891024
5,1,2,5_1,6,0.4610819235987153,0.4634426927508681,1.0,0.21616024849667476
5,2,1,5_2,6,0.33641965557712933,0.3364944027116379,1.0,0.1802638664512655
5,2,2,5_2,6,0.3328183940465191,0.3304323249572141,1.0,0.17888050247131665
5,3,1,5_3,6,0.3597820934890035,0.3472766407054333,1.0,0.18384752502399562
5,3,2,5_3,6,0.3648863896475725,0.3561077843493987,1.0,0.17766825008923914
5,4,1,5_4,6,0.4025590218386413,0.40630485552455753,1.0,0.1930718246546576
5,4,2,5_4,6,0.3972468976975236,0.3930004377772139,1.0,0.20236360555743815
5,5,1,5_5,6,0.37099455605177467,0.3838729322483048,1.0,0.18406899243859065
5,5,2,5_5,6,0.372073204347043,0.3730963233790291,1.0,0.1850089861507559
5,6,1,5_6,6,0.44317657305397096,0.45450827115892306,1.0,0.20272757064710478
5,6,2,5_6,6,0.4551521140932548,0.47083907511496625,1.0,0.2493375728669846
6,1,1,6_1,6,0.5014286607077694,0.5086493873993695,1.0,0.22156424581005588
6,1,2,6_1,6,0.489547064015166,0.48886592731118705,1.0,0.2175342219020173
6,2,1,6_2,6,0.47228171520823975,0.4779306184783104,1.0,0.24684940778341796
6,2,2,6_2,6,0.48300519347481047,0.4906545055300752,1.0,0.2354369644324451
6,3,1,6_3,6,0.5252168285957061,0.5284199602942694,1.0,0.20590249673121225
6,3,2,6_3,6,0.5327277942968277,0.548687285550129,1.0,0.20999852529125498
6,4,1,6_4,6,0.4334258387834738,0.4099365555374824,1.0,0.1943069306930693
6,4,2,6_4,6,0.44344096058726007,0.4436599886439538,1.0,0.22949056419282293
6,5,1,6_5,6,0.47567195674716994,0.49028252998655203,1.0,0.23312933056536625
6,5,2,6_5,6,0.4815535533476159,0.48670897752501435,1.0,0.22558023532173352
6,6,1,6_6,6,0.48653297893003283,0.5144103217064318,1.0,0.23656926418506113
6,6,2,6_6,6,0.4791929464737262,0.5126965834947148,1.0,0.251268758526603
7,1,1,7_1,6,0.4181203389068644,0.4246907142508186,1.0,0.24350012506088492
7,1,2,7_1,6,0.40847795147972304,0.4119862497096472,1.0,0.20119940029985006
7,2,1,7_2,6,0.34609025322730175,0.34992730042139214,1.0,0.2002856902137698
7,2,2,7_2,6,0.33558804526602737,0.3416402129276187,1.0,0.19107959249793008
7,4,1,7_4,6,0.4289823888285928,0.44528108309004594,1.0,0.21771541328655997
7,4,2,7_4,6,0.41683146461022114,0.4314390047984241,1.0,0.21144467571139908
7,5,1,7_5,6,0.4168142236064325,0.4187843701774495,1.0,0.1846723769825132
7,5,2,7_5,6,0.38995033535784773,0.3970860425726587,1.0,0.20034624861925399
7,6,1,7_6,6,0.4192332037293964,0.399450408028599,1.0,0.1964561958783051
7,6,2,7_6,6,0.42344715539055344,0.4115405640180539,1.0,0.20362788664675457
8,1,1,8_1,6,0.43998886842173784,0.4542576094078114,1.0,0.20472888672974793
8,1,2,8_1,6,0.45883966416798855,0.4718646920665298,1.0,0.20960764656604913
8,2,1,8_2,6,0.3212111977318613,0.3153640073234061,1.0,0.1946223060980336
8,2,2,8_2,6,0.33602820589343746,0.33545496483880965,1.0,0.1869800518829949
8,3,1,8_3,6,0.27647261238258897,0.2544614807467419,1.0,0.18298073252566655
8,3,2,8_3,6,0.29494357816877037,0.2808937785082064,1.0,0.18692097510993466
8,4,1,8_4,6,0.35489634166233786,0.3566899941159539,1.0,0.18658410096840117
8,4,2,8_4,6,0.37273591111460874,0.37255285971208385,1.0,0.19383065820441034
8,5,1,8_5,6,0.4377165146168241,0.4525354469703519,1.0,0.19880204748795596
8,5,2,8_5,6,0.459693693661398,0.4759717230019978,1.0,0.20078072833735683
8,6,1,8_6,6,0.4213027229123636,0.44254339010837607,1.0,0.23639887879880667
8,6,2,8_6,6,0.44963771362953603,0.471157477825847,1.0,0.21915350321976992
9,2,1,9_2,6,0.34485240626375696,0.3550231434825436,1.0,0.18008149240569837
9,2,2,9_2,6,0.32036766797123234,0.3311405195619448,1.0,0.17951558016948022
9,3,1,9_3,6,0.47444331738614914,0.49883523594927026,1.0,0.2225516621743037
9,3,2,9_3,6,0.43553108999447526,0.4524137699638582,1.0,0.20653792076751304
9,4,1,9_4,6,0.4356043842132733,0.4569568218969893,1.0,0.20621550531389216
9,4,2,9_4,6,0.3967066423196394,0.40891090137606645,1.0,0.18568503307974493
9,5,1,9_5,6,0.38455534305198213,0.3906262292752428,1.0,0.21590963328295282
9,5,2,9_5,6,0.3534603468792057,0.3556443615637458,1.0,0.18592835944846792
9,6,1,9_6,6,0.3985739481808704,0.4073838802359707,1.0,0.2307879989925702
9,6,2,9_6,6,0.36468210553831076,0.35990779367529163,1.0,0.20486785646698052
10,1,1,10_1,6,0.4313250021992127,0.43936150662206586,1.0,0.22394462669887163
10,1,2,10_1,6,0.44577432221553326,0.4514627459370732,1.0,0.20049055232558138
10,2,1,10_2,6,0.39966119471796047,0.398065106686346,1.0,0.22724552160168598
10,2,2,10_2,6,0.4218333935210408,0.426452424523741,1.0,0.1885517519594283
10,3,1,10_3,6,0.4058514992061258,0.40570993824423063,1.0,0.19167284316632077
10,3,2,10_3,6,0.43592817628907166,0.4414701932933922,1.0,0.21903090922487473
10,4,1,10_4,6,0.4618598052185688,0.46940322781803206,1.0,0.21355463061462668
10,4,2,10_4,6,0.464541132249877,0.4749187109596002,1.0,0.2059044528416949
10,5,1,10_5,6,0.456107460537591,0.4585325583415333,1.0,0.22944046275843438
10,5,2,10_5,6,0.47225586782905676,0.4713505668114583,1.0,0.20976837685903366
10,6,1,10_6,6,0.4691716710532729,0.4774229681008934,1.0,0.20288073541594293
10,6,2,10_6,6,0.46976178528417023,0.5017992401662944,1.0,0.200003296033224
