subject,time,replica,pair_id,file,depth,fit_success,fit_message,n_total,n_tail,tail_fraction,gamma_hat,xmin_hat,ks_distance
1,1,1,1_1,1_1-1,382160,True,ok,29144,71,0.0024361789733735933,1.8084342519005008,0.0003401716558509525,0.05210015467096174
1,1,2,1_1,1_1-2,288900,True,ok,25111,72,0.0028672693242005496,1.7985056836938977,0.0003322949117341641,0.046935806293069926
1,2,1,1_2,1_2-1,2551174,True,ok,55710,5537,0.09938969664333154,3.0235018934649376,2.9006253591483763e-05,0.05093010655589669
1,2,2,1_2,1_2-2,2731364,True,ok,56043,5488,0.0979248077369163,3.014611958963956,2.9289395335078005e-05,0.04701166180758017
1,3,1,1_3,1_3-1,1206214,True,ok,36465,2698,0.07398875634169752,3.419163890553987,5.30585783285553e-05,0.07081666678593002
1,3,2,1_3,1_3-2,1130042,True,ok,36419,2083,0.057195419973090966,3.3300769085064976,5.840490884409606e-05,0.07708072938831484
1,4,1,1_4,1_4-1,1000988,True,ok,60954,102,0.001673393050497096,1.8517527363676112,0.0001938085171850212,0.08657003894557125
1,4,2,1_4,1_4-2,994738,True,ok,59020,139,0.0023551338529312097,1.9657683116274591,0.0001608463736179778,0.08768194381008182
1,5,1,1_5,1_5-1,1211810,True,ok,69167,1193,0.01724810964766435,2.603021068596598,5.281355988149958e-05,0.0558088778634485
1,5,2,1_5,1_5-2,1165250,True,ok,66213,865,0.013063899838400315,2.540211057812296,6.35056854752199e-05,0.06405030209369605
1,6,1,1_6,1_6-1,424670,True,ok,39669,658,0.016587259572966296,2.452077938386539,9.890032260343326e-05,0.07437822922258153
1,6,2,1_6,1_6-2,422160,True,ok,41514,789,0.019005636652695477,2.5090989999824935,8.527572484366117e-05,0.0824011383786859
2,1,1,2_1,2_1-1,247006,True,ok,29667,158,0.0053257828563724,2.472552324496709,0.00034007271078435343,0.028876213732735523
2,1,2,2_1,2_1-2,153920,True,ok,19251,141,0.007324294841826399,2.434251126736227,0.0004158004158004158,0.043799415299350164
2,2,1,2_2,2_2-1,335728,True,ok,39419,165,0.004185798726502448,2.700534078825476,0.00019063051041319162,0.048484848484848485
2,2,2,2_2,2_2-2,263484,True,ok,33037,183,0.005539243878076096,2.8405635603813835,0.00019735543714229328,0.04918032786885246
