rep,model,intercept,slope,xstar,sse,tau
0,hinge_plateau_smooth,-4.1763002282226305,-0.4294867448251017,-9.410205107326723,37.008693052761686,2.3283605653702453
1,hinge_plateau_smooth,-4.171399296595055,-0.4289637413698424,-9.387434906317145,35.35515008793755,2.3311993615279096
2,hinge_plateau_smooth,-4.330182164815669,-0.4441241726272615,-9.439422775952684,40.14509847635056,2.2516225452994347
3,hinge_plateau_smooth,-4.316498245698216,-0.4427604047943205,-9.43110662813713,37.722340526923475,2.2585578772892734
4,hinge_plateau_smooth,-4.184301257547335,-0.4298742446103418,-9.394396994612858,37.837383121951646,2.326261720811971
5,hinge_plateau_smooth,-4.090110142242806,-0.4211675930265736,-9.379735844145435,32.06812252369561,2.3743517225858946
6,hinge_plateau_smooth,-4.0394422823564335,-0.4155401046271403,-9.381484199898612,31.99263836811751,2.406506589531928
7,hinge_plateau_smooth,-4.168848146111314,-0.4290245918338923,-9.390771420372396,41.19951756428576,2.3308687171647615
8,hinge_plateau_smooth,-4.179366122292672,-0.42992456418173336,-9.396779019630332,38.81526066688798,2.325989448644972
9,hinge_plateau_smooth,-4.012540652886067,-0.4138719524848043,-9.336813610034252,32.68387341621188,2.416206254123287
10,hinge_plateau_smooth,-4.311340240291399,-0.44280268943860246,-9.434547866320745,29.255241529920582,2.2583422003778426
11,hinge_plateau_smooth,-4.253114800421756,-0.43637928633598594,-9.424781834770787,37.277262691137636,2.291584480089323
12,hinge_plateau_smooth,-4.208252290466477,-0.43272512530942253,-9.385739059915633,25.36162406945502,2.3109358378137723
13,hinge_plateau_smooth,-4.114570776628975,-0.42361609331816535,-9.389397468991664,49.10098788553996,2.360627973708567
14,hinge_plateau_smooth,-4.345740004871353,-0.44658991104764106,-9.411747352999376,39.64363553188926,2.23919075478918
15,hinge_plateau_smooth,-4.159267198163274,-0.428170235604713,-9.386061999855816,25.214610943741633,2.335519652802771
16,hinge_plateau_smooth,-4.1730531490370355,-0.4296841692457233,-9.381997262511428,45.001673655166954,2.327290767438375
17,hinge_plateau_smooth,-4.412466361110175,-0.45278948126483476,-9.462956761540095,26.715142360880684,2.208531870498785
18,hinge_plateau_smooth,-4.395400310324029,-0.4507789754102209,-9.42903504204548,26.610085727526656,2.2183820775802006
19,hinge_plateau_smooth,-4.139721507619039,-0.4260145032525637,-9.380328318118188,32.339733385456285,2.3473379248009962
20,hinge_plateau_smooth,-4.178082040117159,-0.4299714780494872,-9.388327108302091,28.793581253973223,2.3257356616684834
21,hinge_plateau_smooth,-4.29956492679106,-0.44116426236035045,-9.43615999948308,33.314972152054295,2.2667293915643216
22,hinge_plateau_smooth,-3.781190400401535,-0.39132226625118477,-9.274296912502663,45.608362520276096,2.555438538113016
23,hinge_plateau_smooth,-4.398504645331376,-0.4517742691298189,-9.42471208120488,27.880553821424677,2.2134948099769858
24,hinge_plateau_smooth,-4.149798416065093,-0.4270496046568037,-9.387638432140335,23.769586899561563,2.3416483450526666
25,hinge_plateau_smooth,-4.427867999053422,-0.4539728536603164,-9.439263247562076,25.29942971429742,2.202774883866176
26,hinge_plateau_smooth,-3.8441314591915314,-0.39768647987970457,-9.293586160738304,38.43059021208703,2.5145436181347884
27,hinge_plateau_smooth,-3.9845594202513848,-0.41201752386938717,-9.310533230411407,44.577421338059914,2.4270812333628022
