x,D_mean,D_lo,D_hi
-11.059715190759944,0.04101571496793764,0.03124728859168654,0.054604801863690114
-11.053116998549045,0.05305470797574592,0.04041903752380712,0.07063248156820058
-11.046518806338145,0.0613289862690953,0.046722722369347526,0.08164813399300627
-11.039920614127247,0.06575792035203339,0.05009713059718116,0.08754438784597646
-11.033322421916347,0.06760429247129547,0.05150535874720867,0.09000230985441271
-11.026724229705449,0.06820409832803817,0.051969226325926536,0.09080024515335097
-11.020126037494549,0.06835681114213232,0.052109219635308165,0.09100176200470443
-11.013527845283651,0.06838949007069105,0.05220764759510364,0.09104027565899843
-11.006929653072753,0.06840012574858693,0.05236171927662959,0.09104150505174666
-11.000331460861853,0.06841147086007217,0.052580806855654444,0.09102579124406532
-10.993733268650955,0.06843020795958632,0.05270323430590839,0.09087098636667928
-10.987135076440055,0.06845782720843364,0.05278932433967566,0.0905093364392705
-10.980536884229156,0.06849474011021878,0.05315046530019278,0.09012631942565047
-10.973938692018256,0.06854025216966081,0.05361780681346533,0.0896142498967464
-10.967340499807358,0.06859289326987054,0.054105662171725494,0.0891215252284565
-10.96074230759646,0.06865087651710572,0.054627087899236905,0.08834241792534285
-10.95414411538556,0.06871250554011081,0.05514212450860285,0.08771954440104254
-10.947545923174662,0.06877642864699829,0.05553288740348288,0.08726998655988302
-10.940947730963762,0.06884170498588285,0.05582713796168056,0.08691022091242552
-10.934349538752864,0.0689077348262809,0.056272172953873656,0.0864887239412954
-10.927751346541964,0.06897415368867131,0.05655577519111492,0.08610312915863363
-10.921153154331066,0.06904075162756873,0.05676829758168342,0.08605185727991298
-10.914554962120167,0.06910742010383884,0.05709863694938788,0.08566885009281204
-10.907956769909267,0.06917411155369009,0.057411509927628585,0.08521375806369488
-10.90135857769837,0.06924080909331676,0.057504720810321534,0.0845731348053757
-10.89476038548747,0.06930750791397655,0.057573778456721895,0.08438771317652996
-10.888162193276571,0.06937420695312463,0.057641419776366484,0.08428943421420418
-10.881564001065671,0.06944090600922766,0.058044152021281326,0.0841911552518784
-10.874965808854773,0.06950760506533069,0.05809915575868996,0.08409287628955261
-10.868367616643875,0.06957430412143371,0.058000334788418394,0.08374339026877844
-10.861769424432975,0.06964100317753676,0.05801784702642312,0.08351550262585859
-10.855171232222077,0.06970770223363976,0.05794616236879413,0.08331424814607526
-10.848573040011177,0.06977440128974277,0.05791552895057267,0.08315135047990353
-10.841974847800278,0.06984110043629368,0.057802793053536146,0.08299724786104619
-10.835376655589378,0.0699078005595687,0.05761783830304413,0.08277955718344795
-10.82877846337848,0.06997450744021846,0.05765942373827816,0.08280685027796497
-10.822180271167582,0.07004125182972287,0.05756289237107714,0.0829668157157401
-10.815582078956682,0.07010816000645453,0.057516244867898726,0.08356315136202186
-10.808983886745784,0.07017566476739746,0.0571803779754896,0.08407650600937347
-10.802385694534884,0.07024500631330537,0.057044224160354755,0.08406270054390871
-10.795787502323986,0.07031913333089251,0.05656817392393138,0.08482725954144557
-10.789189310113088,0.07040378511644337,0.05633240041663923,0.08536857232243913
