subject,time,replica,pair_id,file,depth,pl_fit_success,pl_fit_message,n_total,pl_n_tail,pl_tail_fraction,pl_gamma_hat,pl_xmin_hat,pl_ks_distance
1,1,1,1_1,1_1-1,899786,True,ok,92304,512,0.005546888542208355,2.078009481187364,8.224177748931413e-05,0.044439203068168176
1,1,2,1_1,1_1-2,534450,True,ok,56478,82,0.001451892772406955,2.1395968588891234,0.0006399101880437833,0.03306396295111487
1,2,1,1_2,1_2-1,738856,True,ok,78378,315,0.004018984919237541,2.018932723888748,0.00012993059540695345,0.03328797522210247
1,2,2,1_2,1_2-2,504098,True,ok,55010,80,0.0014542810398109434,2.134095437990079,0.0006427321671579733,0.02487387522695722
1,3,1,1_3,1_3-1,547154,True,ok,57413,72,0.0012540713775625728,2.1796493112776165,0.000720089773628631,0.03845769872600835
1,3,2,1_3,1_3-2,545280,True,ok,59394,331,0.005572953496986228,1.9854169427863104,0.00013204225352112675,0.03608288591593056
1,4,1,1_4,1_4-1,645008,True,ok,69071,93,0.0013464406190731276,2.136131643024282,0.0005209237714881056,0.05299781642907023
1,4,2,1_4,1_4-2,802352,True,ok,80711,80,0.0009911907918375438,2.16562604568142,0.0006206752148682872,0.03528516760248024
1,5,1,1_5,1_5-1,605762,True,ok,65762,245,0.0037255557920987804,1.961732501778143,0.00016838296228551808,0.030987085034548723
1,5,2,1_5,1_5-2,952314,True,ok,77103,300,0.00389089918680207,1.9818232946749563,0.00010710752965933506,0.03731780519256156
