subject,time,replica,pair_id,threshold_quantile,xmin_threshold,n_total,n_tail,tail_fraction,pl_alpha_hat,pl_gamma_hat,pl_loglik,pl_mean_loglik_per_clonotype,pl_ks,tln_loglik,tln_mean_loglik_per_clonotype,tln_mu,tln_sigma,delta_loglik_pl_minus_tln,mean_delta_loglik_pl_minus_tln,pl_better
1,1,1,1_1,0.7,8.891002971817743e-06,92304,32440,0.3514473912289825,3.730213658961134,3.730213658961134,365552.6983292616,11.268578863417435,0.41344019728729964,348097.2645785454,10.730495208956393,-11.26419899392725,0.55303409449861,17455.433750716213,0.5380836544610423,True
1,1,1,1_1,0.75,8.891002971817743e-06,92304,32440,0.3514473912289825,3.730213658961134,3.730213658961134,365552.6983292616,11.268578863417435,0.41344019728729964,348097.2645785454,10.730495208956393,-11.26419899392725,0.55303409449861,17455.433750716213,0.5380836544610423,True
1,1,1,1_1,0.8,1.111375371477218e-05,92304,19028,0.2061449124631652,3.4919202241447147,3.4919202241447147,207768.32607277628,10.919083775109117,0.36272861046878285,197659.38362202473,10.387817091760812,-11.006030187479356,0.6001803025140843,10108.94245075155,0.5312666833483052,True
1,1,1,1_1,0.85,1.111375371477218e-05,92304,19028,0.2061449124631652,3.4919202241447147,3.4919202241447147,207768.32607277628,10.919083775109117,0.36272861046878285,197659.38362202473,10.387817091760812,-11.006030187479356,0.6001803025140843,10108.94245075155,0.5312666833483052,True
1,1,1,1_1,0.9,1.3336504457726614e-05,92304,12126,0.1313702548101924,3.2351878944108705,3.2351878944108705,128316.61897500057,10.581941198664074,0.30677882236516574,122136.63212745785,10.072293594545428,-10.777615905044511,0.6491671844856401,6179.986847542721,0.5096476041186476,True
1,1,1,1_1,0.95,2.0004756686589923e-05,92304,4798,0.05198041254983533,2.756501952132499,2.756501952132499,47085.4198020265,9.813551438521571,0.2000833680700292,44902.275443084,9.35854010902126,-10.250227134422127,0.7649914953874102,2183.1443589425035,0.45501132950031337,True
1,1,2,1_1,0.7,1.1226494527083917e-05,56478,32832,0.5813237012642091,3.9725202800041433,3.9725202800041433,366084.3283941534,11.150229300504185,0.4865070662768031,347248.75674224435,10.576533770170698,-11.060819128403319,0.5337944824345038,18835.571651909035,0.5736955303334866,True
1,1,2,1_1,0.75,1.4968659369445225e-05,56478,16859,0.298505612804986,3.7213264134030983,3.7213264134030983,181119.66728492494,10.743203469062514,0.42701227830832195,171339.72543529051,10.163101336692005,-10.74208405563177,0.5882882300307994,9779.94184963443,0.5801021323705101,True
1,1,2,1_1,0.8,1.4968659369445225e-05,56478,16859,0.298505612804986,3.7213264134030983,3.7213264134030983,181119.66728492494,10.743203469062514,0.42701227830832195,171339.72543529051,10.163101336692005,-10.74208405563177,0.5882882300307994,9779.94184963443,0.5801021323705101,True
1,1,2,1_1,0.85,1.871082421180653e-05,56478,9660,0.17104005099330713,3.3913412732757444,3.3913412732757444,99885.24444376145,10.340087416538452,0.37091097308488613,94438.7663870578,9.776269812324824,-10.468233005802674,0.6545074256781047,5446.4780567036505,0.5638176042136284,True
1,1,2,1_1,0.9,2.2452989054167835e-05,56478,6077,0.10759941924289104,3.0729252965496077,3.0729252965496077,60470.02441790789,9.95063755437023,0.3136415994734244,57256.418891109424,9.421823085586544,-10.221676757962628,0.7190783829651161,3213.605526798463,0.5288144687836865,True
1,1,2,1_1,0.95,2.993731873889045e-05,56478,3102,0.05492404121958993,2.65490395556414,2.65490395556414,28897.869181513524,9.315883037238402,0.20921985815602837,27476.801335255317,8.85776961162325,-9.812140062985108,0.8155848526756866,1421.0678462582073,0.45811342561515384,True
1,2,1,1_2,0.7,1.082754961724612e-05,78378,25632,0.3270305442853862,3.7898565000451345,3.7898565000451345,284539.9494173572,11.100965567156571,0.42466448189762795,270189.80346914637,10.541112807004774,-11.074975406321633,0.5579018020875353,14350.145948210848,0.5598527601517965,True
1,2,1,1_2,0.75,1.082754961724612e-05,78378,25632,0.3270305442853862,3.7898565000451345,3.7898565000451345,284539.9494173572,11.100965567156571,0.42466448189762795,270189.80346914637,10.541112807004774,-11.074975406321633,0.5579018020875353,14350.145948210848,0.5598527601517965,True
1,2,1,1_2,0.8,1.082754961724612e-05,78378,25632,0.3270305442853862,3.7898565000451345,3.7898565000451345,284539.9494173572,11.100965567156571,0.42466448189762795,270189.80346914637,10.541112807004774,-11.074975406321633,0.5579018020875353,14350.145948210848,0.5598527601517965,True
1,2,1,1_2,0.85,1.353443702155765e-05,78378,14747,0.1881522876317334,3.500817648230295,3.500817648230295,158191.3897276466,10.727021748670685,0.3694310707262494,150090.54767348457,10.177700391502311,-10.810404010976644,0.6133265063697382,8100.842054162029,0.5493213571683752,True
1,2,1,1_2,0.9,1.624132442586918e-05,78378,9299,0.11864298655234887,3.2132765468054068,3.2132765468054068,96436.273285359,10.370606870132164,0.3077750295730724,91559.61751457246,9.846178891770347,-10.576132852204886,0.6693298797701579,4876.655770786543,0.5244279783618178,True
1,2,1,1_2,0.95,2.165509923449224e-05,78378,4691,0.05985097859093113,2.816246266596686,2.816246266596686,45908.26206004199,9.786455352812192,0.2278831805585163,43673.900563496696,9.310147210295607,-10.189683472467804,0.7623891463034662,2234.3614965452944,0.47630814251658377,True
1,2,2,1_2,0.7,1.1902447539962467e-05,55010,30046,0.5461916015269951,4.02583161594479,4.02583161594479,333975.2558266001,11.115464814837253,0.4976036743659722,316103.67576646025,10.520657517355396,-11.008278846774564,0.5399688282321701,17871.58006013988,0.5948072974818571,True
