alpha,alpha_label,JS,KS,int_abs_J,int_abs_S,mean_abs_J,mean_abs_S,n_grid,grid_csv,summary_json,tag
0.005,p_0.005,0.014689904011535925,0.09971266586688746,0.15498739673502265,2.759680945700084,0.03259353406527557,0.5806609081457723,500,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_005_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.grid.csv,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_005_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.summary.json,dt1__TT__hinge_plateau_smooth__trajObs=1
0.01,p_0.01,0.01925008169275489,0.1317760843519531,0.16642255369401227,2.713119318139624,0.036160273385140204,0.5897039371269679,500,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_01_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.grid.csv,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_01_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.summary.json,dt1__TT__hinge_plateau_smooth__trajObs=1
0.02,p_0.02,0.019786830071262602,0.13538952411932476,0.17159787174981847,2.740490522714551,0.03890568750986233,0.6219117583852234,500,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_02_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.grid.csv,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_02_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.summary.json,dt1__TT__hinge_plateau_smooth__trajObs=1
0.05,p_0.05,0.026534347458381357,0.16435622910787495,0.20041086712515935,2.986418241821065,0.04745362449124983,0.7089953806568846,500,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_05_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.grid.csv,/Users/palmieri/Documents/tcr-dynamics_vs6/results/8-fp_stationary/p_05_dt1_TT_w/fp_dt1__TT__hinge_plateau_smooth__trajObs=1.summary.json,dt1__TT__hinge_plateau_smooth__trajObs=1
