bin,tau,tau_med,tau_lo,tau_hi
"(-11.757, -10.425]",1.7372084142147364,1.7467122529771744,1.5876854657922113,1.9389811608283163
"(-10.425, -10.05]",2.5913643828484174,2.5959849826668746,2.053138929557376,3.8410553229043924
"(-10.05, -9.769]",2.1079158768875663,2.0901713713433803,1.5422851308996146,3.3229792711189745
"(-9.769, -9.511]",2.6488158675581035,2.68685372902645,1.7219339707910206,5.184864504180558
"(-9.511, -9.222]",4.324252008109451,4.335999431670204,2.596478243095777,13.870612538461447
"(-9.222, -8.859]",87.41118695907886,16.900042972689704,6.070156675082122,165.35443676489783
"(-8.859, -8.275]",27.982573506103325,21.632716908643747,7.4688361534914085,309.63098865101233
"(-8.275, -3.039]",64.07106069175835,56.83903860227758,24.080005351029882,1009.31611917779
