pool_id,logP_cutoff
1,-12.432998009433238
10,-10.667371890715591
2,-11.326948892290993
3,-11.738091964275029
4,-11.045022510002347
5,-12.432998009433238
6,-11.056200420968851
7,-11.096748409922776
8,-11.496727299471107
9,-11.476916001151974
