x,b_mean,b_lo,b_hi
-11.541120564475168,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.534743599190984,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.5283666339068,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.521989668622616,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.515612703338432,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.509235738054247,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.502858772770063,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.496481807485878,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.490104842201696,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.483727876917511,0.44636063308417046,0.43418782768599595,0.4588760238171091
-11.477350911633327,0.44658398062251886,0.43418782768599595,0.4600757902091383
-11.470973946349142,0.4793740764294505,0.4349770578782817,0.6011859130363324
-11.464596981064958,0.5692689389551339,0.4420074140940852,0.639754939317968
-11.458220015780775,0.6173389349197099,0.461857074684103,0.6482319792027454
-11.45184305049659,0.6281603172367733,0.6041784543594546,0.646549278414882
-11.445466085212406,0.6270683782001782,0.6107855901300792,0.6435183024488885
-11.439089119928221,0.6241438355913173,0.6090455332753896,0.6402543227871632
-11.432712154644037,0.6209904335264175,0.606014671599025,0.6369829880199268
-11.426335189359854,0.6178218999975291,0.6029574734816151,0.6337116532526912
-11.41995822407567,0.6146531840580316,0.5999002753642046,0.6304403184854548
-11.413581258791485,0.6114844681185349,0.5968430772467939,0.6271689837182184
-11.4072042935073,0.6083157521790361,0.5937858791293832,0.623897648950982
-11.400827328223116,0.6051470362395392,0.5907286810119724,0.6206263141837456
-11.394450362938933,0.6019783203000422,0.5876714828945626,0.6173549794165101
-11.388073397654749,0.5988096043605455,0.5846142847771522,0.6140836446492737
-11.381696432370564,0.5956408884210475,0.5815568785704012,0.6108123098820375
-11.37531946708638,0.5924721724815499,0.5784952980900253,0.6075362726232052
-11.368942501802195,0.5893034565420529,0.5754337176096495,0.604248461284938
-11.362565536518012,0.5861347406025559,0.5723721371292741,0.6009606499466721
-11.356188571233828,0.5829660246630576,0.5693105566488985,0.5976728386084051
-11.349811605949643,0.5797973087235607,0.5662489761685224,0.5943850272701383
-11.343434640665459,0.5766285927840634,0.5631873956881465,0.5910972159318711
-11.337057675381276,0.5734598768445666,0.5601246466182039,0.587809580134021
-11.330680710097091,0.5702911609050694,0.5570550423977821,0.5845485131022672
-11.324303744812907,0.5671224449655715,0.55398430350026,0.5812944655718429
-11.317926779528722,0.5639537290260751,0.5509053627513691,0.5780404180414187
-11.311549814244538,0.5607850130865764,0.5478203773898862,0.5747863705109945
-11.305172848960355,0.5576162971470805,0.5447353920284046,0.5715323229805714
-11.29879588367617,0.5544475812075825,0.541650406666922,0.5682782754501471
-11.292418918391986,0.5512788652680849,0.5385654213054389,0.5650136231407307
-11.286041953107802,0.5481101493285875,0.5354804359439562,0.5617503773572154
-11.279664987823617,0.5449414333890901,0.5323954505824736,0.5585038450219366
-11.273288022539434,0.5417727174495938,0.5293164910427144,0.5552602722907886
-11.26691105725525,0.5386040015100964,0.5262481024622674,0.5520166995596391
-11.260534091971065,0.5354352855705988,0.5231791092477002,0.5487622824800105
-11.25415712668688,0.5322665696311013,0.5201092759807581,0.5454833775901317
-11.247780161402696,0.5290978536916036,0.5170394427138161,0.542201761049129
-11.241403196118513,0.5259291377521067,0.5139696094468748,0.538921458467899
-11.235026230834329,0.5227604218126094,0.5108997761799328,0.5356411558866675
-11.228649265550144,0.5195917058731124,0.5078299429129903,0.5323608533054364
-11.22227230026596,0.5164229899336144,0.5047601096460484,0.5290805507242051
-11.215895334981775,0.5132542739941167,0.5016902763791066,0.5258004559861045
-11.209518369697593,0.5100855580546196,0.49862044311216536,0.5225217420353064
-11.203141404413408,0.5069168421151224,0.49554964755436426,0.5192430280845076
-11.196764439129224,0.5037481261756253,0.4924728218922454,0.5159643141337087
-11.190387473845039,0.5005794102361277,0.4893959962301263,0.5126856001829102
-11.184010508560855,0.4974106942966306,0.48630030894598797,0.5094088738681596
-11.177633543276672,0.4942419783571341,0.4831933179778174,0.5061382736538332
-11.171256577992487,0.49107326241763594,0.4800863270096462,0.5028676734395059
-11.164879612708303,0.487904546478139,0.47697933604147474,0.49959017092270247
-11.158502647424118,0.4847358305386417,0.47387234507330317,0.4963091585022373
-11.152125682139934,0.4815671145991439,0.4707653541051317,0.49305587279652396
-11.145748716855751,0.47839839865964695,0.4676572092536993,0.48978527258219745
-11.139371751571566,0.4752296827201493,0.46454775163505135,0.4865146723678703
-11.132994786287382,0.47206096678065174,0.46144078726837534,0.4832440721535429
-11.126617821003197,0.4688922508411545,0.4583558019068927,0.47997347193921547
-11.120240855719013,0.4657235349016573,0.4552861561545867,0.4767028717248881
-11.11386389043483,0.4625548189621604,0.45221805203006027,0.4734322715105616
-11.107486925150646,0.4593861030226626,0.44914994790553303,0.47016167129623465
-11.101109959866461,0.456217387083165,0.4460818437810055,0.4668910710819072
-11.094732994582277,0.45304867114366854,0.44301251328146063,0.4636204708675798
-11.088356029298092,0.4498799552041699,0.4399429373793982,0.46034987065325245
-11.08197906401391,0.4467112392646742,0.4368733614773367,0.4570773518784272
-11.075602098729725,0.4435425233251764,0.4337377124389031,0.45379086794885315
-11.06922513344554,0.4403738073856788,0.4306084682921183,0.45050438401927856
-11.062848168161356,0.4372050914461813,0.42754663697228096,0.4472179000897044
-11.056471202877171,0.43403637550668406,0.4244848056524434,0.4439511496251456
-11.050094237592988,0.43086765956718753,0.4214223061293372,0.44069236334714235
-11.043717272308804,0.4276989436276893,0.4183330371942442,0.4374335770691382
-11.03734030702462,0.42453022768819243,0.4152010824137475,0.4341747907911341
-11.030963341740435,0.4213615117486952,0.4120810214846543,0.4309164574471246
-11.024586376456252,0.41819279580919766,0.4089960361231723,0.42762493631229825
-11.018209411172068,0.4150240798697002,0.4059110507616897,0.42432963883422586
-11.011832445887883,0.4118553639302034,0.4027897541700096,0.42103434135615403
-11.005455480603699,0.4086866479907057,0.39966106535169293,0.41773904387808164
-10.999078515319514,0.40551793205120795,0.39652805844818567,0.4144437464000096
-10.992701550035331,0.4023492161117114,0.39339490522531034,0.4111633275014125
-10.986324584751147,0.3991805001722139,0.39023916384593865,0.40790545652466953
-10.979947619466962,0.39601178423271655,0.3870682550730099,0.4046475920858755
-10.973570654182778,0.39284306829321874,0.3839176758916681,0.4013897276470815
-10.967193688898593,0.3896743523537218,0.3808039928754721,0.3981318632082876
-10.96081672361441,0.3865056364142251,0.37769850559782786,0.3948739987694946
-10.954439758330226,0.3833369204747268,0.37462865871740514,0.39160694391984185
-10.948062793046041,0.3801682045352298,0.3715664459200079,0.3883272258036781
-10.941685827761857,0.37699948859573273,0.3685042331226107,0.38509178584033404
-10.935308862477672,0.37383077265623443,0.36544202032521345,0.38185634587698986
-10.92893189719349,0.3706620567167383,0.3623798075278172,0.3786221680602453
