model,n,k,sse,aic,bic,a,b,x_star,tau,weight_cap_q,A,Delta,slope_local,tau_local,nfev,status,x_c,tau_from_b
hinge_plateau_smooth,22538,5,5173.80543234942,-33156.79222868132,-33116.67743841876,-4.038935076188051,-0.4521252797328927,,,,0.12483914140133444,0.7734404960463762,,,11.0,2.0,-9.57087901242862,2.2117763478980463
tanh_saturating,22538,3,5338.870056920275,-32452.973884688196,-32428.90501053066,,,-9.21989429053548,,,0.24485937164473368,0.6835274070545603,-0.3582290470251599,2.7915100919489815,18.0,2.0,,
rational_saturating,22538,3,5342.790535502927,-32436.429687370008,-32412.360813212472,,,-9.225948966957354,,,0.25745778884175874,0.6642090688393574,-0.3876155881033692,2.5798756053467087,16.0,2.0,,
OU_linear,22538,2,5479.313727455306,-31869.756004824,-31853.710088718977,-1.3249098094257021,-0.14934609261734016,-8.87140591498723,6.6958564665112155,,,,,,,,,
