param,median,ci_lo,ci_hi,n_valid
ou_tau,6.709101910989773,6.208972920737791,7.221187345253305,500
delta_aic (tanh - ou),-586.2146867483007,-775.2209874597239,-418.3287097850771,500
delta_bic (tanh - ou),-578.1974258551163,-767.1991382389423,-410.3095007545547,500
delta_aic (rational - ou),-568.5308652006643,-757.959363993059,-404.8771426563711,500
delta_bic (rational - ou),-560.5104518239004,-749.9375147722773,-396.8580382912915,500
delta_aic (hinge - ou),-1294.0890997317529,-1514.3009274621957,-1066.5781146373317,500
delta_bic (hinge - ou),-1270.020113802182,-1490.217345364345,-1042.490347773804,500
